Date,PST,Inflow
19940101,0000,m
19940102,0000,52
19940103,0000,63
19940104,0000,146
19940105,0000,363
19940106,0000,383
19940107,0000,371
19940108,0000,396
19940109,0000,393
19940110,0000,385
19940111,0000,288
19940112,0000,76
19940113,0000,88
19940114,0000,35
19940115,0000,44
19940116,0000,36
19940117,0000,58
19940118,0000,44
19940119,0000,33
19940120,0000,33
19940121,0000,40
19940122,0000,81
19940123,0000,278
19940124,0000,515
19940125,0000,316
19940126,0000,169
19940127,0000,126
19940128,0000,126
19940129,0000,90
19940130,0000,73
19940131,0000,87
19941002,0000,-8
19941003,0000,-3
19941004,0000,-49
19941005,0000,37
19941006,0000,-1
19941007,0000,16
19941008,0000,23
19941009,0000,19
19941010,0000,15
19941011,0000,-26
19941013,0000,-45
19941014,0000,-17
19941015,0000,-7
19941016,0000,-29
19941017,0000,6
19941018,0000,-24
19941019,0000,-30
19941021,0000,-28
19941022,0000,-9
19941023,0000,2
19941024,0000,4
19941025,0000,-7
19941026,0000,-15
19941027,0000,-18
19941028,0000,-26
19941030,0000,3
19941031,0000,10
19941101,0000,-19
19941102,0000,-11
19941103,0000,-18
19941104,0000,264
19941105,0000,23
19941106,0000,67
19941107,0000,38
19941108,0000,-5
19941109,0000,20
19941110,0000,34
19941111,0000,12
19941112,0000,15
19941113,0000,6
19941114,0000,13
19941115,0000,10
19941116,0000,6
19941117,0000,6
19941118,0000,-1
19941119,0000,7
19941120,0000,10
19941121,0000,10
19941122,0000,12
19941123,0000,24
19941124,0000,21
19941125,0000,85
19941126,0000,89
19941127,0000,120
19941128,0000,94
19941129,0000,73
19941130,0000,169
19941201,0000,92
19941202,0000,104
19941203,0000,213
19941204,0000,213
19941205,0000,183
19941206,0000,183
19941207,0000,150
19941208,0000,m
19941209,0000,38
19941210,0000,38
19941211,0000,43
19941212,0000,54
19941213,0000,60
19941214,0000,m
19941215,0000,80
19941216,0000,80
19941217,0000,62
19941218,0000,68
19941219,0000,32
19941220,0000,160
19941221,0000,87
19941222,0000,74
19941223,0000,74
19941224,0000,53
19941225,0000,102
19941226,0000,62
19941227,0000,60
19941228,0000,66
19941229,0000,66
19941230,0000,62
19941231,0000,59
19950101,0000,55
19950102,0000,55
19950103,0000,48
19950104,0000,2003
19950105,0000,849
19950106,0000,1707
19950107,0000,1707
19950108,0000,5048
19950109,0000,19784
19950110,0000,17554
19950111,0000,17554
19950112,0000,10744
19950113,0000,9543
19950114,0000,11348
19950115,0000,16237
19950116,0000,9165
19950117,0000,3416
19950118,0000,3416
19950119,0000,2399
19950120,0000,1617
19950121,0000,1435
19950122,0000,2656
19950123,0000,13862
19950124,0000,13632
19950125,0000,16097
19950126,0000,10818
19950127,0000,7211
19950128,0000,6714
19950129,0000,6086
19950130,0000,7779
19950131,0000,7779
19950201,0000,7601
19950202,0000,6095
19950203,0000,6095
19950204,0000,4479
19950205,0000,3549
19950206,0000,3086
19950207,0000,2535
19950208,0000,2535
19950209,0000,2309
19950210,0000,1708
19950211,0000,1708
19950212,0000,1600
19950213,0000,1529
19950214,0000,1292
19950215,0000,1292
19950216,0000,1201
19950217,0000,1201
19950218,0000,1180
19950219,0000,1227
19950220,0000,1197
19950221,0000,1183
19950222,0000,1187
19950223,0000,1146
19950224,0000,1130
19950225,0000,1134
19950226,0000,836
19950227,0000,427
19950228,0000,427
19950301,0000,428
19950302,0000,382
19950303,0000,586
19950304,0000,433
19950305,0000,433
19950306,0000,425
19950307,0000,402
19950308,0000,346
19950309,0000,1635
19950310,0000,31958
19950311,0000,27997
19950312,0000,15555
19950313,0000,8074
19950314,0000,7869
19950315,0000,12077
19950316,0000,9880
19950317,0000,4682
19950318,0000,4682
19950319,0000,3976
19950320,0000,3708
19950321,0000,6328
19950322,0000,5891
19950323,0000,5891
19950324,0000,4866
19950325,0000,4866
19950326,0000,3511
19950327,0000,2810
19950328,0000,2511
19950329,0000,2255
19950330,0000,2022
19950331,0000,1907
19950401,0000,1789
19950402,0000,1540
19950403,0000,1540
19950404,0000,1505
19950405,0000,1505
19950406,0000,1676
19950407,0000,2055
19950408,0000,2179
19950409,0000,2093
19950410,0000,1878
19950411,0000,1692
19950412,0000,1639
19950413,0000,1533
19950414,0000,1377
19950415,0000,1412
19950416,0000,1471
19950417,0000,1341
19950418,0000,1290
19950419,0000,1295
19950420,0000,1275
19950421,0000,1097
19950422,0000,847
19950423,0000,768
19950424,0000,m
19950425,0000,749
19950426,0000,692
19950427,0000,745
19950428,0000,785
19950429,0000,1331
19950430,0000,1734
19950501,0000,2484
19950502,0000,2864
19950503,0000,2031
19950504,0000,1904
19950505,0000,1512
19950506,0000,1414
19950507,0000,1441
19950508,0000,1262
19950509,0000,1246
19950510,0000,1174
19950511,0000,1118
19950512,0000,1226
19950513,0000,1281
19950514,0000,m
19950515,0000,1296
19950516,0000,1205
19950517,0000,1230
19950518,0000,1193
19950519,0000,1175
19950520,0000,1155
19950521,0000,1131
19950522,0000,1119
19950523,0000,1084
19950524,0000,1116
19950525,0000,928
19950526,0000,763
19950527,0000,762
19950528,0000,714
19950529,0000,686
19950530,0000,679
19950531,0000,511
19950601,0000,m
19950602,0000,275
19950603,0000,272
19950604,0000,279
19950605,0000,219
19950606,0000,180
19950607,0000,191
19950608,0000,205
19950609,0000,185
19950610,0000,m
19950611,0000,455
19950612,0000,469
19950613,0000,472
19950614,0000,494
19950615,0000,521
19950616,0000,521
19950617,0000,469
19950618,0000,506
19950619,0000,452
19950620,0000,m
19950621,0000,165
19950622,0000,170
19950623,0000,102
19950624,0000,100
19950625,0000,113
19950626,0000,134
