Date,PST,Outflow
19931001,0000,235
19931002,0000,224
19931003,0000,228
19931004,0000,207
19931005,0000,138
19931006,0000,152
19931007,0000,187
19931008,0000,203
19931009,0000,159
19931010,0000,94
19931011,0000,49
19931012,0000,34
19931013,0000,34
19931014,0000,34
19931015,0000,33
19931016,0000,m
19931017,0000,32
19931018,0000,52
19931019,0000,112
19931020,0000,187
19931021,0000,216
19931022,0000,215
19931023,0000,215
19931024,0000,215
19931025,0000,244
19931026,0000,401
19931027,0000,504
19931028,0000,549
19931029,0000,m
19931030,0000,553
19931031,0000,510
19931101,0000,419
19931102,0000,267
19931103,0000,223
19931104,0000,172
19931105,0000,140
19931106,0000,125
19931107,0000,131
19931108,0000,128
19931109,0000,128
19931110,0000,144
19931111,0000,172
19931112,0000,178
19931113,0000,181
19931114,0000,179
19931115,0000,177
19931116,0000,176
19931117,0000,175
19931118,0000,174
19931119,0000,174
19931120,0000,172
19931121,0000,173
19931122,0000,230
19931123,0000,212
19931124,0000,87
19931125,0000,51
19931126,0000,51
19931127,0000,51
19931128,0000,51
19931129,0000,52
19931130,0000,51
19931201,0000,51
19931202,0000,35
19931203,0000,2
19931204,0000,1
19931205,0000,1
19931206,0000,13
19931207,0000,84
19931208,0000,98
19931209,0000,97
19931210,0000,97
19931211,0000,98
19931212,0000,96
19931213,0000,96
19931214,0000,230
19931215,0000,407
19931216,0000,403
19931217,0000,403
19931218,0000,402
19931219,0000,400
19931220,0000,346
19931221,0000,167
19931222,0000,98
19931223,0000,71
19931224,0000,50
19931225,0000,50
19931226,0000,50
19931227,0000,50
19931228,0000,50
19931229,0000,50
19931230,0000,44
19931231,0000,35
19940101,0000,m
19940102,0000,33
19940103,0000,34
19940104,0000,33
19940105,0000,33
19940106,0000,34
19940107,0000,32
19940108,0000,30
19940109,0000,15
19940110,0000,2
19940111,0000,1
19940112,0000,1
19940113,0000,1
19940114,0000,1
19940115,0000,28
19940116,0000,29
19940117,0000,29
19940118,0000,29
19940119,0000,29
19940120,0000,29
19940121,0000,29
19940122,0000,29
19940123,0000,30
19940124,0000,30
19940125,0000,30
19940126,0000,30
19940127,0000,30
19940128,0000,30
19940129,0000,30
