Title: "BUC.csv"

5911,PST,'RESERVOIR STORAGE (af)'
19760101,0000,673
19760201,0000,2433
19760301,0000,4296
19760401,0000,5511
19760501,0000,5634
19760601,0000,4753
19760701,0000,3949
19760801,0000,2231
19760901,0000,2157
19761001,0000,2141
19761101,0000,2201
19761201,0000,2342
19770101,0000,2779
19770201,0000,3029
19770301,0000,3059
19770401,0000,2795
19770501,0000,2567
19770601,0000,2471
19770701,0000,2297
19770801,0000,2159
19770901,0000,2059
19771001,0000,1996
19771101,0000,1987
19771201,0000,4991
19780101,0000,35351
19780201,0000,88367
19780301,0000,132248
19780401,0000,136255
19780501,0000,143941
19780601,0000,143106
19780701,0000,133532
19780801,0000,113861
19780901,0000,108018
19781001,0000,107433
19781101,0000,106700
19781201,0000,107718
19790101,0000,109979
19790201,0000,125422
19790301,0000,133064
19790401,0000,142413
19790501,0000,145635
19790601,0000,139658
19790701,0000,128369
19790801,0000,118452
19790901,0000,103984
19791001,0000,99471
19791101,0000,99963
19791201,0000,100529
19800101,0000,107657
19800201,0000,107973
19800301,0000,123135
19800401,0000,128336
19800501,0000,130375
19800601,0000,127812
19800701,0000,117089
19800801,0000,108891
19800901,0000,98779
19801001,0000,98275
19801101,0000,98189
19801201,0000,98807
19810101,0000,103909
19810201,0000,105999
19810301,0000,107807
19810401,0000,110707
19810501,0000,110905
19810601,0000,96657
19810701,0000,56356
19810801,0000,18989
19810901,0000,10976
19811001,0000,10890
19811101,0000,12249
19811201,0000,15171
19820101,0000,48402
19820201,0000,77223
19820301,0000,120346
19820401,0000,140430
19820501,0000,142171
19820601,0000,136069
19820701,0000,123119
19820801,0000,107553
19820901,0000,106297
19821001,0000,105850
19821101,0000,109268
19821201,0000,108514
19830101,0000,111530
19830201,0000,114308
19830301,0000,116153
19830401,0000,140327
19830501,0000,143766
19830601,0000,144202
19830701,0000,136103
19830801,0000,118484
19830901,0000,114339
19831001,0000,104648
19831101,0000,107538
19831201,0000,115671
19840101,0000,113784
19840201,0000,122718
19840301,0000,120615
19840401,0000,109676
19840501,0000,82987
19840601,0000,48168
19840701,0000,28602
19840801,0000,25102
19840901,0000,24562
19841001,0000,21208
19841101,0000,22918
19841201,0000,24500
19850101,0000,25958
19850201,0000,30846
19850301,0000,37157
19850401,0000,40016
19850501,0000,40232
19850601,0000,25671
19850701,0000,11043
19850801,0000,10740
19850901,0000,10546
19851001,0000,10423
19851101,0000,11169
19851201,0000,13250
19860101,0000,15086
19860201,0000,85119
19860301,0000,124695
19860401,0000,129534
19860501,0000,130077
19860601,0000,122255
19860701,0000,110617
19860801,0000,102865
19860901,0000,101431
19861001,0000,92110
19861101,0000,91950
19861201,0000,92280
19870101,0000,92910
19870201,0000,95590
19870301,0000,100540
19870401,0000,101150
19870501,0000,99330
19870601,0000,81844
19870701,0000,66746
19870801,0000,40655
19870901,0000,30293
19871001,0000,30104
19871101,0000,29984
19871201,0000,30336
19880101,0000,31690
19880201,0000,32189
19880301,0000,33188
19880401,0000,34339
19880501,0000,34284
19880601,0000,33657
19880701,0000,31221
19880801,0000,11277
19880901,0000,10931
19881001,0000,10775
19881101,0000,10775
19881201,0000,11318
19890101,0000,11966
19890201,0000,13273
19890301,0000,18300
19890401,0000,19256
19890501,0000,19236
19890601,0000,17802
19890701,0000,10685
19890801,0000,10349
19890901,0000,10184
19891001,0000,10092
19891101,0000,10087
19891201,0000,10203
19900101,0000,11093
19900201,0000,12433
19900301,0000,13888
19900401,0000,14219
19900501,0000,14242
19900601,0000,13894
19900701,0000,10092
19900801,0000,9763
19900901,0000,9528
19901001,0000,9328
19901101,0000,9232
19901201,0000,9209
19910101,0000,9204
19910201,0000,9379
19910301,0000,25417
19910401,0000,28093
19910501,0000,28468
19910601,0000,17861
19910701,0000,10640
19910801,0000,10330
19910901,0000,10102
19911001,0000,9958
19911101,0000,9876
19911201,0000,10025
19920101,0000,10680
19920201,0000,23008
19920301,0000,26788
19920401,0000,28168
19920501,0000,27977
19920601,0000,27482
19920701,0000,12811
19920801,0000,10403
19920901,0000,10165
19921001,0000,10029
19921101,0000,9967
19921201,0000,11687
19930101,0000,59221
19930201,0000,79487
19930301,0000,99010
19930401,0000,108123
19930501,0000,110404
19930601,0000,107358
19930701,0000,97716
19930801,0000,91877
19930901,0000,87301
19931001,0000,85781
19931101,0000,85618
19931201,0000,86105
19940101,0000,86716
19940201,0000,89095
19940301,0000,89921
19940401,0000,90530
19940501,0000,77598
19940601,0000,59603
19940701,0000,38148
19940801,0000,29200
19940901,0000,28787
19941001,0000,m
19941101,0000,28644
19941201,0000,29200
19950101,0000,63940
19950201,0000,71911
19950301,0000,130259
19950401,0000,140722
19950501,0000,144045
19950601,0000,132397
19950701,0000,121474
19950801,0000,114818
19950901,0000,106760
19951001,0000,106044
19951101,0000,99659
19951201,0000,99486
19960101,0000,105182
19960201,0000,121124
19960301,0000,121203
19960401,0000,130970
19960501,0000,133900
19960601,0000,132131
19960701,0000,112401
19960801,0000,97572
19960901,0000,91655
19961001,0000,82628
19961101,0000,89645
19961201,0000,112294
19970101,0000,123890
19970201,0000,113630
19970301,0000,120647
19970401,0000,124421
19970501,0000,124937
19970601,0000,120885
19970701,0000,108574
19970801,0000,95179
19970901,0000,92870
19971001,0000,80155
19971101,0000,80471
19971201,0000,81592
19980101,0000,102660
19980201,0000,111866
19980301,0000,125390
19980401,0000,131932
19980501,0000,138991
19980601,0000,138070
19980701,0000,126720
19980801,0000,95548
19980901,0000,88710
19981001,0000,78612
19981101,0000,79316
19981201,0000,80747
19990101,0000,85780
19990201,0000,97931
19990301,0000,102616
19990401,0000,110237
19990501,0000,108725
19990601,0000,89012
19990701,0000,76526
19990801,0000,72451
19990901,0000,70511
19991001,0000,64021
19991101,0000,63925
19991201,0000,63997
20000101,0000,70002
20000201,0000,111210
20000301,0000,122655
20000401,0000,128713
20000501,0000,128811
20000601,0000,118798
20000701,0000,102293
20000801,0000,85564
20000901,0000,80155
20001001,0000,71160
20001101,0000,71185
20001201,0000,71460
20010101,0000,73461
20010201,0000,78338
20010301,0000,80326
20010401,0000,77598
20010501,0000,77171
20010601,0000,58758
20010701,0000,39198
20010801,0000,23401
20010901,0000,15598
20011001,0000,15408
20011101,0000,15536
20011201,0000,21477
20020101,0000,26812
20020201,0000,29158
20020301,0000,32580
20020401,0000,33830
20020501,0000,34202
20020601,0000,26423
20020701,0000,16307
20020801,0000,10492
20020901,0000,10262
20021001,0000,10092
20021101,0000,10865
20021201,0000,16770
20030101,0000,19845
20030201,0000,21630
20030301,0000,24383
20030401,0000,28611
20030501,0000,31968
20030601,0000,26415
20030701,0000,18982
20030801,0000,17901
20030901,0000,17552
20031001,0000,17220
20031101,0000,17091
20031201,0000,17980
20040101,0000,20964
20040201,0000,28770
20040301,0000,32455
20040401,0000,32937
20040501,0000,32589
20040601,0000,25639
20040701,0000,11634
20040801,0000,10815
20040901,0000,10541
20041001,0000,11447
20041101,0000,12073
20041201,0000,20985
20050101,0000,70487
20050201,0000,93178
20050301,0000,127845
20050401,0000,134285
20050501,0000,139145
20050601,0000,132914
20050701,0000,118814
20050801,0000,104042
20050901,0000,98419
20051001,0000,91724
20051101,0000,91571
20051201,0000,96957
20060101,0000,111179
20060201,0000,115051
20060301,0000,138462
20060401,0000,141308
20060501,0000,142846
20060601,0000,137051
20060701,0000,120156
20060801,0000,102045
20060901,0000,93473
20061001,0000,83896
20061101,0000,84111
20061201,0000,85038
20070101,0000,m

