Date,PST,Inflow
19940101,0000,m
19940102,0000,1
19940103,0000,7
19940104,0000,8
19940105,0000,1
19940106,0000,15
19940107,0000,2
19940108,0000,-6
19940109,0000,15
19940110,0000,8
19940111,0000,2
19940112,0000,10
19940113,0000,2
19940114,0000,8
19940115,0000,9
19940116,0000,2
19940117,0000,8
19940118,0000,2
19940119,0000,9
19940120,0000,4
19940121,0000,5
19940122,0000,11
19940123,0000,51
19940124,0000,65
19940125,0000,30
19940126,0000,35
19940127,0000,15
19940128,0000,8
19940129,0000,15
19940130,0000,8
19940131,0000,9
19940201,0000,m
19940202,0000,m
19940203,0000,m
19940204,0000,m
19940205,0000,m
19940206,0000,m
19940207,0000,m
19940208,0000,m
19940209,0000,m
19940210,0000,m
19940211,0000,m
19940212,0000,m
19940213,0000,m
19940214,0000,m
19940215,0000,m
19940216,0000,m
19940217,0000,m
19940218,0000,m
19940219,0000,m
19940220,0000,m
19940221,0000,m
19940222,0000,m
19940223,0000,m
19940224,0000,m
19940225,0000,m
19940226,0000,m
19940227,0000,m
19940228,0000,m
19940301,0000,m
19940302,0000,m
19940303,0000,m
19940304,0000,m
19940305,0000,m
19940306,0000,m
19940307,0000,m
19940308,0000,m
19940309,0000,m
19940310,0000,m
19940311,0000,m
19940312,0000,m
19940313,0000,m
19940314,0000,m
19940315,0000,m
19940316,0000,m
19940317,0000,m
19940318,0000,m
19940319,0000,m
19940320,0000,m
19940321,0000,m
19940322,0000,m
19940323,0000,m
19940324,0000,m
19940325,0000,m
19940326,0000,m
19940327,0000,m
19940328,0000,m
19940329,0000,m
19940330,0000,m
19940331,0000,m
19940401,0000,m
19940402,0000,m
19940403,0000,m
19940404,0000,m
19940405,0000,m
19940406,0000,m
19940407,0000,m
19940408,0000,m
19940409,0000,m
19940410,0000,m
19940411,0000,m
19940412,0000,m
19940413,0000,m
19940414,0000,m
19940415,0000,m
19940416,0000,m
19940417,0000,m
19940418,0000,m
19940419,0000,m
19940420,0000,m
19940421,0000,m
19940422,0000,m
19940423,0000,m
19940424,0000,m
19940425,0000,m
19940426,0000,m
19940427,0000,m
19940428,0000,m
19940429,0000,m
19940430,0000,m
19940501,0000,m
19940502,0000,m
19940503,0000,m
19940504,0000,m
19940505,0000,m
19940506,0000,m
19940507,0000,m
19940508,0000,m
19940509,0000,m
19940510,0000,m
19940511,0000,m
19940512,0000,m
19940513,0000,m
19940514,0000,m
19940515,0000,m
19940516,0000,m
19940517,0000,m
19940518,0000,m
19940519,0000,m
19940520,0000,m
19940521,0000,m
19940522,0000,m
19940523,0000,m
19940524,0000,m
19940525,0000,m
19940526,0000,m
19940527,0000,m
19940528,0000,m
19940529,0000,m
19940530,0000,m
19940531,0000,m
19940601,0000,m
19940602,0000,m
19940603,0000,m
19940604,0000,m
19940605,0000,m
19940606,0000,m
19940607,0000,m
19940608,0000,m
19940609,0000,m
19940610,0000,m
19940611,0000,m
19940612,0000,m
19940613,0000,m
19940614,0000,m
19940615,0000,m
19940616,0000,m
19940617,0000,m
19940618,0000,m
19940619,0000,m
19940620,0000,m
19940621,0000,m
19940622,0000,m
19940623,0000,m
19940624,0000,m
19940625,0000,m
19940626,0000,m
19940627,0000,m
19940628,0000,m
19940629,0000,m
19940630,0000,m
19940701,0000,m
19940702,0000,m
19940703,0000,m
19940704,0000,m
19940705,0000,m
19940706,0000,m
19940707,0000,m
19940708,0000,m
19940709,0000,m
19940710,0000,m
19940711,0000,m
19940712,0000,m
19940713,0000,m
19940714,0000,m
19940715,0000,m
19940716,0000,m
19940717,0000,m
19940718,0000,m
19940719,0000,m
19940720,0000,m
19940721,0000,m
19940722,0000,m
19940723,0000,m
19940724,0000,m
19940725,0000,m
19940726,0000,m
19940727,0000,m
