yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199504,0.010472302864630604,0.01426815860061106,0.7075273530969733,1,1,0,0,0,0.014558881699796022,0.009566995566624666,0.019093313841718487,0.010803364396836518,0.007541394762148169
199505,0.019093313841718487,0.015291226191948023,0.7169787842256197,1,1,0,0,0,0.010472302864630604,0.012515592282213314,0.023611203572496596,0.01426815860061106,0.012535761498723789
199506,0.023611203572496596,0.018634139279604285,0.8184109022716618,1,1,0,0,0,0.019093313841718487,0.014782808353174547,0.012517575310424155,0.015291226191948023,0.014779692396279541
199507,0.012517575310424155,0.010628276365718621,0.9262981875719217,2,0,1,0,0,0.023611203572496596,0.02135225870710754,0.005819663698007762,0.018634139279604285,0.016962682735776155
199508,0.005819663698007762,0.006628472669519185,0.8979604735502319,2,0,1,0,0,0.012517575310424155,0.018064389441460375,0.0023742219024767653,0.010628276365718621,0.014631207822661453
199509,0.0023742219024767653,0.0071525952248154305,0.8268156246004347,2,0,1,0,0,0.005819663698007762,0.009168619504215958,0.00012017578518448711,0.006628472669519185,0.008628374517618904
199510,0.00012017578518448711,0.0032008690697789026,0.6889521343635268,3,0,0,1,0,0.0023742219024767653,0.004096942800242264,0.0012753831530294604,0.0071525952248154305,0.006890533947167307
199511,0.0012753831530294604,0.0012936529666423236,0.6098753608705307,3,0,0,1,0,0.00012017578518448711,0.0012471988438306262,0.00138427902838406,0.0032008690697789026,0.0051767321472971665
199512,0.00138427902838406,0.0012955160983197389,0.6587696586114308,3,0,0,1,0,0.0012753831530294604,0.0006977794691069737,0.004005955569926696,0.0012936529666423236,0.002247261018210613
199601,0.004005955569926696,0.0016090922828029223,0.6422758705195414,4,0,0,0,1,0.00138427902838406,0.0013298310907067603,0.0092043055988337,0.0012955160983197389,0.0012945845324810312
199602,0.0092043055988337,0.010670292520473747,0.6896681410625239,4,0,0,0,1,0.004005955569926696,0.0026951172991553783,0.008486703830303964,0.0016090922828029223,0.0014523041905613306
199603,0.008486703830303964,0.012967062779584457,0.602016584902994,4,0,0,0,1,0.0092043055988337,0.006605130584380199,0.007919531039104217,0.010670292520473747,0.006139692401638335
199604,0.007919531039104217,0.006616618029945784,0.5666954353663214,1,1,0,0,0,0.008486703830303964,0.008845504714568832,0.01423805882185112,0.012967062779584457,0.011818677650029103
199605,0.01423805882185112,0.005263399333047278,0.715202659506457,1,1,0,0,0,0.007919531039104217,0.008203117434704092,0.007113714823726331,0.006616618029945784,0.00979184040476512
199606,0.007113714823726331,0.005766816612616382,0.9628191194646891,1,1,0,0,0,0.01423805882185112,0.011078794930477668,0.0022009583679214392,0.005263399333047278,0.005940008681496531
199607,0.0022009583679214392,0.00623740732538724,0.8666870444955888,2,0,1,0,0,0.007113714823726331,0.010675886822788725,0.0021816660167952146,0.005766816612616382,0.005515107972831831
199608,0.0021816660167952146,0.003829803421810954,0.7608362102032988,2,0,1,0,0,0.0022009583679214392,0.004657336595823885,0.0011185714240427077,0.00623740732538724,0.006002111969001811
199609,0.0011185714240427077,0.0024240205169172636,0.6996958737465065,2,0,1,0,0,0.0021816660167952146,0.002191312192358327,0.0030388623128449472,0.003829803421810954,0.005033605373599097
199610,0.0030388623128449472,0.0015335381220934103,0.71017333141542,3,0,0,1,0,0.0011185714240427077,0.0016501187204189611,0.0028286843748712145,0.0024240205169172636,0.0031269119693641085
199611,0.0028286843748712145,0.0017440330705316583,0.7377253548139624,3,0,0,1,0,0.0030388623128449472,0.0020787168684438277,0.003671748139889969,0.0015335381220934103,0.001978779319505337
199612,0.003671748139889969,0.005409067746874711,0.22506565759679276,3,0,0,1,0,0.0028286843748712145,0.0029337733438580807,0.024881435529735225,0.0017440330705316583,0.0016387855963125343
199701,0.024881435529735225,0.02342467018384664,0.9275364403528961,4,0,0,0,1,0.003671748139889969,0.003250216257380592,0.009547845710101177,0.005409067746874711,0.003576550408703185
199702,0.009547845710101177,0.02050185926637438,0.7213314770672367,4,0,0,0,1,0.024881435529735225,0.014276591834812597,0.006476851731910154,0.02342467018384664,0.014416868965360676
199703,0.006476851731910154,0.007730081549302287,0.5600143407608885,4,0,0,0,1,0.009547845710101177,0.0172146406199182,0.0058093752674775795,0.02050185926637438,0.02196326472511051
199704,0.0058093752674775795,0.0038160134666045324,0.5762681313841651,1,1,0,0,0,0.006476851731910154,0.008012348721005666,0.007812416113662364,0.007730081549302287,0.014115970407838335
199705,0.007812416113662364,0.002633743391482256,0.6852302114654096,1,1,0,0,0,0.0058093752674775795,0.0061431134996938665,0.004246038161719718,0.0038160134666045324,0.005773047507953409
