Title: "CMN.csv"

4718,PST,'RESERVOIR STORAGE (af)'
19641001,0000,38320
19641101,0000,49700
19641201,0000,224370
19650101,0000,263120
19650201,0000,285350
19650301,0000,308040
19650401,0000,303560
19650501,0000,273390
19650601,0000,292940
19650701,0000,287080
19650801,0000,284980
19650901,0000,280680
19651001,0000,191890
19651101,0000,133350
19651201,0000,132550
19660101,0000,130570
19660201,0000,127740
19660301,0000,118940
19660401,0000,131480
19660501,0000,107450
19660601,0000,84140
19660701,0000,70710
19660801,0000,69850
19660901,0000,70600
19661001,0000,70100
19661101,0000,73280
19661201,0000,112320
19670101,0000,155890
19670201,0000,207900
19670301,0000,272120
19670401,0000,312490
19670501,0000,313920
19670601,0000,400140
19670701,0000,423070
19670801,0000,381650
19670901,0000,323220
19671001,0000,274470
19671101,0000,274540
19671201,0000,294760
19680101,0000,305220
19680201,0000,300440
19680301,0000,315160
19680401,0000,296890
19680501,0000,277630
19680601,0000,257310
19680701,0000,238430
19680801,0000,225400
19680901,0000,218980
19681001,0000,214140
19681101,0000,225460
19681201,0000,244580
19690101,0000,306690
19690201,0000,275440
19690301,0000,239610
19690401,0000,242030
19690501,0000,310360
19690601,0000,390590
19690701,0000,374380
19690801,0000,336890
19690901,0000,304390
19691001,0000,264660
19691101,0000,264540
19691201,0000,282700
19700101,0000,298980
19700201,0000,233470
19700301,0000,258770
19700401,0000,278780
19700501,0000,319010
19700601,0000,371500
19700701,0000,343250
19700801,0000,311900
19700901,0000,288500
19701001,0000,276960
19701101,0000,288630
19701201,0000,296710
19710101,0000,300820
19710201,0000,298980
19710301,0000,311780
19710401,0000,323220
19710501,0000,335140
19710601,0000,365550
19710701,0000,347340
19710801,0000,340190
19710901,0000,312820
19711001,0000,274230
19711101,0000,274230
19711201,0000,288000
19720101,0000,296830
19720201,0000,295130
19720301,0000,318560
19720401,0000,308560
19720501,0000,297270
19720601,0000,299300
19720701,0000,274660
19720801,0000,254860
19720901,0000,246170
19721001,0000,246290
