Date,PST,Inflow
19940101,0000,m
19940102,0000,841
19940103,0000,1567
19940104,0000,1307
19940105,0000,1454
19940106,0000,953
19940107,0000,-2519
19940108,0000,1300
19940109,0000,1300
19940110,0000,1576
19940111,0000,1376
19940112,0000,1418
19940113,0000,1339
19940114,0000,1080
19940115,0000,1361
19940116,0000,m
19940117,0000,1485
19940118,0000,1232
19940119,0000,1626
19940120,0000,905
19940121,0000,m
19940122,0000,m
19940123,0000,208
19940124,0000,1417
19940125,0000,839
19940126,0000,970
19940127,0000,814
19940128,0000,1033
19940129,0000,536
19940130,0000,811
19940131,0000,918
19941030,0000,55
19941031,0000,55
19941101,0000,708
19941102,0000,708
19941103,0000,690
19941104,0000,712
19941105,0000,632
19941106,0000,769
19941107,0000,778
19941108,0000,714
19941109,0000,547
19941110,0000,998
19941111,0000,374
19941112,0000,581
19941113,0000,951
19941114,0000,809
19941115,0000,715
19941116,0000,850
19941117,0000,712
19941118,0000,506
19941119,0000,1057
19941120,0000,500
19941121,0000,484
19941122,0000,925
19941123,0000,865
19941124,0000,594
19941125,0000,498
19941126,0000,744
19941127,0000,751
19941128,0000,806
19941129,0000,489
19941130,0000,640
19941201,0000,946
19941202,0000,882
19941203,0000,426
19941204,0000,1851
19941205,0000,6546
19941206,0000,2130
19941207,0000,887
19941208,0000,618
19941209,0000,448
19941210,0000,367
19941211,0000,320
19941212,0000,285
19941213,0000,338
19941214,0000,443
19941215,0000,443
19941216,0000,364
19941217,0000,364
19941218,0000,323
19941219,0000,340
19941220,0000,330
19941221,0000,292
19941222,0000,262
19941223,0000,359
19941224,0000,736
19941225,0000,372
19941226,0000,468
19941227,0000,833
19941228,0000,540
19941229,0000,819
19941230,0000,864
19941231,0000,1003
19950101,0000,981
19950102,0000,981
19950103,0000,756
19950104,0000,1204
19950105,0000,842
19950106,0000,843
19950107,0000,843
19950108,0000,2864
19950109,0000,5337
19950110,0000,20875
19950111,0000,20875
19950112,0000,8919
19950113,0000,5831
19950114,0000,15077
19950115,0000,21070
19950116,0000,11651
19950117,0000,5816
19950118,0000,5816
19950119,0000,5095
19950120,0000,4812
19950121,0000,4557
19950122,0000,4452
19950123,0000,4568
19950124,0000,5207
19950125,0000,5375
19950126,0000,5496
19950127,0000,5801
19950128,0000,6172
19950129,0000,5858
19950130,0000,4906
19950131,0000,4906
19950201,0000,5271
19950202,0000,6602
19950203,0000,6602
19950204,0000,6959
19950205,0000,6710
19950206,0000,6483
19950207,0000,4132
19950208,0000,4132
19950209,0000,4114
19950210,0000,4011
19950211,0000,4011
19950212,0000,3967
19950213,0000,3935
19950214,0000,4121
19950215,0000,4121
19950216,0000,3843
19950217,0000,3843
19950218,0000,3813
19950219,0000,3776
19950220,0000,3776
19950221,0000,3767
19950222,0000,3762
19950223,0000,3720
19950224,0000,3722
19950225,0000,3729
19950226,0000,3726
19950227,0000,3712
19950228,0000,3712
19950301,0000,3681
19950302,0000,3698
19950303,0000,4320
19950304,0000,5213
19950305,0000,5213
19950306,0000,4689
19950307,0000,4373
19950308,0000,4127
19950309,0000,4063
19950310,0000,16968
19950311,0000,32186
19950312,0000,28282
19950313,0000,22023
19950314,0000,23076
19950315,0000,23267
19950316,0000,22058
19950317,0000,13168
19950318,0000,13168
19950319,0000,12926
19950320,0000,12247
19950321,0000,14318
19950322,0000,14280
19950323,0000,14280
19950324,0000,11007
19950325,0000,11007
19950326,0000,7946
19950327,0000,7191
19950328,0000,5799
19950329,0000,4956
19950330,0000,4794
19950331,0000,4794
19950401,0000,4636
19950402,0000,4473
19950403,0000,4473
19950404,0000,4654
19950405,0000,4654
19950406,0000,4736
19950407,0000,6601
19950408,0000,7437
19950409,0000,5939
19950410,0000,5322
19950411,0000,4990
19950412,0000,4849
19950413,0000,6254
19950414,0000,5597
19950415,0000,5114
19950416,0000,4882
19950417,0000,4647
19950418,0000,4603
19950419,0000,4482
19950420,0000,4564
19950421,0000,4441
19950422,0000,4391
19950423,0000,4338
19950424,0000,4336
19950425,0000,4315
19950426,0000,4381
19950427,0000,4379
19950428,0000,4832
19950429,0000,8415
