Title: "ENG.csv"

4872,PST,'RESERVOIR STORAGE (af)'
19541001,0000,26490
19541101,0000,30430
19541201,0000,63899
19550101,0000,70207
19550201,0000,70289
19550301,0000,70864
19550401,0000,70781
19550501,0000,71276
19550601,0000,69718
19550701,0000,57824
19550801,0000,30916
19550901,0000,26171
19551001,0000,25309
19551101,0000,29603
19551201,0000,21941
19560101,0000,71691
19560201,0000,71276
19560301,0000,71276
19560401,0000,71276
19560501,0000,72191
19560601,0000,70781
19560701,0000,67947
19560801,0000,56983
19560901,0000,41137
19561001,0000,28121
19561101,0000,36534
19561201,0000,33712
19570101,0000,43251
19570201,0000,72275
19570301,0000,71111
19570401,0000,70946
19570501,0000,71774
19570601,0000,70207
19570701,0000,65588
19570801,0000,48455
19570901,0000,32916
19571001,0000,30562
19571101,0000,41028
19571201,0000,70535
19580101,0000,71774
19580201,0000,72358
19580301,0000,72442
19580401,0000,71857
19580501,0000,72526
19580601,0000,70781
19580701,0000,69718
19580801,0000,61797
19580901,0000,43081
19581001,0000,25232
19581101,0000,34378
19581201,0000,27872
19590101,0000,70453
19590201,0000,70699
19590301,0000,70946
19590401,0000,70617
19590501,0000,70207
19590601,0000,69312
19590701,0000,61502
19590801,0000,44685
19590901,0000,37240
19591001,0000,28079
19591101,0000,25699
19591201,0000,26610
19600101,0000,52393
19600201,0000,70289
19600301,0000,71941
19600401,0000,70781
19600501,0000,70044
19600601,0000,69474
19600701,0000,65977
19600801,0000,52197
19600901,0000,36284
19601001,0000,25816
19601101,0000,46992
19601201,0000,61428
19610101,0000,52524
19610201,0000,70125
19610301,0000,70864
19610401,0000,70699
19610501,0000,70535
19610601,0000,69151
19610701,0000,60694
19610801,0000,47355
19610901,0000,39682
19611001,0000,35838
19611101,0000,27501
19611201,0000,44511
19620101,0000,53248
19620201,0000,71359
19620301,0000,71111
19620401,0000,71359
19620501,0000,71194
19620601,0000,70044
19620701,0000,66759
19620801,0000,57612
19620901,0000,44222
19621001,0000,70207
19621101,0000,70125
19621201,0000,70289
19630101,0000,74819
19630201,0000,71442
19630301,0000,71442
19630401,0000,71691
19630501,0000,72108
19630601,0000,70289
19630701,0000,66055
19630801,0000,54651
19630901,0000,48148
19631001,0000,41576
19631101,0000,70371
19631201,0000,70125
19640101,0000,70699
19640201,0000,70371
19640301,0000,70781
19640401,0000,71029
19640501,0000,70946
19640601,0000,70207
19640701,0000,68266
19640801,0000,60402
19640901,0000,47173
19641001,0000,36234
19641101,0000,46154
19641201,0000,72778
19650101,0000,71774
19650201,0000,71276
19650301,0000,71111
19650401,0000,72610
19650501,0000,71857
19650601,0000,70617
19650701,0000,69637
19650801,0000,66133
19650901,0000,59245
19651001,0000,47355
19651101,0000,67470
19651201,0000,70699
19660101,0000,70535
19660201,0000,70535
19660301,0000,71442
19660401,0000,71029
19660501,0000,70453
19660601,0000,68908
19660701,0000,60840
19660801,0000,48270
19660901,0000,46872
19661001,0000,32316
19661101,0000,71857
19661201,0000,70289
19670101,0000,74819
19670201,0000,70699
19670301,0000,71525
19670401,0000,71194
19670501,0000,72610
19670601,0000,72191
19670701,0000,70207
19670801,0000,43878
19670901,0000,25504
19671001,0000,25621
19671101,0000,25660
19671201,0000,42463
19680101,0000,70699
19680201,0000,71525
19680301,0000,71194
19680401,0000,70781
19680501,0000,70535
19680601,0000,69555
19680701,0000,66917
19680801,0000,40811
19680901,0000,39206
19681001,0000,41083
19681101,0000,54719
19681201,0000,70535
19690101,0000,72610
19690201,0000,72108
19690301,0000,71359
19690401,0000,72526
19690501,0000,71857
19690601,0000,68426
19690701,0000,59461
19690801,0000,49575
19690901,0000,45034
19691001,0000,37494
19691101,0000,38110
19691201,0000,70125
19700101,0000,72191
19700201,0000,71276
19700301,0000,70781
19700401,0000,71276
19700501,0000,62999
19700601,0000,63929
19700701,0000,67288
19700801,0000,66242
19700901,0000,59288
19701001,0000,50819
19701101,0000,53010
19701201,0000,49844
19710101,0000,70128
19710201,0000,61298
19710301,0000,63525
19710401,0000,61972
19710501,0000,64890
19710601,0000,70096
19710701,0000,69048
19710801,0000,65310
19710901,0000,66912
19711001,0000,68000
19711101,0000,51498
19711201,0000,55670
19720101,0000,55320
19720201,0000,56370
19720301,0000,60660
19720401,0000,60195
19720501,0000,67507
19720601,0000,68312
19720701,0000,65849
19720801,0000,66710
19720901,0000,65942
19721001,0000,66403
19721101,0000,57108
19721201,0000,51639
19730101,0000,51613
19730201,0000,63322
19730301,0000,60984
19730401,0000,61724
19730501,0000,61888
19730601,0000,66169
19730701,0000,66796
19730801,0000,65923
19730901,0000,65081
19731001,0000,63701
19731101,0000,71757
19731201,0000,70667
19740101,0000,69755
19740201,0000,66122
19740301,0000,74756
19740401,0000,69309
19740501,0000,70587
19740601,0000,m
19740701,0000,69204
19740801,0000,67891
19740901,0000,47467
19741001,0000,40875
19741101,0000,62854
19741201,0000,54773
19750101,0000,54501
19750201,0000,59113
19750301,0000,59546
19750401,0000,61672
19750501,0000,60654
19750601,0000,67984
19750701,0000,68986
19750801,0000,68512
19750901,0000,68544
19751001,0000,69029
19751101,0000,69272
19751201,0000,69523
19760101,0000,67399
19760201,0000,67288
19760301,0000,62691
19760401,0000,67043
19760501,0000,63067
19760601,0000,62102
19760701,0000,63029
19760801,0000,62318
19760901,0000,63210
19761001,0000,62355
19761101,0000,63899
19761201,0000,61546
19770101,0000,61575
19770201,0000,59915
19770301,0000,58141
19770401,0000,66956
19770501,0000,66211
19770601,0000,65309
19770701,0000,66226
19770801,0000,66289
19770901,0000,65201
19771001,0000,65891
19771101,0000,65938
19771201,0000,63975
19780101,0000,60140
19780201,0000,55267
19780301,0000,66917
19780401,0000,66086
19780501,0000,63293
19780601,0000,65938
19780701,0000,67708
19780801,0000,68043
19780901,0000,68370
19781001,0000,67074
19781101,0000,67143
19781201,0000,69799
19790101,0000,66996
19790201,0000,59966
19790301,0000,63520
19790401,0000,67947
19790501,0000,67947
19790601,0000,69106
19790701,0000,66838
19790801,0000,68587
19790901,0000,66814
19791001,0000,68170
19791101,0000,68066
19791201,0000,66226
19800101,0000,66641
19800201,0000,71566
19800301,0000,65124
19800401,0000,61008
19800501,0000,68394
19800601,0000,67509
19800701,0000,67819
19800801,0000,67835
19800901,0000,69231
19801001,0000,65666
19801101,0000,65875
19801201,0000,60475
19810101,0000,62169
19810201,0000,66759
19810301,0000,65201
19810401,0000,68026
19810501,0000,66917
19810601,0000,65588
19810701,0000,66571
19810801,0000,68274
19810901,0000,68090
19811001,0000,65969
19811101,0000,65317
19811201,0000,74261
19820101,0000,70044
19820201,0000,71086
19820301,0000,71583
19820401,0000,71251
19820501,0000,70765
19820601,0000,68186
19820701,0000,67732
19820801,0000,68747
19820901,0000,m
19821001,0000,67382
19821101,0000,68788
