yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199504,0.006707167269718975,0.007667064987590772,0.6946755197322058,1,1,0,0,0,0.008443754976524533,0.00561146042118558,0.012110961624703697,0.004593229180967024,0.0024952458149443166
199505,0.012110961624703697,0.00929198356259667,0.7424353082318199,1,1,0,0,0,0.006707167269718975,0.007575461123121754,0.015434556986354027,0.007667064987590772,0.006130147084278898
199506,0.015434556986354027,0.009626081107053623,0.8569960271317829,1,1,0,0,0,0.012110961624703697,0.009409064447211336,0.00970891793196233,0.00929198356259667,0.00847952427509372
199507,0.00970891793196233,0.008843167403421105,0.9808220930232558,2,0,1,0,0,0.015434556986354027,0.013772759305528862,0.002204246713852376,0.009626081107053623,0.009459032334825146
199508,0.002204246713852376,0.004448353374725283,0.9468891978429391,2,0,1,0,0,0.00970891793196233,0.012571737459158178,0.0005259111646115096,0.008843167403421105,0.009234624255237363
199509,0.0005259111646115096,0.004102592633804384,0.8426486548107616,2,0,1,0,0,0.002204246713852376,0.005956582322907353,0.00022085160659060334,0.004448353374725283,0.006645760389073194
199510,0.00022085160659060334,0.004679031328079954,0.6942218069398302,3,0,0,1,0,0.0005259111646115096,0.001365078939231943,0.00016073722649888222,0.004102592633804384,0.004275473004264833
199511,0.00016073722649888222,0.0009267932468110504,0.6301839045287637,3,0,0,1,0,0.00022085160659060334,0.0003733813856010565,0.0010614068806457813,0.004679031328079954,0.004390811980942169
199512,0.0010614068806457813,0.0011730411941828433,0.6138653100775194,3,0,0,1,0,0.00016073722649888222,0.00019079441654474278,0.0022209858684766885,0.0009267932468110504,0.002802912287445502
199601,0.0022209858684766885,0.0005266192581203152,0.628586670973299,4,0,0,0,1,0.0010614068806457813,0.0006110720535723317,0.006872424028872232,0.0011730411941828433,0.001049917220496947
199602,0.006872424028872232,0.004761248852157943,0.7017577519379845,4,0,0,0,1,0.0022209858684766885,0.001641196374561235,0.005253952679122369,0.0005266192581203152,0.0008498302261515792
199603,0.005253952679122369,0.00563247923768676,0.6962071093431252,4,0,0,0,1,0.006872424028872232,0.0045467049486744605,0.005860904423272289,0.004761248852157943,0.002643934055139129
199604,0.005860904423272289,0.0037271079871502707,0.7219397148394241,1,1,0,0,0,0.005253952679122369,0.006063188353997301,0.010309009759326884,0.00563247923768676,0.005196864044922351
199605,0.010309009759326884,0.0048008627501227915,0.8506643653100775,1,1,0,0,0,0.005860904423272289,0.005557428551197329,0.004623368175165215,0.0037271079871502707,0.004679793612418515
199606,0.004623368175165215,0.004168896642469581,0.9445317614125753,1,1,0,0,0,0.010309009759326884,0.008084957091299586,0.0015752450509321546,0.0048008627501227915,0.004263985368636531
