Date,PST,Inflow
19940101,0000,m
19940102,0000,67
19940103,0000,100
19940104,0000,202
19940105,0000,48
19940106,0000,145
19940107,0000,m
19940108,0000,m
19940109,0000,116
19940110,0000,167
19940111,0000,108
19940112,0000,27
19940113,0000,78
19940114,0000,m
19940115,0000,m
19940116,0000,m
19940117,0000,95
19940118,0000,77
19940119,0000,80
19940120,0000,64
19940121,0000,m
19940122,0000,m
19940123,0000,258
19940124,0000,552
19940125,0000,320
19940126,0000,138
19940127,0000,237
19940128,0000,m
19940129,0000,m
19940130,0000,146
19940131,0000,141
19941101,0000,85
19941102,0000,85
19941103,0000,58
19941104,0000,58
19941105,0000,m
19941106,0000,1451
19941107,0000,1451
19941108,0000,906
19941109,0000,588
19941110,0000,505
19941111,0000,m
19941112,0000,m
19941113,0000,306
19941114,0000,306
19941115,0000,363
19941116,0000,271
19941117,0000,317
19941118,0000,308
19941119,0000,m
19941120,0000,294
19941121,0000,294
19941122,0000,297
19941123,0000,293
19941124,0000,m
19941125,0000,m
19941126,0000,m
19941127,0000,423
19941128,0000,423
19941129,0000,384
19941130,0000,386
19941201,0000,383
19941202,0000,420
19941203,0000,m
19941204,0000,447
19941205,0000,447
19941206,0000,497
19941207,0000,339
19941208,0000,365
19941209,0000,365
19941210,0000,m
19941211,0000,302
19941212,0000,302
19941213,0000,436
19941214,0000,327
19941215,0000,314
19941216,0000,338
19941217,0000,m
19941218,0000,347
19941219,0000,347
19941220,0000,331
19941221,0000,331
19941222,0000,331
19941223,0000,m
19941224,0000,m
19941225,0000,m
19941226,0000,487
19941227,0000,487
19941228,0000,499
19941229,0000,483
19941230,0000,459
19941231,0000,m
19950101,0000,m
19950102,0000,390
19950103,0000,390
19950104,0000,2542
19950105,0000,2542
19950106,0000,3535
19950107,0000,m
19950108,0000,1464
19950109,0000,1464
19950110,0000,2940
19950111,0000,11096
19950112,0000,3714
19950113,0000,3714
19950114,0000,m
19950115,0000,1717
19950116,0000,3170
19950117,0000,3170
19950118,0000,2451
19950119,0000,1717
19950120,0000,1530
19950121,0000,m
19950122,0000,1251
19950123,0000,1251
19950124,0000,2246
19950125,0000,6966
19950126,0000,6754
19950127,0000,4758
19950128,0000,m
19950129,0000,2181
19950130,0000,2181
19950131,0000,2293
19950201,0000,1780
19950202,0000,1624
19950203,0000,1706
19950204,0000,m
19950205,0000,3209
19950206,0000,3209
19950207,0000,1292
19950208,0000,1054
19950209,0000,1264
19950210,0000,1211
19950211,0000,m
19950212,0000,1099
19950213,0000,1099
19950214,0000,1285
19950215,0000,1285
19950216,0000,1057
19950217,0000,1044
19950218,0000,m
19950219,0000,m
19950220,0000,1057
19950221,0000,1057
19950222,0000,1274
19950223,0000,1236
19950224,0000,1292
19950225,0000,m
19950226,0000,1345
19950227,0000,1345
19950228,0000,1434
19950301,0000,1322
19950302,0000,1335
19950303,0000,1327
19950304,0000,m
19950305,0000,1790
19950306,0000,1790
19950307,0000,1560
19950308,0000,1450
19950309,0000,1453
19950310,0000,11920
19950311,0000,m
19950312,0000,8341
19950313,0000,8341
19950314,0000,4798
19950315,0000,4798
19950316,0000,4250
19950317,0000,3825
19950318,0000,3693
19950319,0000,3693
19950320,0000,3693
19950321,0000,7357
19950322,0000,7446
19950323,0000,10190
19950324,0000,9223
19950325,0000,m
19950326,0000,3773
19950327,0000,3773
19950328,0000,3291
19950329,0000,3065
19950330,0000,2842
19950331,0000,2673
19950401,0000,m
19950402,0000,2629
19950403,0000,2799
19950404,0000,3137
19950405,0000,3388
19950406,0000,3389
19950407,0000,3389
19950408,0000,m
19950409,0000,2866
19950410,0000,2758
19950411,0000,2928
19950412,0000,3313
