Date,PST,Outflow
19931001,0000,m
19931002,0000,m
19931003,0000,1228
19931004,0000,1177
19931005,0000,1635
19931006,0000,1761
19931007,0000,1740
19931008,0000,m
19931009,0000,m
19931010,0000,m
19931011,0000,2165
19931012,0000,2845
19931013,0000,2856
19931014,0000,2695
19931015,0000,m
19931016,0000,m
19931017,0000,1223
19931018,0000,1314
19931019,0000,1218
19931020,0000,1075
19931021,0000,962
19931022,0000,m
19931023,0000,m
19931024,0000,709
19931025,0000,955
19931026,0000,1026
19931027,0000,906
19931028,0000,728
19931029,0000,m
19931030,0000,m
19931031,0000,367
19931101,0000,337
19931102,0000,299
19931103,0000,291
19931104,0000,232
19931105,0000,m
19931106,0000,m
19931107,0000,81
19931108,0000,249
19931109,0000,237
19931110,0000,m
19931111,0000,301
19931112,0000,m
19931113,0000,m
19931114,0000,232
19931115,0000,263
19931116,0000,283
19931117,0000,209
19931118,0000,308
19931119,0000,m
19931120,0000,m
19931121,0000,339
19931122,0000,340
19931123,0000,313
19931124,0000,m
19931125,0000,m
19931126,0000,m
19931127,0000,m
19931128,0000,341
19931129,0000,71
19931130,0000,26
19931201,0000,27
19931202,0000,263
19931203,0000,m
19931204,0000,m
19931205,0000,225
19931206,0000,213
19931207,0000,261
19931208,0000,233
19931209,0000,232
19931210,0000,m
19931211,0000,m
19931212,0000,44
19931213,0000,42
19931214,0000,46
19931215,0000,34
19931216,0000,733
19931217,0000,m
19931218,0000,m
19931219,0000,241
19931220,0000,447
19931221,0000,158
19931222,0000,m
19931223,0000,m
19931224,0000,m
19931225,0000,m
19931226,0000,233
19931227,0000,230
19931228,0000,169
19931229,0000,200
19931230,0000,m
19931231,0000,m
19940101,0000,m
19940102,0000,217
19940103,0000,225
19940104,0000,152
19940105,0000,198
19940106,0000,295
19940107,0000,m
19940108,0000,m
19940109,0000,66
19940110,0000,292
19940111,0000,58
19940112,0000,775
19940113,0000,228
19940114,0000,m
19940115,0000,m
19940116,0000,m
19940117,0000,344
19940118,0000,351
19940119,0000,304
19940120,0000,113
19940121,0000,m
19940122,0000,m
19940123,0000,233
19940124,0000,304
19940125,0000,170
19940126,0000,163
19940127,0000,262
19940128,0000,m
19940129,0000,m
19940130,0000,245
19940131,0000,315
19940201,0000,222
19940202,0000,303
19940203,0000,57
19940204,0000,m
19940205,0000,m
19940206,0000,318
19940207,0000,940
19940208,0000,113
19940209,0000,79
19940210,0000,42
19940211,0000,m
19940212,0000,m
19940213,0000,52
19940214,0000,45
19940215,0000,121
19940216,0000,1153
19940217,0000,312
19940218,0000,m
19940219,0000,m
19940220,0000,m
19940221,0000,176
19940222,0000,321
19940223,0000,257
19940224,0000,155
19940225,0000,m
19940226,0000,m
19940227,0000,156
19940228,0000,196
19940301,0000,148
19940302,0000,336
19940303,0000,118
19940304,0000,m
19940305,0000,m
19940306,0000,586
19940307,0000,426
19940308,0000,953
19940309,0000,129
19940310,0000,938
19940311,0000,m
19940312,0000,m
19940313,0000,759
19940314,0000,878
19940315,0000,835
19940316,0000,884
19940317,0000,989
19940318,0000,m
19940319,0000,m
19940320,0000,961
19940321,0000,1115
19940322,0000,1168
19940323,0000,1098
19940324,0000,1081
19940325,0000,m
19940326,0000,m
19940327,0000,1040
19940328,0000,1078
19940329,0000,1222
19940330,0000,1265
19940331,0000,1249
19940401,0000,m
19940402,0000,m
19940403,0000,1206
19940404,0000,2606
19940405,0000,1259
19940406,0000,1350
19940407,0000,965
19940408,0000,m
19940409,0000,m
19940410,0000,1163
19940411,0000,1221
19940412,0000,939
19940413,0000,1011
19940414,0000,1153
19940415,0000,m
19940416,0000,m
19940417,0000,1216
19940418,0000,1427
19940419,0000,1248
19940420,0000,1356
19940421,0000,2223
19940422,0000,m
19940423,0000,m
19940424,0000,2240
19940425,0000,1772
19940426,0000,m
19940427,0000,996
19940428,0000,769
19940429,0000,m
19940430,0000,m
19940501,0000,675
19940502,0000,864
19940503,0000,974
19940504,0000,1612
19940505,0000,1709
19940506,0000,m
19940507,0000,m
19940508,0000,1675
19940509,0000,1160
19940510,0000,981
19940511,0000,982
19940512,0000,1087
19940513,0000,m
19940514,0000,m
19940515,0000,1176
19940516,0000,1582
19940517,0000,1122
19940518,0000,1073
19940519,0000,803
19940520,0000,m
19940521,0000,m
19940522,0000,1133
19940523,0000,1432
19940524,0000,1449
19940525,0000,1455
19940526,0000,1630
19940527,0000,m
19940528,0000,m
19940529,0000,m
19940530,0000,1616
19940531,0000,1662
19940601,0000,1721
19940602,0000,1698
19940603,0000,m
19940604,0000,m
19940605,0000,1829
19940606,0000,1901
19940607,0000,1634
19940608,0000,1681
19940609,0000,1616
19940610,0000,m
19940611,0000,m
19940612,0000,1858
19940613,0000,1778
19940614,0000,1823
19940615,0000,1910
19940616,0000,1766
19940617,0000,m
19940618,0000,m
19940619,0000,1773
19940620,0000,1737
19940621,0000,1706
19940622,0000,1959
19940623,0000,1758
19940624,0000,m
19940625,0000,m
19940626,0000,1799
19940627,0000,1752
19940628,0000,1942
19940629,0000,2104
19940630,0000,1748
19940701,0000,m
19940702,0000,m
19940703,0000,m
19940704,0000,1936
19940705,0000,1818
19940706,0000,1859
19940707,0000,1868
19940708,0000,m
19940709,0000,m
19940710,0000,1755
19940711,0000,2292
19940712,0000,1924
19940713,0000,1624
19940714,0000,1783
19940715,0000,m
19940716,0000,m
19940717,0000,2612
19940718,0000,2625
19940719,0000,2662
19940720,0000,2886
19940721,0000,2921
19940722,0000,m
19940723,0000,m
19940724,0000,2794
19940725,0000,2733
19940726,0000,1954
19940727,0000,1999
19940728,0000,1600
19940729,0000,m
19940730,0000,m
19940731,0000,1956
19940801,0000,2135
19940802,0000,1576
19940803,0000,1661
19940804,0000,1821
19940805,0000,m
19940806,0000,m
19940807,0000,1803
19940808,0000,1522
19940809,0000,1671
19940810,0000,2070
19940811,0000,1543
19940812,0000,m
19940813,0000,m
19940814,0000,1687
19940815,0000,1861
19940816,0000,1670
19940817,0000,1834
19940818,0000,1796
19940819,0000,m
19940820,0000,m
19940821,0000,1663
19940822,0000,1714
19940823,0000,2075
19940824,0000,1032
19940825,0000,1640
19940826,0000,m
19940827,0000,m
19940828,0000,1430
19940829,0000,1398
19940830,0000,1492
19940831,0000,1207
19940901,0000,1495
19940902,0000,m
19940903,0000,m
19940904,0000,m
19940905,0000,1321
19940906,0000,m
19940907,0000,1082
19940908,0000,m
19940909,0000,m
19940910,0000,m
19940911,0000,1043
19940912,0000,1959
19940913,0000,1049
19940914,0000,1089
19940915,0000,1010
19940916,0000,m
19940917,0000,m
19940918,0000,925
19940919,0000,1186
19940920,0000,888
19940921,0000,955
19940922,0000,824
19940923,0000,m
19940924,0000,m
19940925,0000,859
19940926,0000,825
19940927,0000,776
19940928,0000,637
19940929,0000,863
19940930,0000,m
19941001,0000,m
19941002,0000,621
19941003,0000,665
19941004,0000,737
19941005,0000,608
19941006,0000,607
19941007,0000,m
19941008,0000,m
19941009,0000,m
19941010,0000,1602
19941011,0000,696
19941012,0000,948
19941013,0000,2202
19941014,0000,m
19941015,0000,m
19941016,0000,771
19941017,0000,875
19941018,0000,699
19941019,0000,m
19941020,0000,882
19941021,0000,m
19941022,0000,m
19941023,0000,776
19941024,0000,830
19941025,0000,918
19941026,0000,743
19941027,0000,655
19941028,0000,m
19941029,0000,m
19941030,0000,1138
19941031,0000,130
19941101,0000,177
19941102,0000,177
19941103,0000,268
19941104,0000,268
19941105,0000,m
19941106,0000,245
19941107,0000,245
19941108,0000,264
19941109,0000,247
19941110,0000,256
19941111,0000,m
19941112,0000,m
19941113,0000,240
19941114,0000,240
19941115,0000,35
19941116,0000,232
19941117,0000,291
19941118,0000,426
19941119,0000,m
19941120,0000,255
19941121,0000,255
19941122,0000,245
19941123,0000,241
19941124,0000,m
19941125,0000,m
19941126,0000,m
19941127,0000,253
19941128,0000,253
19941129,0000,253
19941130,0000,255
19941201,0000,252
19941202,0000,250
19941203,0000,m
19941204,0000,250
19941205,0000,250
19941206,0000,248
19941207,0000,247
