yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199009,0.002010934520025429,0.0034582242000423817,0.18603626373626372,2,0,1,0,0,0.005232294977749523,0.004429522383774583,0.00247774747246888,0.004689549948484118,0.0034301552830827784
199401,0.00247774747246888,0.0037201320673461435,0.38339725392886687,4,0,0,0,1,0.002010934520025429,0.003621614748887476,0.00257295189658826,0.0034582242000423817,0.00407388707426325
199411,0.00257295189658826,0.0030780080525535073,0.2026028717948718,3,0,0,1,0,0.00247774747246888,0.0022443409962471547,0.005226585730984557,0.0037201320673461435,0.0035891781336942624
199412,0.005226585730984557,0.0031650226606238334,0.2451791894127378,3,0,0,1,0,0.00257295189658826,0.00252534968452857,0.028717445604249124,0.0030780080525535073,0.003399070059949825
199501,0.028717445604249124,0.01798386481553637,0.48153988420181965,4,0,0,0,1,0.005226585730984557,0.0038997688137864086,0.012608046498955588,0.0031650226606238334,0.00312151535658867
199502,0.012608046498955588,0.011960475887748614,0.5728117216117216,4,0,0,0,1,0.028717445604249124,0.01697201566761684,0.03712992227713635,0.01798386481553637,0.010574443738080102
199503,0.03712992227713635,0.03693173922851342,0.5859596360628618,4,0,0,0,1,0.012608046498955588,0.020662746051602357,0.022051858444585716,0.011960475887748614,0.014972170351642493
199504,0.022051858444585716,0.01607479550752278,0.7250850256410256,1,1,0,0,0,0.03712992227713635,0.02486898438804597,0.028628066361790702,0.03693173922851342,0.02444610755813102
199505,0.028628066361790702,0.028941156204499316,0.730416741108354,1,1,0,0,0,0.022051858444585716,0.029590890360861034,0.022647984742530197,0.01607479550752278,0.0265032673680181
199506,0.022647984742530197,0.015305954651409198,0.8997925811965812,1,1,0,0,0,0.028628066361790702,0.02533996240318821,0.01161127357490994,0.028941156204499316,0.022507975856011046
199507,0.01161127357490994,0.022994566645475736,0.8615711794871795,2,0,1,0,0,0.022647984742530197,0.02563802555216045,0.005590990827354463,0.015305954651409198,0.02212355542795426
199508,0.005590990827354463,0.006400290618472437,0.5969085194375516,2,0,1,0,0,0.01161127357490994,0.01712962915872007,0.004498655553201007,0.022994566645475736,0.01915026064844247
199509,0.004498655553201007,0.008194655176473359,0.5371928205128205,2,0,1,0,0,0.005590990827354463,0.008601132201132202,0.00356889171434626,0.006400290618472437,0.014697428631974086
199510,0.00356889171434626,0.005955295613477431,0.4237826302729529,3,0,0,1,0,0.004498655553201007,0.005044823190277735,0.0026324221233312143,0.008194655176473359,0.007297472897472897
199511,0.0026324221233312143,0.005352250257579411,0.3553967108753316,3,0,0,1,0,0.00356889171434626,0.0040337736337736334,0.005561856325492689,0.005955295613477431,0.007074975394975395
199512,0.005561856325492689,0.005051699034103726,0.31682703060380485,3,0,0,1,0,0.0026324221233312143,0.003100656918838737,0.010661591780653365,0.005352250257579411,0.005653772935528422
199601,0.010661591780653365,0.00448845231015319,0.37736,4,0,0,0,1,0.005561856325492689,0.004097139224411951,0.024713453317842034,0.005051699034103726,0.005201974645841568
199602,0.024713453317842034,0.028666786505031017,0.46826076038903625,4,0,0,0,1,0.010661591780653365,0.008111724053073026,0.01875448188175461,0.00448845231015319,0.004770075672128457
199603,0.01875448188175461,0.009956753549480822,0.5257180479735318,4,0,0,0,1,0.024713453317842034,0.0176875225492477,0.016497393515575335,0.028666786505031017,0.016577619407592104
199604,0.016497393515575335,0.011098486967577878,0.7412488888888888,1,1,0,0,0,0.01875448188175461,0.021733967599798322,0.02559247298156389,0.009956753549480822,0.01931177002725592
199605,0.02559247298156389,0.02029060394151303,0.8898206837606838,1,1,0,0,0,0.016497393515575335,0.017625937698664974,0.009160449247721974,0.011098486967577878,0.01052762025852935
199606,0.009160449247721974,0.010089120576393303,0.9668849572649573,1,1,0,0,0,0.02559247298156389,0.02104493324856961,0.0042957816377171215,0.02029060394151303,0.015694545454545454
199607,0.0042957816377171215,0.006180489305415991,0.8939202977667494,2,0,1,0,0,0.009160449247721974,0.017376461114642933,0.0036371839304390626,0.010089120576393303,0.015189862258953166
199608,0.0036371839304390626,0.005931776141746816,0.8174079735318445,2,0,1,0,0,0.0042957816377171215,0.006728115442719548,0.003684577240940877,0.006180489305415991,0.008134804940904647
199609,0.003684577240940877,0.004784606908243272,0.7609243418803417,2,0,1,0,0,0.0036371839304390626,0.003966482784078092,0.002743260258802781,0.005931776141746816,0.006056132723581404
199610,0.002743260258802781,0.005652876156101962,0.6959374028122416,3,0,0,1,0,0.003684577240940877,0.0036608805856899697,0.005055378477322051,0.004784606908243272,0.005358191524995044
199611,0.005055378477322051,0.007380616875287721,0.611827282051282,3,0,0,1,0,0.002743260258802781,0.003213918749871829,0.031086454894079525,0.005652876156101962,0.0052187415321726174
199612,0.031086454894079525,0.0333042675799274,0.517853829611249,3,0,0,1,0,0.005055378477322051,0.0038993193680624157,0.06377130201177122,0.007380616875287721,0.006516746515694841
199701,0.06377130201177122,0.06775353444209749,0.48671788254755993,4,0,0,0,1,0.031086454894079525,0.018070916685700787,0.016023976023976025,0.0333042675799274,0.020342442227607564
199702,0.016023976023976025,0.014979275270184361,0.38640139194139195,4,0,0,0,1,0.06377130201177122,0.04742887845292537,0.010939835531037877,0.06775353444209749,0.05052890101101244
199703,0.010939835531037877,0.008686454894079527,0.43673406120760955,4,0,0,0,1,0.016023976023976025,0.039897639017873625,0.008539097266369994,0.014979275270184361,0.041366404856140924
199704,0.008539097266369994,0.005584301758847213,0.5139481367521368,1,1,0,0,0,0.010939835531037877,0.01348190577750695,0.007884517906336088,0.008686454894079527,0.011832865082131945
