Title: "FOL.csv"

4927,PST,'RESERVOIR STORAGE (af)'
19551001,0000,160262
19551101,0000,172633
19551201,0000,520807
19560101,0000,477361
19560201,0000,495074
19560301,0000,481688
19560401,0000,654585
19560501,0000,1009200
19560601,0000,1018400
19560701,0000,865000
19560801,0000,650300
19560901,0000,533400
19561001,0000,502300
19561101,0000,438300
19561201,0000,409500
19570101,0000,414700
19570201,0000,618900
19570301,0000,646600
19570401,0000,751600
19570501,0000,987500
19570601,0000,1004100
19570701,0000,858900
19570801,0000,670900
19570901,0000,534600
19571001,0000,463700
19571101,0000,389700
19571201,0000,436200
19580101,0000,495200
19580201,0000,610400
19580301,0000,659900
19580401,0000,621700
19580501,0000,983800
19580601,0000,1013300
19580701,0000,903900
19580801,0000,711500
19580901,0000,550100
19581001,0000,480800
19581101,0000,434400
19581201,0000,378300
19590101,0000,476200
19590201,0000,547700
19590301,0000,562200
19590401,0000,765400
19590501,0000,891700
19590601,0000,828700
19590701,0000,581300
19590801,0000,374200
19590901,0000,311800
19591001,0000,293400
19591101,0000,273100
19591201,0000,264000
19600101,0000,301600
19600201,0000,505300
19600301,0000,702200
19600401,0000,863800
19600501,0000,1012400
19600601,0000,939300
19600701,0000,738800
19600801,0000,591500
19600901,0000,518400
19601001,0000,502200
19601101,0000,490400
19601201,0000,432300
19610101,0000,339300
19610201,0000,416800
19610301,0000,530100
19610401,0000,701400
19610501,0000,895800
19610601,0000,870700
19610701,0000,642300
19610801,0000,447100
19610901,0000,389000
19611001,0000,363100
19611101,0000,359900
19611201,0000,398700
19620101,0000,444200
19620201,0000,626600
19620301,0000,454000
19620401,0000,646200
19620501,0000,845600
19620601,0000,948200
19620701,0000,783900
19620801,0000,592400
19620901,0000,454200
19621001,0000,591100
19621101,0000,473500
19621201,0000,493900
19630101,0000,612100
19630201,0000,626300
19630301,0000,637900
19630401,0000,759100
19630501,0000,980900
19630601,0000,1002400
19630701,0000,834200
19630801,0000,628000
19630901,0000,466400
19631001,0000,436600
19631101,0000,477500
19631201,0000,414200
19640101,0000,505100
19640201,0000,507800
19640301,0000,514400
19640401,0000,683100
19640501,0000,920300
19640601,0000,975800
19640701,0000,824500
19640801,0000,671200
19640901,0000,536400
19641001,0000,470500
19641101,0000,505700
19641201,0000,629400
19650101,0000,580200
19650201,0000,553700
19650301,0000,533400
19650401,0000,839200
19650501,0000,878500
19650601,0000,1012800
19650701,0000,942900
19650801,0000,801700
19650901,0000,671400
19651001,0000,607600
19651101,0000,584300
19651201,0000,554600
19660101,0000,589000
19660201,0000,621900
19660301,0000,647700
19660401,0000,807300
19660501,0000,909100
19660601,0000,870600
19660701,0000,782100
19660801,0000,676300
19660901,0000,652700
19661001,0000,648000
19661101,0000,601600
19661201,0000,562000
19670101,0000,620200
19670201,0000,569800
19670301,0000,629600
19670401,0000,661200
19670501,0000,905300
19670601,0000,998300
19670701,0000,970500
19670801,0000,894100
19670901,0000,798600
19671001,0000,734100
19671101,0000,660000
19671201,0000,554100
19680101,0000,596400
19680201,0000,724500
19680301,0000,651900
19680401,0000,684300
19680501,0000,772400
19680601,0000,696800
19680701,0000,555500
19680801,0000,546600
19680901,0000,551400
19681001,0000,577400
19681101,0000,596700
19681201,0000,601200
19690101,0000,566400
19690201,0000,598800
19690301,0000,453900
19690401,0000,581000
19690501,0000,743400
19690601,0000,861700
19690701,0000,893000
19690801,0000,878100
19690901,0000,813600
19691001,0000,664000
19691101,0000,581000
19691201,0000,625200
19700101,0000,607500
19700201,0000,620200
19700301,0000,614000
19700401,0000,703700
19700501,0000,834800
19700601,0000,900600
19700701,0000,770900
19700801,0000,680900
19700901,0000,549200
19701001,0000,529200
19701101,0000,592700
19701201,0000,558200
19710101,0000,520600
19710201,0000,568500
19710301,0000,794500
19710401,0000,818900
19710501,0000,926400
19710601,0000,985300
19710701,0000,869100
19710801,0000,785900
19710901,0000,685500
19711001,0000,616900
19711101,0000,569300
19711201,0000,599800
19720101,0000,598500
19720201,0000,613900
19720301,0000,723400
19720401,0000,865100
19720501,0000,983000
19720601,0000,949700
19720701,0000,841800
19720801,0000,750100
19720901,0000,658700
19721001,0000,607100
19721101,0000,589500
19721201,0000,631100
19730101,0000,594600
19730201,0000,605900
19730301,0000,642400
19730401,0000,790600
19730501,0000,989800
19730601,0000,926000
19730701,0000,809900
19730801,0000,769100
19730901,0000,742200
19731001,0000,668300
19731101,0000,608200
19731201,0000,680800
19740101,0000,611400
19740201,0000,619300
19740301,0000,751100
19740401,0000,775500
19740501,0000,926300
19740601,0000,950200
19740701,0000,934900
19740801,0000,867800
19740901,0000,772800
19741001,0000,683700
19741101,0000,642500
19741201,0000,597800
19750101,0000,630500
19750201,0000,612100
19750301,0000,707800
19750401,0000,690400
19750501,0000,869600
19750601,0000,941800
19750701,0000,854600
19750801,0000,791500
19750901,0000,773000
19751001,0000,704200
19751101,0000,630200
19751201,0000,572200
19760101,0000,539200
19760201,0000,581800
19760301,0000,633500
19760401,0000,636000
19760501,0000,633800
19760601,0000,582100
19760701,0000,520300
19760801,0000,451400
19760901,0000,416400
19761001,0000,417300
19761101,0000,393700
19761201,0000,317000
19770101,0000,292000
19770201,0000,271500
19770301,0000,285300
19770401,0000,297900
19770501,0000,303900
19770601,0000,252500
19770701,0000,200100
19770801,0000,163600
19770901,0000,147000
19771001,0000,146300
19771101,0000,147000
19771201,0000,258800
19780101,0000,602500
19780201,0000,646700
19780301,0000,618200
19780401,0000,844300
19780501,0000,886600
19780601,0000,927400
19780701,0000,871100
19780801,0000,810000
19780901,0000,700100
19781001,0000,627600
19781101,0000,638500
19781201,0000,641100
19790101,0000,679700
