Title: "HID.csv"

5015,PST,'RESERVOIR STORAGE (af)'
19751001,0000,1049
19751101,0000,1386
19751201,0000,2199
19760101,0000,3378
19760201,0000,6029
19760301,0000,9732
19760401,0000,12461
19760501,0000,14338
19760601,0000,10087
19760701,0000,2314
19760801,0000,2260
19760901,0000,2249
19761001,0000,2481
19761101,0000,2845
19761201,0000,3268
19770101,0000,4007
19770201,0000,4510
19770301,0000,4982
19770401,0000,5462
19770501,0000,6333
19770601,0000,6660
19770701,0000,3591
19770801,0000,3396
19770901,0000,3195
19771001,0000,3034
19771101,0000,3275
19771201,0000,7366
19780101,0000,33671
19780201,0000,39162
19780301,0000,65371
19780401,0000,73418
19780501,0000,82650
19780601,0000,80620
19780701,0000,71261
19780801,0000,56225
19780901,0000,49326
19781001,0000,39507
19781101,0000,35408
19781201,0000,25402
19790101,0000,33883
19790201,0000,52818
19790301,0000,70298
19790401,0000,80279
19790501,0000,88373
19790601,0000,76039
19790701,0000,56840
19790801,0000,42427
19790901,0000,33517
19791001,0000,30042
19791101,0000,27463
19791201,0000,26170
19800101,0000,27266
19800201,0000,31321
19800301,0000,51837
19800401,0000,66723
19800501,0000,76400
19800601,0000,70270
19800701,0000,55003
19800801,0000,40203
19800901,0000,32093
19801001,0000,23302
19801101,0000,24048
19801201,0000,25352
19810101,0000,28582
19810201,0000,31888
19810301,0000,38797
19810401,0000,43667
19810501,0000,40192
19810601,0000,29449
19810701,0000,16811
19810801,0000,10763
19810901,0000,10528
19811001,0000,10735
19811101,0000,12576
19811201,0000,15225
19820101,0000,31617
19820201,0000,45839
19820301,0000,67786
19820401,0000,84902
19820501,0000,81632
19820601,0000,76429
19820701,0000,73820
19820801,0000,48951
19820901,0000,37011
19821001,0000,29476
19821101,0000,25132
19821201,0000,25010
19830101,0000,34397
19830201,0000,31219
19830301,0000,52915
19830401,0000,77503
19830501,0000,87507
19830601,0000,78981
19830701,0000,65910
19830801,0000,51922
19830901,0000,51693
19831001,0000,16754
19831101,0000,26774
19831201,0000,36325
19840101,0000,37193
19840201,0000,47026
19840301,0000,54509
19840401,0000,42231
19840501,0000,34475
19840601,0000,24631
19840701,0000,10417
19840801,0000,8886
19840901,0000,8790
19841001,0000,8923
19841101,0000,10505
19841201,0000,12883
19850101,0000,15231
19850201,0000,19765
19850301,0000,27309
19850401,0000,33143
19850501,0000,35378
19850601,0000,24350
19850701,0000,11951
19850801,0000,9781
19850901,0000,9701
19851001,0000,9947
19851101,0000,11366
19851201,0000,14853
19860101,0000,19430
19860201,0000,46739
19860301,0000,57826
19860401,0000,63833
19860501,0000,65076
19860601,0000,55189
19860701,0000,40479
19860801,0000,30595
19860901,0000,21290
19861001,0000,15890
19861101,0000,15870
19861201,0000,16890
19870101,0000,18340
19870201,0000,21670
19870301,0000,26960
19870401,0000,29090
19870501,0000,30000
19870601,0000,23843
19870701,0000,11709
19870801,0000,9830
19870901,0000,9648
19871001,0000,9750
19871101,0000,10347
19871201,0000,11401
19880101,0000,14060
19880201,0000,15524
19880301,0000,18197
19880401,0000,21260
19880501,0000,22762
19880601,0000,11401
19880701,0000,10141
19880801,0000,9870
19880901,0000,9635
19881001,0000,9482
19881101,0000,9679
19881201,0000,10505
19890101,0000,11337
19890201,0000,12963
19890301,0000,19050
19890401,0000,21876
19890501,0000,22931
19890601,0000,22686
19890701,0000,11910
19890801,0000,6149
19890901,0000,6068
19891001,0000,6100
19891101,0000,6507
19891201,0000,6988
19900101,0000,8071
19900201,0000,9339
19900301,0000,11916
19900401,0000,14002
19900501,0000,15029
19900601,0000,15195
19900701,0000,6980
19900801,0000,5889
19900901,0000,5758
19901001,0000,5634
19901101,0000,5589
19901201,0000,5742
19910101,0000,6146
19910201,0000,6503
19910301,0000,23985
19910401,0000,29844
19910501,0000,33000
19910601,0000,30332
19910701,0000,17583
19910801,0000,6995
19910901,0000,5877
19911001,0000,5880
19911101,0000,6162
19911201,0000,6705
19920101,0000,7581
19920201,0000,15907
19920301,0000,21764
19920401,0000,25780
19920501,0000,26884
19920601,0000,24080
19920701,0000,12043
19920801,0000,5833
19920901,0000,5718
19921001,0000,5811
19921101,0000,6142
19921201,0000,7958
19930101,0000,33584
19930201,0000,40182
19930301,0000,55712
19930401,0000,67404
19930501,0000,65371
19930601,0000,59334
19930701,0000,42471
19930801,0000,30268
19930901,0000,29853
19931001,0000,26698
19931101,0000,24510
19931201,0000,24962
19940101,0000,26078
19940201,0000,29253
19940301,0000,31571
19940401,0000,34241
19940501,0000,36930
19940601,0000,29182
19940701,0000,13293
19940801,0000,5975
19940901,0000,5877
19941001,0000,5946
19941101,0000,6650
19941201,0000,7881
19950101,0000,38207
19950201,0000,42525
19950301,0000,70716
19950401,0000,79599
19950501,0000,86093
19950601,0000,77474
19950701,0000,61446
19950801,0000,48460
19950901,0000,47164
19951001,0000,38870
19951101,0000,35053
19951201,0000,27937
19960101,0000,33661
19960201,0000,48181
19960301,0000,52830
19960401,0000,66221
19960501,0000,68609
19960601,0000,58412
19960701,0000,42886
19960801,0000,30650
19960901,0000,22525
19961001,0000,19465
19961101,0000,28189
19961201,0000,34690
19970101,0000,58936
19970201,0000,41066
19970301,0000,53061
19970401,0000,57357
19970501,0000,49715
19970601,0000,39602
19970701,0000,27164
