Title: "ISB.csv"

5096,PST,'RESERVOIR STORAGE (af)'
19521001,0000,308
19521101,0000,347
19521201,0000,379
19530101,0000,398
19530201,0000,367
19530301,0000,424
19530401,0000,887
19530501,0000,638
19530601,0000,725
19530701,0000,304
19530801,0000,300
19530901,0000,300
19531001,0000,308
19531101,0000,314
19531201,0000,317
19540101,0000,347
19540201,0000,344
19540301,0000,488
19540401,0000,23318
19540501,0000,80584
19540601,0000,69512
19540701,0000,45456
19540801,0000,23573
19540901,0000,13349
19541001,0000,10900
19541101,0000,8537
19541201,0000,8670
19550101,0000,10177
19550201,0000,12626
19550301,0000,7453
19550401,0000,6005
19550501,0000,26836
19550601,0000,39753
19550701,0000,25804
19550801,0000,18657
19550901,0000,14714
19551001,0000,13873
19551101,0000,12541
19551201,0000,78567
19560101,0000,119727
19560201,0000,128606
19560301,0000,127150
19560401,0000,173615
19560501,0000,235080
19560601,0000,283033
19560701,0000,252471
19560801,0000,188639
19560901,0000,153728
19561001,0000,132775
19561101,0000,131176
19561201,0000,130313
19570101,0000,130263
19570201,0000,133291
19570301,0000,128546
19570401,0000,125600
19570501,0000,149860
19570601,0000,181164
19570701,0000,147804
19570801,0000,120866
19570901,0000,107439
19571001,0000,102217
19571101,0000,101328
19571201,0000,101413
19580101,0000,103771
19580201,0000,114554
19580301,0000,139836
19580401,0000,227426
19580501,0000,408509
19580601,0000,451608
19580701,0000,371722
19580801,0000,277346
19580901,0000,238614
19581001,0000,206082
19581101,0000,199219
19581201,0000,198112
19590101,0000,196874
19590201,0000,197329
19590301,0000,190688
19590401,0000,198438
19590501,0000,207210
19590601,0000,140259
19590701,0000,94053
19590801,0000,77862
19590901,0000,74313
19591001,0000,72610
19591101,0000,71838
19591201,0000,71608
19600101,0000,72003
19600201,0000,84729
19600301,0000,91414
19600401,0000,110931
19600501,0000,118730
19600601,0000,80989
19600701,0000,55729
19600801,0000,36644
19600901,0000,30654
19601001,0000,29434
19601101,0000,29378
19601201,0000,29119
19610101,0000,28903
19610201,0000,28620
19610301,0000,28195
19610401,0000,35038
19610501,0000,46990
19610601,0000,49664
19610701,0000,31029
19610801,0000,24390
19610901,0000,18364
19611001,0000,17701
19611101,0000,17575
19611201,0000,17524
19620101,0000,17650
19620201,0000,43394
19620301,0000,35621
19620401,0000,86612
19620501,0000,132672
19620601,0000,173554
19620701,0000,129811
19620801,0000,110394
19620901,0000,95114
19621001,0000,84766
19621101,0000,83789
19621201,0000,82849
19630101,0000,97585
19630201,0000,174280
19630301,0000,182721
19630401,0000,211586
19630501,0000,291203
19630601,0000,369261
19630701,0000,338758
19630801,0000,260591
19630901,0000,217027
19631001,0000,177090
19631101,0000,170588
19631201,0000,170043
19640101,0000,168671
19640201,0000,163515
19640301,0000,158633
19640401,0000,171859
19640501,0000,201507
19640601,0000,175310
19640701,0000,123159
19640801,0000,101837
19640901,0000,96967
19641001,0000,95196
19641101,0000,94908
19641201,0000,118303
19650101,0000,128606
19650201,0000,123549
19650301,0000,117402
19650401,0000,156571
19650501,0000,223795
19650601,0000,282634
19650701,0000,275463
19650801,0000,243541
19650901,0000,208954
19651001,0000,176165
19651101,0000,170164
19651201,0000,171194
19660101,0000,169621
19660201,0000,168434
19660301,0000,154979
19660401,0000,176473
19660501,0000,217370
19660601,0000,190112
19660701,0000,139678
19660801,0000,101969
19660901,0000,89175
19661001,0000,83345
19661101,0000,82788
19661201,0000,m
19670101,0000,229612
19670201,0000,253810
19670301,0000,280335
19670401,0000,295330
19670501,0000,371169
19670601,0000,474844
19670701,0000,526275
19670801,0000,372815
19670901,0000,276712
19671001,0000,224348
19671101,0000,200461
19671201,0000,199937
19680101,0000,200134
19680201,0000,203162
19680301,0000,205415
19680401,0000,223582
19680501,0000,255232
19680601,0000,225465
19680701,0000,167899
19680801,0000,127703
19680901,0000,122186
19681001,0000,119874
19681101,0000,119492
19681201,0000,124480
19690101,0000,251946
19690201,0000,256358
19690301,0000,175133
19690401,0000,172703
19690501,0000,454244
19690601,0000,569663
19690701,0000,551493
19690801,0000,431650
19690901,0000,354382
19691001,0000,284064
19691101,0000,226376
19691201,0000,225535
19700101,0000,248832
19700201,0000,256734
19700301,0000,262258
19700401,0000,262867
19700501,0000,314182
19700601,0000,316876
19700701,0000,265849
19700801,0000,195184
19700901,0000,169093
19701001,0000,158122
19701101,0000,159854
19701201,0000,172038
19710101,0000,179123
19710201,0000,173551
19710301,0000,164937
19710401,0000,184478
19710501,0000,215928
19710601,0000,235875
19710701,0000,189918
19710801,0000,139678
19710901,0000,123744
19711001,0000,120689
19711101,0000,120689
19711201,0000,122040
19720101,0000,121605
19720201,0000,117311
19720301,0000,116606
19720401,0000,113035
19720501,0000,123402
19720601,0000,113402
19720701,0000,76040
19720801,0000,52528
19720901,0000,50397
19721001,0000,50397
19721101,0000,52097
19721201,0000,55589
19730101,0000,67431
19730201,0000,77124
19730301,0000,90114
19730401,0000,132877
19730501,0000,320261
19730601,0000,399353
19730701,0000,322896
19730801,0000,253885
19730901,0000,223442
19731001,0000,209156
19731101,0000,204685
19731201,0000,205947
19740101,0000,219702
19740201,0000,202501
19740301,0000,225605
19740401,0000,289587
19740501,0000,409846
19740601,0000,471739
19740701,0000,410999
19740801,0000,332942
19740901,0000,279624
19741001,0000,243763
19741101,0000,224767
19741201,0000,223930
19750101,0000,223303
19750201,0000,214156
19750301,0000,210434
19750401,0000,216406
19750501,0000,301135
19750601,0000,338851
19750701,0000,272805
19750801,0000,198041
19750901,0000,175866
19751001,0000,172214
19751101,0000,170190
19751201,0000,170190
19760101,0000,170309
19760201,0000,166830
19760301,0000,156257
19760401,0000,155863
19760501,0000,169716
19760601,0000,132771
19760701,0000,88737
19760801,0000,69214
19760901,0000,70280
19761001,0000,69612
19761101,0000,68586
19761201,0000,67701
19770101,0000,66598
19770201,0000,65220
19770301,0000,63052
19770401,0000,65890
19770501,0000,72138
19770601,0000,78636
19770701,0000,52799
19770801,0000,39242
19770901,0000,36386
19771001,0000,35620
19771101,0000,35008
19771201,0000,43820
19780101,0000,63926
19780201,0000,129436
19780301,0000,254057
19780401,0000,283723
19780501,0000,374636
19780601,0000,483569
19780701,0000,468614
19780801,0000,385844
19780901,0000,368228
19781001,0000,294143
19781101,0000,247599
19781201,0000,244906
19790101,0000,245280
19790201,0000,254411
19790301,0000,278909
19790401,0000,330654
19790501,0000,426821
19790601,0000,413630
19790701,0000,324352
19790801,0000,236631
19790901,0000,218268
19791001,0000,211769
19791101,0000,209719
19791201,0000,208768
19800101,0000,297292
19800201,0000,383199
19800301,0000,363000
19800401,0000,385667
19800501,0000,501234
19800601,0000,581319
19800701,0000,540904
19800801,0000,408528
19800901,0000,330388
19801001,0000,269997
19801101,0000,230172
19801201,0000,229812
19810101,0000,231543
19810201,0000,237875
19810301,0000,241264
19810401,0000,265290
19810501,0000,305160
19810601,0000,283585
19810701,0000,219244
19810801,0000,178011
19810901,0000,171498
19811001,0000,169162
19811101,0000,167735
19811201,0000,168270
19820101,0000,174644
19820201,0000,183104
19820301,0000,211289
19820401,0000,363829
19820501,0000,525349
19820601,0000,560083
19820701,0000,512295
19820801,0000,408137
19820901,0000,375465
19821001,0000,313395
19821101,0000,267246
19821201,0000,261556
19830101,0000,290764
19830201,0000,357027
19830301,0000,467478
19830401,0000,383958
19830501,0000,485702
19830601,0000,m
19830701,0000,518528
19830801,0000,489430
19830901,0000,396391
19831001,0000,328457
19831101,0000,300710
19831201,0000,312029
19840101,0000,302636
19840201,0000,264354
19840301,0000,275787
19840401,0000,313480
19840501,0000,400836
19840601,0000,395619
19840701,0000,353470
19840801,0000,298790
19840901,0000,277545
19841001,0000,258546
19841101,0000,254485
19841201,0000,244979
19850101,0000,244085
19850201,0000,234660
19850301,0000,232482
19850401,0000,308034
19850501,0000,375559
19850601,0000,367627
19850701,0000,288060
19850801,0000,226090
19850901,0000,203510
19851001,0000,191236
19851101,0000,191494
19851201,0000,195516
19860101,0000,205724
19860201,0000,315450
19860301,0000,421836
19860401,0000,452768
19860501,0000,533100
19860601,0000,553166
19860701,0000,469360
19860801,0000,374623
19860901,0000,326970
19861001,0000,268700
19861101,0000,246101
19861201,0000,244085
19870101,0000,244606
19870201,0000,243787
19870301,0000,239861
19870401,0000,246474
19870501,0000,273083
19870601,0000,253648
19870701,0000,198268
19870801,0000,163733
19870901,0000,151208
19871001,0000,143677
19871101,0000,142661
19871201,0000,143410
19880101,0000,144430
19880201,0000,136036
19880301,0000,129020
19880401,0000,132548
19880501,0000,155688
19880601,0000,143518
19880701,0000,99120
19880801,0000,80629
19880901,0000,75110
19881001,0000,73343
19881101,0000,73107
19881201,0000,73545
19890101,0000,71971
19890201,0000,73377
19890301,0000,107267
19890401,0000,157049
19890501,0000,184739
19890601,0000,172161
19890701,0000,130978
19890801,0000,102795
19890901,0000,95498
19891001,0000,91337
19891101,0000,89694
19891201,0000,85978
19900101,0000,85263
19900201,0000,81570
19900301,0000,78275
19900401,0000,83957
19900501,0000,94365
19900601,0000,89694
19900701,0000,67712
19900801,0000,51515
19900901,0000,48758
19901001,0000,46859
19901101,0000,46327
19901201,0000,46063
19910101,0000,45871
19910201,0000,45347
19910301,0000,64218
19910401,0000,91929
19910501,0000,138536
19910601,0000,171378
19910701,0000,140747
19910801,0000,102966
19910901,0000,98289
19911001,0000,93802
19911101,0000,92405
19911201,0000,89655
19920101,0000,88880
19920201,0000,89422
19920301,0000,89073
19920401,0000,116375
19920501,0000,153550
19920601,0000,143571
19920701,0000,114016
19920801,0000,89616
19920901,0000,84106
19921001,0000,83661
19921101,0000,82886
19921201,0000,82263
19930101,0000,98413
19930201,0000,111418
19930301,0000,151708
19930401,0000,237143
19930501,0000,369205
19930601,0000,416882
19930701,0000,376122
19930801,0000,311772
19930901,0000,270234
19931001,0000,245951
19931101,0000,243861
19931201,0000,242524
19940101,0000,240599
19940201,0000,234660
19940301,0000,229094
19940401,0000,231181
19940501,0000,258469
19940601,0000,238020
19940701,0000,176659
19940801,0000,129120
19940901,0000,118296
19941001,0000,116888
19941101,0000,116375
19941201,0000,115585
19950101,0000,142075
19950201,0000,168865
19950301,0000,266540
19950401,0000,293068
19950501,0000,406279
19950601,0000,505014
19950701,0000,535767
19950801,0000,408918
19950901,0000,336482
19951001,0000,284884
19951101,0000,247074
19951201,0000,246474
19960101,0000,256320
19960201,0000,319410
19960301,0000,377532
19960401,0000,461234
19960501,0000,530544
19960601,0000,522041
19960701,0000,433539
19960801,0000,343172
19960901,0000,288143
19961001,0000,256014
19961101,0000,249555
19961201,0000,252812
19970101,0000,434547
19970201,0000,394560
19970301,0000,352924
19970401,0000,395235
19970501,0000,481037
19970601,0000,481564
19970701,0000,410387
19970801,0000,331179
19970901,0000,295880
19971001,0000,270077
19971101,0000,245129
19971201,0000,242524
19980101,0000,242004
19980201,0000,283911
19980301,0000,335861
19980401,0000,390245
19980501,0000,455443
19980601,0000,535767
19980701,0000,552937
19980801,0000,436059
19980901,0000,366421
19981001,0000,306849
19981101,0000,244980
19981201,0000,244831
19990101,0000,248652
19990201,0000,244905
19990301,0000,251976
19990401,0000,275628
19990501,0000,327494
19990601,0000,324526
19990701,0000,270314
19990801,0000,216459
19990901,0000,187207
19991001,0000,174461
19991101,0000,173855
19991201,0000,169342
20000101,0000,167617
20000201,0000,178813
20000301,0000,193303
20000401,0000,210811
20000501,0000,285697
20000601,0000,278747
20000701,0000,215487
20000801,0000,165786
20000901,0000,145564
20001001,0000,135417
20001101,0000,134439
20001201,0000,129520
20010101,0000,130172
20010201,0000,130928
20010301,0000,139744
20010401,0000,166080
20010501,0000,243563
20010601,0000,205792
20010701,0000,162393
20010801,0000,125555
20010901,0000,108860
20011001,0000,99622
20011101,0000,100419
20011201,0000,105907
20020101,0000,107487
20020201,0000,107619
20020301,0000,111282
20020401,0000,139323
20020501,0000,170658
20020601,0000,173733
20020701,0000,132193
20020801,0000,101221
20020901,0000,89073
20021001,0000,82336
20021101,0000,134542
20021201,0000,138222
20030101,0000,142021
20030201,0000,151652
20030301,0000,173976
20030401,0000,202709
20030501,0000,270314
20030601,0000,303813
20030701,0000,249631
20030801,0000,199588
20030901,0000,172040
20031001,0000,150156
20031101,0000,149000
20031201,0000,148505
20040101,0000,151263
20040201,0000,157904
20040301,0000,191945
20040401,0000,203309
20040501,0000,227733
20040601,0000,206938
20040701,0000,161698
20040801,0000,120476
20040901,0000,98496
20041001,0000,94728
20041101,0000,94163
20041201,0000,94083
20050101,0000,130776
20050201,0000,145402
20050301,0000,201509
20050401,0000,292163
20050501,0000,489749
20050601,0000,528885
20050701,0000,458645
20050801,0000,360328
20050901,0000,301379
20051001,0000,261247
20051101,0000,244607
20051201,0000,246550
20060101,0000,244905
20060201,0000,248125
20060301,0000,287980
20060401,0000,382631
20060501,0000,412940
20060601,0000,380455
20060701,0000,321226
20060801,0000,266385
20060901,0000,236191
20061001,0000,230820
20061101,0000,225877
20061201,0000,226590
20070101,0000,m

