Title: "KES.csv"

5115,PST,'RESERVOIR STORAGE (af)'
19651001,0000,22730
19651101,0000,22440
19651201,0000,22550
19660101,0000,22380
19660201,0000,22180
19660301,0000,22410
19660401,0000,22010
19660501,0000,22340
19660601,0000,22320
19660701,0000,22460
19660801,0000,22380
19660901,0000,22370
19661001,0000,22200
19661101,0000,22480
19661201,0000,22560
19670101,0000,21300
19670201,0000,22530
19670301,0000,22230
19670401,0000,21700
19670501,0000,22480
19670601,0000,22460
19670701,0000,22480
19670801,0000,22730
19670901,0000,22440
19671001,0000,22960
19671101,0000,22510
19671201,0000,21400
19680101,0000,22680
19680201,0000,21410
19680301,0000,22220
19680401,0000,22730
19680501,0000,21890
19680601,0000,22140
19680701,0000,22170
19680801,0000,23250
19680901,0000,23200
19681001,0000,22520
19681101,0000,22180
19681201,0000,23260
19690101,0000,21310
19690201,0000,22690
19690301,0000,21980
19690401,0000,23580
19690501,0000,22740
19690601,0000,23460
19690701,0000,23250
19690801,0000,23290
19690901,0000,23150
19691001,0000,23040
19691101,0000,22530
19691201,0000,21330
19700101,0000,21100
19700201,0000,23190
19700301,0000,22860
19700401,0000,23230
19700501,0000,22750
19700601,0000,23450
19700701,0000,22980
19700801,0000,22910
19700901,0000,23520
19701001,0000,23150
19701101,0000,21800
19701201,0000,21220
19710101,0000,21950
19710201,0000,23370
19710301,0000,21950
19710401,0000,22760
19710501,0000,21320
19710601,0000,22900
19710701,0000,22510
19710801,0000,23530
19710901,0000,21210
19711001,0000,21720
19711101,0000,21430
19711201,0000,21830
19720101,0000,22020
19720201,0000,21880
19720301,0000,21380
19720401,0000,22130
19720501,0000,22740
19720601,0000,22530
19720701,0000,23340
19720801,0000,23300
19720901,0000,22530
19721001,0000,21900
19721101,0000,22200
19721201,0000,21430
19730101,0000,21570
19730201,0000,21820
19730301,0000,22660
19730401,0000,22590
19730501,0000,22710
19730601,0000,22810
19730701,0000,23010
19730801,0000,23060
19730901,0000,22490
19731001,0000,22820
19731101,0000,21860
19731201,0000,22510
19740101,0000,21630
19740201,0000,22980
19740301,0000,22240
19740401,0000,23180
19740501,0000,23160
19740601,0000,22300
19740701,0000,23220
19740801,0000,22880
19740901,0000,21340
19741001,0000,20790
19741101,0000,20620
19741201,0000,22090
19750101,0000,21590
19750201,0000,22600
19750301,0000,23380
19750401,0000,22140
19750501,0000,23220
19750601,0000,23100
19750701,0000,23050
19750801,0000,22900
19750901,0000,22680
19751001,0000,22300
19751101,0000,23000
19751201,0000,21980
19760101,0000,21740
19760201,0000,23190
19760301,0000,22790
19760401,0000,22850
19760501,0000,23000
19760601,0000,23170
19760701,0000,22970
19760801,0000,23070
19760901,0000,21660
19761001,0000,22330
19761101,0000,21620
19761201,0000,22860
19770101,0000,22300
19770201,0000,22960
19770301,0000,21750
19770401,0000,21500
19770501,0000,22910
19770601,0000,22840
19770701,0000,23310
19770801,0000,22350
19770901,0000,20700
19771001,0000,22320
19771101,0000,21450
19771201,0000,23260
19780101,0000,22210
19780201,0000,22640
19780301,0000,22250
19780401,0000,22380
19780501,0000,22350
19780601,0000,21940
19780701,0000,22800
19780801,0000,22240
19780901,0000,21030
19781001,0000,21800
19781101,0000,22000
19781201,0000,21950
19790101,0000,21970
19790201,0000,22100
19790301,0000,22680
19790401,0000,21360
19790501,0000,21630
19790601,0000,21360
19790701,0000,21680
19790801,0000,21810
19790901,0000,21500
19791001,0000,21850
19791101,0000,22440
19791201,0000,21760
19800101,0000,22410
19800201,0000,21010
19800301,0000,21450
19800401,0000,21320
19800501,0000,22010
19800601,0000,21480
19800701,0000,23040
19800801,0000,22820
19800901,0000,22050
19801001,0000,22200
19801101,0000,21050
19801201,0000,22060
19810101,0000,22480
19810201,0000,23190
19810301,0000,21920
19810401,0000,21850
19810501,0000,21680
19810601,0000,22430
19810701,0000,21890
19810801,0000,22740
19810901,0000,22290
19811001,0000,20730
19811101,0000,20990
19811201,0000,21800
19820101,0000,22630
19820201,0000,21800
19820301,0000,21750
19820401,0000,22140
19820501,0000,23230
19820601,0000,21250
19820701,0000,23550
19820801,0000,22260
19820901,0000,22070
19821001,0000,22780
19821101,0000,20660
19821201,0000,22280
19830101,0000,20660
19830201,0000,22270
19830301,0000,20600
19830401,0000,22610
19830501,0000,22280
19830601,0000,21900
19830701,0000,21530
19830801,0000,23040
19830901,0000,22350
19831001,0000,22560
19831101,0000,21510
19831201,0000,22100
19840101,0000,22610
19840201,0000,22780
19840301,0000,22380
19840401,0000,21920
19840501,0000,21620
19840601,0000,22350
19840701,0000,21060
19840801,0000,22070
19840901,0000,21180
19841001,0000,22630
19841101,0000,m
19841201,0000,22470
19850101,0000,21950
19850201,0000,21990
19850301,0000,21900
19850401,0000,22300
19850501,0000,22040
19850601,0000,22940
19850701,0000,22540
19850801,0000,22450
19850901,0000,22300
19851001,0000,22430
19851101,0000,21990
19851201,0000,22270
19860101,0000,22180
19860201,0000,19660
19860301,0000,21790
19860401,0000,22910
19860501,0000,21450
19860601,0000,23428
19860701,0000,m
19860801,0000,m
19860901,0000,m
19861001,0000,22161
19861101,0000,22285
19861201,0000,21229
19870101,0000,21829
19870201,0000,22131
19870301,0000,21538
19870401,0000,22545
19870501,0000,22570
19870601,0000,21952
19870701,0000,21356
19870801,0000,22476
19870901,0000,22211
19871001,0000,22764
19871101,0000,22377
19871201,0000,22248
19880101,0000,22620
19880201,0000,21970
19880301,0000,23160
19880401,0000,21440
19880501,0000,21952
19880601,0000,21374
19880701,0000,21520
19880801,0000,21750
19880901,0000,22229
19881001,0000,21775
19881101,0000,22112
19881201,0000,21952
19890101,0000,21611
19890201,0000,22001
19890301,0000,20961
19890401,0000,22149
19890501,0000,22526
19890601,0000,22094
19890701,0000,22297
19890801,0000,21890
19890901,0000,22482
19891001,0000,22001
19891101,0000,22057
19891201,0000,22764
19900101,0000,21713
19900201,0000,21307
19900301,0000,21062
19900401,0000,22790
19900501,0000,21995
19900601,0000,22192
19900701,0000,22266
19900801,0000,22570
19900901,0000,21026
19901001,0000,21995
19901101,0000,21970
19901201,0000,22168
19910101,0000,20787
19910201,0000,20592
19910301,0000,20704
19910401,0000,21983
19910501,0000,22607
19910601,0000,20973
19910701,0000,22670
19910801,0000,22094
19910901,0000,22507
19911001,0000,21429
19911101,0000,21946
19911201,0000,22353
19920101,0000,21593
19920201,0000,22720
19920301,0000,21574
19920401,0000,21014
19920501,0000,21877
19920601,0000,21598
19920701,0000,21768
19920801,0000,19377
19920901,0000,21325
19921001,0000,22739
19921101,0000,21489
19921201,0000,21927
19930101,0000,21574
19930201,0000,21465
19930301,0000,21145
19930401,0000,22670
19930501,0000,21683
19930601,0000,21683
19930701,0000,19726
19930801,0000,20129
19930901,0000,21044
19931001,0000,20740
19931101,0000,21896
19931201,0000,21568
19940101,0000,21689
19940201,0000,20752
19940301,0000,20691
19940401,0000,19898
19940501,0000,21768
19940601,0000,22136
19940701,0000,21604
19940801,0000,22094
19940901,0000,20739
19941001,0000,21002
19941101,0000,21128
19941201,0000,20877
19950101,0000,20100
19950201,0000,22427
19950301,0000,21659
19950401,0000,20428
19950501,0000,21957
19950601,0000,21187
19950701,0000,21348
19950801,0000,21732
19950901,0000,21295
19951001,0000,22733
19951101,0000,21952
19951201,0000,21435
19960101,0000,22934
19960201,0000,20663
19960301,0000,21989
19960401,0000,22217
19960501,0000,19350
19960601,0000,21020
19960701,0000,23141
19960801,0000,22614
19960901,0000,21217
19961001,0000,20811
19961101,0000,21380
19961201,0000,21780
19970101,0000,20129
19970201,0000,21151
19970301,0000,22476
19970401,0000,22396
19970501,0000,21695
19970601,0000,21465
19970701,0000,21026
19970801,0000,21920
19970901,0000,21620
19971001,0000,23053
19971101,0000,21726
19971201,0000,21193
19980101,0000,19950
19980201,0000,19725
19980301,0000,20416
19980401,0000,20912
19980501,0000,21115
19980601,0000,20924
19980701,0000,21877
19980801,0000,22204
19980901,0000,21586
19981001,0000,21440
19981101,0000,22198
19981201,0000,22050
19990101,0000,21410
19990201,0000,20853
19990301,0000,20387
19990401,0000,21157
19990501,0000,21604
19990601,0000,21786
19990701,0000,21798
19990801,0000,22075
19990901,0000,22155
19991001,0000,22408
19991101,0000,22582
19991201,0000,20907
20000101,0000,19541
20000201,0000,20853
20000301,0000,20569
20000401,0000,21902
