Date,PST,Storage
19850210,0000,21315
19850211,0000,m
19850212,0000,22020
19850213,0000,22145
19850214,0000,22660
19850215,0000,m
19850216,0000,m
19850217,0000,m
19850218,0000,21080
19850219,0000,21585
19850220,0000,21640
19850221,0000,21815
19850222,0000,m
19850223,0000,m
19850224,0000,21495
19850225,0000,22045
19850226,0000,21610
19850227,0000,21885
19850228,0000,21990
19850301,0000,m
19850302,0000,21595
19850303,0000,21440
19850304,0000,21490
19850305,0000,21690
19850306,0000,21720
19850307,0000,m
19850308,0000,m
19850309,0000,21465
19850310,0000,21525
19850311,0000,21925
19850312,0000,22590
19850313,0000,22490
19850314,0000,m
19850315,0000,m
19850316,0000,m
19850317,0000,22520
19850318,0000,22595
19850319,0000,22040
19850320,0000,21695
19850321,0000,m
19850322,0000,m
19850323,0000,21285
19850324,0000,21665
19850325,0000,22215
19850326,0000,22545
19850327,0000,22945
19850328,0000,m
19850329,0000,m
19850330,0000,21895
19850331,0000,22590
19850401,0000,22880
19850402,0000,22580
19850403,0000,21725
19850404,0000,m
19850405,0000,m
19850406,0000,20935
19850407,0000,21510
19850408,0000,21995
19850409,0000,22295
19850410,0000,22470
19850411,0000,m
19850412,0000,m
19850413,0000,27770
19850414,0000,22330
19850415,0000,22760
19850416,0000,22235
19850417,0000,21475
19850418,0000,m
19850419,0000,m
19850420,0000,m
19850421,0000,21795
19850422,0000,22155
19850423,0000,22120
19850424,0000,22260
19850425,0000,m
19850426,0000,m
19850427,0000,240
19850428,0000,22385
19850429,0000,23340
19850430,0000,21870
19850501,0000,21640
19850502,0000,m
19850503,0000,m
19850504,0000,21975
19850505,0000,22210
19850506,0000,22295
19850507,0000,22335
19850508,0000,22445
19850509,0000,m
19850510,0000,m
19850511,0000,22690
19850512,0000,22635
19850513,0000,21745
19850514,0000,21885
19850515,0000,21745
19850516,0000,m
19850517,0000,m
19850518,0000,21740
19850519,0000,21740
19850520,0000,21375
19850521,0000,21500
19850522,0000,22300
19850523,0000,m
19850524,0000,m
19850525,0000,m
19850526,0000,22590
19850527,0000,23010
19850528,0000,22745
19850529,0000,22775
19850530,0000,m
19850531,0000,m
19850601,0000,21995
19850602,0000,22265
19850603,0000,22815
19850604,0000,23070
19850605,0000,m
19850606,0000,m
19850607,0000,m
19850608,0000,22200
19850609,0000,22075
19850610,0000,22075
19850611,0000,22005
19850612,0000,21800
19850613,0000,m
19850614,0000,m
19850615,0000,22550
19850616,0000,22640
19850617,0000,22825
19850618,0000,23135
19850619,0000,23230
19850620,0000,m
19850621,0000,m
19850622,0000,m
19850623,0000,22460
19850624,0000,m
19850625,0000,22420
19850626,0000,21295
19850627,0000,m
19850628,0000,m
19850629,0000,22940
19850630,0000,22600
19850701,0000,21060
19850702,0000,m
19850703,0000,20955
19850704,0000,m
19850705,0000,m
19850706,0000,21325
19850707,0000,20510
19850708,0000,19570
19850709,0000,21185
19850710,0000,21195
19850711,0000,m
19850712,0000,m
19850713,0000,21610
19850714,0000,21600
19850715,0000,21320
19850716,0000,21265
19850717,0000,-480
19850718,0000,m
19850719,0000,m
19850720,0000,2030
19850721,0000,21925
19850722,0000,22420
19850723,0000,23010
19850724,0000,22845
19850725,0000,m
19850726,0000,m
19850727,0000,23160
19850728,0000,23105
19850729,0000,22985
19850730,0000,22540
19850731,0000,22785
19850801,0000,m
19850802,0000,m
19850803,0000,20280
19850804,0000,21560
19850805,0000,23130
19850806,0000,m
19850807,0000,22445
19850808,0000,m
19850809,0000,m
19850810,0000,21730
19850811,0000,21740
19850812,0000,21165
19850813,0000,21485
19850814,0000,22230
19850815,0000,m
19850816,0000,m
19850817,0000,23080
19850818,0000,22965
19850819,0000,22180
19850820,0000,21890
19850821,0000,22310
19850822,0000,m
19850823,0000,m
19850824,0000,22985
19850825,0000,22230
19850826,0000,23060
19850827,0000,21870
19850828,0000,22445
19850829,0000,m
19850830,0000,m
19850831,0000,m
19850901,0000,22170
19850902,0000,m
19850903,0000,23010
19850904,0000,23060
19850905,0000,m
19850906,0000,m
19850907,0000,22835
19850908,0000,21945
19850909,0000,22015
19850910,0000,21970
19850911,0000,21945
19850912,0000,m
19850913,0000,m
19850914,0000,21285
19850915,0000,21540
19850916,0000,22645
19850917,0000,22415
19850918,0000,22495
19850919,0000,m
19850920,0000,m
19850921,0000,22985
19850922,0000,23300
19850923,0000,22320
19850924,0000,21720
19850925,0000,21465
19850926,0000,m
19850927,0000,m
19850928,0000,22465
19850929,0000,22295
19850930,0000,22555
19851001,0000,22425
19851002,0000,22480
19851003,0000,m
19851004,0000,m
19851005,0000,21990
19851006,0000,21900
19851007,0000,22050
19851008,0000,14778
19851009,0000,21445
19851010,0000,m
19851011,0000,m
19851012,0000,m
19851013,0000,22460
19851014,0000,21885
19851015,0000,21240
19851016,0000,22050
19851017,0000,m
19851018,0000,m
19851019,0000,22405
19851020,0000,22475
19851021,0000,22555
19851022,0000,22660
19851023,0000,22505
19851024,0000,m
19851025,0000,m
19851026,0000,23200
19851027,0000,22790
19851028,0000,22320
19851029,0000,22260
19851030,0000,22435
19851031,0000,m
19851101,0000,m
19851102,0000,21700
19851103,0000,22230
19851104,0000,22150
19851105,0000,21600
19851106,0000,21075
19851107,0000,m
19851108,0000,m
19851109,0000,m
19851110,0000,22150
19851111,0000,22425
19851112,0000,22530
19851113,0000,22415
19851114,0000,m
19851115,0000,m
19851116,0000,22600
19851117,0000,22885
19851118,0000,21145
19851119,0000,21340
19851120,0000,21210
19851121,0000,m
19851122,0000,m
19851123,0000,21700
19851124,0000,21725
19851125,0000,21995
19851126,0000,m
19851127,0000,m
19851128,0000,m
19851129,0000,m
19851130,0000,21765
19851201,0000,22990
19851202,0000,22740
19851203,0000,23030
19851204,0000,22670
19851205,0000,m
19851206,0000,12345
19851207,0000,22151
19851208,0000,21520
19851209,0000,21750
19851210,0000,21840
19851211,0000,22075
19851212,0000,m
19851213,0000,3512
19851214,0000,22590
19851215,0000,22645
19851216,0000,22320
19851217,0000,22095
19851218,0000,21600
19851219,0000,m
19851220,0000,m
19851221,0000,21865
19851222,0000,22340
19851223,0000,m
19851224,0000,22295
19851225,0000,22050
19851226,0000,m
19851227,0000,m
19851228,0000,22170
19851229,0000,22135
19851230,0000,m
19851231,0000,m
19860101,0000,22025
19860102,0000,22045
19860103,0000,m
19860104,0000,m
19860105,0000,m
19860106,0000,22600
19860107,0000,m
19860108,0000,22050
19860109,0000,22025
19860110,0000,m
19860111,0000,m
19860112,0000,22040
19860113,0000,22615
19860114,0000,-105
19860115,0000,22850
19860116,0000,22545
19860117,0000,m
19860118,0000,m
19860119,0000,m
19860120,0000,22260
19860121,0000,m
19860122,0000,m
19860123,0000,m
19860124,0000,m
19860125,0000,m
19860126,0000,m
19860127,0000,m
19860128,0000,m
19860129,0000,m
19860130,0000,m
19860131,0000,m
19860201,0000,m
19860202,0000,m
19860203,0000,m
19860204,0000,m
19860205,0000,m
19860206,0000,m
19860207,0000,m
19860208,0000,m
19860209,0000,m
19860210,0000,m
19860211,0000,m
19860212,0000,m
19860213,0000,m
19860214,0000,m
19860215,0000,m
19860216,0000,m
19860217,0000,m
19860218,0000,m
19860219,0000,m
19860220,0000,m
19860221,0000,m
19860222,0000,m
19860223,0000,m
19860224,0000,m
19860225,0000,m
19860226,0000,m
19860227,0000,m
19860228,0000,m
19860301,0000,m
19860302,0000,m
19860303,0000,m
19860304,0000,m
19860305,0000,m
19860306,0000,m
19860307,0000,m
19860308,0000,m
19860309,0000,m
19860310,0000,m
19860311,0000,m
19860312,0000,m
19860313,0000,m
19860314,0000,m
19860315,0000,m
19860316,0000,m
19860317,0000,m
19860318,0000,20610
19860319,0000,m
19860320,0000,m
19860321,0000,m
19860322,0000,m
19860323,0000,m
19860324,0000,22273
19860325,0000,22242
19860326,0000,m
19860327,0000,m
19860328,0000,m
19860329,0000,m
19860330,0000,m
19860331,0000,m
19860401,0000,m
19860402,0000,m
19860403,0000,m
19860404,0000,m
19860405,0000,m
19860406,0000,m
19860407,0000,m
19860408,0000,m
19860409,0000,m
19860410,0000,m
19860411,0000,m
19860412,0000,m
19860413,0000,m
19860414,0000,m
19860415,0000,21617
19860416,0000,m
19860417,0000,m
19860418,0000,m
19860419,0000,m
19860420,0000,m
19860421,0000,m
19860422,0000,m
19860423,0000,m
19860424,0000,m
19860425,0000,m
19860426,0000,m
19860427,0000,m
19860428,0000,m
19860429,0000,m
19860430,0000,m
19860501,0000,m
19860502,0000,m
19860503,0000,m
19860504,0000,m
19860505,0000,m
19860506,0000,m
19860507,0000,m
19860508,0000,m
19860509,0000,m
19860510,0000,m
19860511,0000,m
19860512,0000,21989
19860513,0000,m
19860514,0000,m
19860515,0000,m
19860516,0000,m
