yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199009,0.44330443214233367,0.4335629643827585,0.954752972130189,2,0,1,0,0,0.054881854978818666,0.08460658372369047,0.040772756187254115,0.04966672577419761,0.08242673589576989
199401,0.040772756187254115,0.040589448998229846,0.9516415086036175,4,0,0,0,1,0.44330443214233367,0.24909314356057616,0.043976413020193256,0.4335629643827585,0.24161484507847805
199411,0.043976413020193256,0.04471604297971655,0.9445588904047294,3,0,0,1,0,0.040772756187254115,0.2420385941647939,0.06507405210361365,0.040589448998229846,0.23707620669049417
199412,0.06507405210361365,0.06432772997687201,0.9486115389693263,3,0,0,1,0,0.043976413020193256,0.04237458460372369,0.05132164846991234,0.04471604297971655,0.0426527459889732
199501,0.05132164846991234,0.051260546073570924,0.9578708797253883,4,0,0,0,1,0.06507405210361365,0.054525232561903454,0.04115963411510975,0.06432772997687201,0.054521886478294285
199502,0.04115963411510975,0.042213026958159046,0.952928279087897,4,0,0,0,1,0.05132164846991234,0.058197850286763,0.33219190662389986,0.051260546073570924,0.05779413802522147
199503,0.33219190662389986,0.3326327167689344,0.9587664480922412,4,0,0,0,1,0.04115963411510975,0.04624064129251104,0.28408555353861065,0.042213026958159046,0.046736786515864985
199504,0.28408555353861065,0.2825070749664573,0.9619258753979082,1,1,0,0,0,0.33219190662389986,0.1866757703695048,0.6157986792426067,0.3326327167689344,0.18742287186354673
199505,0.6157986792426067,0.610827562854544,0.9577850635919553,1,1,0,0,0,0.28408555353861065,0.30813873008125525,0.5006347738829445,0.2825070749664573,0.3075698958676959
199506,0.5006347738829445,0.5003010384134036,0.9408640291041382,1,1,0,0,0,0.6157986792426067,0.44994211639060866,0.47942453181198064,0.610827562854544,0.44666731891050065
199507,0.47942453181198064,0.4783692061380267,0.9504411095952706,2,0,1,0,0,0.5006347738829445,0.5582167265627755,0.41309535889716964,0.5003010384134036,0.5555643006339738
199508,0.41309535889716964,0.41348120921480713,0.9474508615027032,2,0,1,0,0,0.47942453181198064,0.4900296528474626,0.37633434681679756,0.4783692061380267,0.48933512227571513
199509,0.37633434681679756,0.3759935958869358,0.9599565459047043,2,0,1,0,0,0.41309535889716964,0.44625994535457514,0.16768574435567557,0.41348120921480713,0.4459252076764169
199510,0.16768574435567557,0.16719587169535208,0.9535316639528232,3,0,0,1,0,0.37633434681679756,0.3947148528569836,0.07283240095532943,0.3759935958869358,0.3947374025508715
199511,0.07283240095532943,0.07266911006855496,0.9489415251446583,3,0,0,1,0,0.16768574435567557,0.27201004558623654,0.06284381463715179,0.16719587169535208,0.27159473379114396
199512,0.06284381463715179,0.06262122733619375,0.9423073537825111,3,0,0,1,0,0.07283240095532943,0.12025907265550251,0.0738096580338922,0.07266911006855496,0.11993249088195351
199601,0.0738096580338922,0.07251079566594883,0.9441405184174625,4,0,0,0,1,0.06284381463715179,0.06783810779624061,0.59034787568276,0.06262122733619375,0.06764516870237436
199602,0.59034787568276,0.5638387665783989,0.9557792727101659,4,0,0,0,1,0.0738096580338922,0.068326736335522,0.27564294814697893,0.07251079566594883,0.06756601150107129
199603,0.27564294814697893,0.2749303778201211,0.9500616115829775,4,0,0,0,1,0.59034787568276,0.3320787668583261,0.22630421792024175,0.5638387665783989,0.3181747811221739
199604,0.22630421792024175,0.22533909102183938,0.9511709868121874,1,1,0,0,0,0.27564294814697893,0.43299541191486945,0.3190375790648642,0.2749303778201211,0.41938457219926
199605,0.3190375790648642,0.3181536310644583,0.9551136880400182,1,1,0,0,0,0.22630421792024175,0.25097358303361034,0.37439256762089457,0.22533909102183938,0.2501347344209802
199606,0.37439256762089457,0.3735401891919317,0.9465802637562528,1,1,0,0,0,0.3190375790648642,0.272670898492553,0.4805092448289369,0.3181536310644583,0.27174636104314887
199607,0.4805092448289369,0.4798763985811151,0.9448246270298816,2,0,1,0,0,0.37439256762089457,0.3467150733428794,0.46000939085639003,0.3735401891919317,0.345846910128195
199608,0.46000939085639003,0.458551662257959,0.9559213132068829,2,0,1,0,0,0.4805092448289369,0.42745090622491577,0.4003788348573168,0.4798763985811151,0.4267082938865234
199609,0.4003788348573168,0.39842603136662424,0.9591018644838563,2,0,1,0,0,0.46000939085639003,0.4702593178426635,0.20671377127990972,0.458551662257959,0.469214030419537
199610,0.20671377127990972,0.20792709029297507,0.9563789992518592,3,0,0,1,0,0.4003788348573168,0.4301941128568534,0.053386789067441855,0.39842603136662424,0.4284888468122916
199611,0.053386789067441855,0.05292957458447329,0.9504657289363505,3,0,0,1,0,0.20671377127990972,0.30354630306861324,0.11523911949992052,0.20792709029297507,0.30317656082979966
199612,0.11523911949992052,0.11478958044112292,0.9550213440126745,3,0,0,1,0,0.053386789067441855,0.1300502801736758,0.853220769140962,0.05292957458447329,0.13042833243872418
199701,0.853220769140962,0.8539845490952299,0.9435065792368965,4,0,0,0,1,0.11523911949992052,0.08431295428368119,0.3742298876864175,0.11478958044112292,0.0838595775127981
199702,0.3742298876864175,0.37414291029570695,0.9547895147144806,4,0,0,0,1,0.853220769140962,0.48422994432044125,0.10813814815367108,0.8539845490952299,0.4843870647681764
199703,0.10813814815367108,0.10747475070767849,0.9500682128240109,4,0,0,0,1,0.3742298876864175,0.6137253284136898,0.21039315391293564,0.37414291029570695,0.6140637296954684
199704,0.21039315391293564,0.210023338933174,0.9503478854024556,1,1,0,0,0,0.10813814815367108,0.2411840179200443,0.4610917761630095,0.10747475070767849,0.24080883050169272
199705,0.4610917761630095,0.4611485141024695,0.9483958984289047,1,1,0,0,0,0.21039315391293564,0.15926565103330337,0.48772732910150746,0.210023338933174,0.15874904482042623
199706,0.48772732910150746,0.4848725378552986,0.959081400636653,1,1,0,0,0,0.4610917761630095,0.33574246503797256,0.47028768681239347,0.4611485141024695,0.3355859265178217
199707,0.47028768681239347,0.4701480241921845,0.9690445803811117,2,0,1,0,0,0.48772732910150746,0.4744095526322585,0.2549846643896325,0.4848725378552986,0.47301052597888404
199708,0.2549846643896325,0.2539241013674207,0.9596708181138054,2,0,1,0,0,0.47028768681239347,0.47900750795695046,0.1226613148726506,0.4701480241921845,0.47751028102374155
199709,0.1226613148726506,0.12209757252545296,0.9591405184174625,2,0,1,0,0,0.2549846643896325,0.362636175601013,0.13020920660356874,0.2539241013674207,0.3620360627798026
199710,0.13020920660356874,0.13070239023118163,0.9593451568894952,3,0,0,1,0,0.1226613148726506,0.18882298963114155,0.06827596315380019,0.12209757252545296,0.18801083694643683
199711,0.06827596315380019,0.0681541948068055,0.9584788540245566,3,0,0,1,0,0.13020920660356874,0.12643526073810968,0.058074481638911754,0.13070239023118163,0.1263999813783173
199712,0.058074481638911754,0.05770015672037252,0.9479513415188722,3,0,0,1,0,0.06827596315380019,0.09924258487868447,0.05881105647861798,0.0681541948068055,0.09942829251899357
199801,0.05881105647861798,0.059470089467729026,0.9577938652466663,4,0,0,0,1,0.058074481638911754,0.06317522239635598,0.4644544343167684,0.05770015672037252,0.06292717576358901
199802,0.4644544343167684,0.46258442041649284,0.9552061001754044,4,0,0,0,1,0.05881105647861798,0.05844276905876487,0.44848286023226913,0.059470089467729026,0.05858512309405077
199803,0.44848286023226913,0.45060835073357425,0.9522774281564933,4,0,0,0,1,0.4644544343167684,0.2616327453976932,0.8567126356432125,0.46258442041649284,0.26102725494211093
199804,0.8567126356432125,0.8556489121522244,0.9552853177776733,1,1,0,0,0,0.44848286023226913,0.45646864727451875,0.5886823086376602,0.45060835073357425,0.45659638557503357
199805,0.5886823086376602,0.5894155373937573,0.9514214672358402,1,1,0,0,0,0.8567126356432125,0.6525977479377408,0.7424937706470635,0.8556489121522244,0.6531286314428993
199806,0.7424937706470635,0.7414880542996628,0.9368258299226921,1,1,0,0,0,0.5886823086376602,0.7226974721404364,0.5001747601276313,0.5894155373937573,0.7225322247729908
199807,0.5001747601276313,0.4980731286572785,0.9435652569349704,2,0,1,0,0,0.7424937706470635,0.6655880396423619,0.4478674718119734,0.7414880542996628,0.6654517958467101
199808,0.4478674718119734,0.4481162458542206,0.9415526118910356,2,0,1,0,0,0.5001747601276313,0.6213342653873474,0.2879956704587735,0.4980731286572785,0.6197805914784706
199809,0.2879956704587735,0.2866832782744974,0.9540063665302411,2,0,1,0,0,0.4478674718119734,0.47402111596980234,0.14847009419589063,0.4481162458542206,0.47309468725574955
