Date,PST,Outflow
19900101,0000,300
19900102,0000,300
19900103,0000,300
19900104,0000,300
19900105,0000,300
19900106,0000,300
19900107,0000,319
19900108,0000,300
19900109,0000,300
19900110,0000,300
19900111,0000,300
19900112,0000,300
19900113,0000,300
19900114,0000,300
19900115,0000,300
19900116,0000,300
19900117,0000,300
19900118,0000,300
19900119,0000,300
19900120,0000,571
19900121,0000,574
19900122,0000,630
19900123,0000,627
19900124,0000,912
19900125,0000,798
19900126,0000,717
19900127,0000,714
19900128,0000,681
19900129,0000,680
19900130,0000,683
19900131,0000,300
19900201,0000,300
19900202,0000,300
19900203,0000,300
19900204,0000,300
19900205,0000,300
19900206,0000,300
19900207,0000,300
19900208,0000,300
19900209,0000,300
19900210,0000,300
19900211,0000,300
19900212,0000,300
19900213,0000,300
19900214,0000,300
19900215,0000,311
19900216,0000,300
19900217,0000,300
19900218,0000,300
19900219,0000,300
19900220,0000,351
19900221,0000,300
19900222,0000,300
19900223,0000,300
19900224,0000,300
19900225,0000,300
19900226,0000,300
19900227,0000,300
19900228,0000,300
19900301,0000,300
19900302,0000,300
19900303,0000,300
19900304,0000,300
19900305,0000,300
19900306,0000,300
19900307,0000,300
19900308,0000,300
19900309,0000,300
19900310,0000,300
19900311,0000,300
19900312,0000,300
19900313,0000,300
19900314,0000,300
19900315,0000,300
19900316,0000,300
19900317,0000,300
19900318,0000,300
19900319,0000,300
19900320,0000,300
19900321,0000,300
19900322,0000,300
19900323,0000,300
19900324,0000,300
19900325,0000,300
19900326,0000,300
19900327,0000,300
19900328,0000,300
19900329,0000,300
19900330,0000,300
19900331,0000,300
19900401,0000,328
19900402,0000,300
19900403,0000,300
19900404,0000,300
19900405,0000,300
19900406,0000,300
19900407,0000,300
19900408,0000,300
19900409,0000,300
19900410,0000,300
19900411,0000,300
19900412,0000,708
19900413,0000,836
19900414,0000,707
19900415,0000,300
19900416,0000,717
19900417,0000,300
19900418,0000,300
19900419,0000,741
19900420,0000,367
19900421,0000,706
19900422,0000,300
19900423,0000,706
19900424,0000,384
19900425,0000,727
19900426,0000,300
19900427,0000,696
19900428,0000,312
19900429,0000,300
19900430,0000,719
19900501,0000,300
19900502,0000,1100
19900503,0000,300
19900504,0000,1026
19900505,0000,300
19900506,0000,300
19900507,0000,1095
19900508,0000,300
19900509,0000,1310
19900510,0000,300
19900511,0000,1310
19900512,0000,1338
19900513,0000,300
19900514,0000,1342
19900515,0000,600
19900516,0000,600
19900517,0000,600
19900518,0000,600
19900519,0000,1292
19900520,0000,600
19900521,0000,1329
19900522,0000,600
19900523,0000,600
19900524,0000,600
19900525,0000,600
19900526,0000,600
19900527,0000,600
19900528,0000,600
19900529,0000,600
19900530,0000,2708
19900531,0000,2642
19900601,0000,300
19900602,0000,300
19900603,0000,300
19900604,0000,300
19900605,0000,300
19900606,0000,729
19900607,0000,150
19900608,0000,656
19900609,0000,150
19900610,0000,150
19900611,0000,703
19900929,0000,3254
19900930,0000,3155
19931001,0000,m
19931002,0000,959
19931003,0000,300
19931004,0000,300
19931005,0000,826
19931006,0000,750
19931007,0000,300
19931008,0000,300
19931009,0000,300
19931010,0000,300
19931011,0000,824
19931012,0000,1254
19931013,0000,300
19931014,0000,300
19931015,0000,300
19931016,0000,300
19931017,0000,300
19931018,0000,300
19931019,0000,970
19931020,0000,973
19931021,0000,300
19931022,0000,300
19931023,0000,300
19931024,0000,300
19931025,0000,300
19931026,0000,300
19931027,0000,978
19931028,0000,300
19931029,0000,m
19931030,0000,300
19931031,0000,300
19931101,0000,300
19931102,0000,300
19931103,0000,300
19931104,0000,300
19931105,0000,m
19931106,0000,m
19931107,0000,300
19931108,0000,300
19931109,0000,300
19931110,0000,300
19931111,0000,1362
19931112,0000,1299
19931113,0000,1230
19931114,0000,1219
19931115,0000,1221
19931116,0000,1223
19931117,0000,1229
19931118,0000,1239
19931119,0000,1230
19931120,0000,1247
19931121,0000,1252
19931122,0000,1290
19931123,0000,2393
19931124,0000,1332
19931125,0000,300
19931126,0000,300
19931127,0000,998
19931128,0000,300
19931129,0000,300
19931130,0000,300
19931201,0000,300
19931202,0000,300
19931203,0000,994
19931204,0000,300
19931205,0000,300
19931206,0000,300
19931207,0000,1053
19931208,0000,326
19931209,0000,310
19931210,0000,1363
19931211,0000,300
19931212,0000,300
19931213,0000,302
19931214,0000,300
19931215,0000,300
19931216,0000,300
19931217,0000,300
19931218,0000,300
19931219,0000,311
19931220,0000,714
19931221,0000,1052
19931222,0000,1106
19931223,0000,747
19931224,0000,617
19931225,0000,300
19931226,0000,300
19931227,0000,310
19931228,0000,300
19931229,0000,300
19931230,0000,312
19931231,0000,300
19940101,0000,300
19940102,0000,300
19940103,0000,300
19940104,0000,300
19940105,0000,300
19940106,0000,300
19940107,0000,300
19940108,0000,300
19940109,0000,300
19940110,0000,300
19940111,0000,300
19940112,0000,300
19940113,0000,300
19940114,0000,300
19940115,0000,300
19940116,0000,300
19940117,0000,300
19940118,0000,300
19940119,0000,300
19940120,0000,300
19940121,0000,300
19940122,0000,300
19940123,0000,300
19940124,0000,300
19940125,0000,300
19940126,0000,300
19940127,0000,300
19940128,0000,300
19940129,0000,300
19940130,0000,300
19940131,0000,300
19940201,0000,300
19940202,0000,300
19940203,0000,300
19940204,0000,300
19940205,0000,300
19940206,0000,300
19940207,0000,300
19940208,0000,300
19940209,0000,302
19940210,0000,1663
19940211,0000,1205
19940212,0000,300
19940213,0000,1116
19940214,0000,577
19940215,0000,575
19940216,0000,1228
19940217,0000,300
19940218,0000,300
19940219,0000,300
19940220,0000,300
19940221,0000,m
19940222,0000,300
19940223,0000,300
19940224,0000,300
19940225,0000,300
19940226,0000,300
19940227,0000,300
19940228,0000,300
19940301,0000,300
19940302,0000,300
19940303,0000,300
19940304,0000,320
19940305,0000,300
19940306,0000,314
19940307,0000,300
19940308,0000,350
19940309,0000,366
19940310,0000,300
19940311,0000,300
19940312,0000,309
19940313,0000,353
19940314,0000,300
19940315,0000,300
19940316,0000,300
19940317,0000,300
19940318,0000,321
19940319,0000,300
19940320,0000,321
19940321,0000,302
19940322,0000,946
19940323,0000,300
19940324,0000,318
19940325,0000,m
19940326,0000,m
19940327,0000,333
19940328,0000,300
19940329,0000,725
19940330,0000,300
19940331,0000,756
19940401,0000,782
19940402,0000,300
19940403,0000,334
19940404,0000,300
19940405,0000,1046
19940406,0000,1953
19940407,0000,1552
19940408,0000,1962
19940409,0000,1963
19940410,0000,3939
19940411,0000,3617
19940412,0000,3518
19940413,0000,3934
19940414,0000,3756
19940415,0000,3658
19940416,0000,3664
19940417,0000,3729
19940418,0000,3756
19940419,0000,3562
19940420,0000,3549
19940421,0000,3324
19940422,0000,4023
19940423,0000,3678
19940424,0000,3671
19940425,0000,2431
19940426,0000,1896
19940427,0000,1781
19940428,0000,1746
19940429,0000,2334
19940430,0000,3761
19940501,0000,3866
19940502,0000,2336
19940503,0000,1872
19940504,0000,1762
19940505,0000,1813
19940506,0000,1815
19940507,0000,3637
19940508,0000,3797
19940509,0000,3816
19940510,0000,m
19940511,0000,3780
19940512,0000,2774
19940513,0000,3901
19940514,0000,3830
19940515,0000,3790
19940516,0000,3657
19940517,0000,3840
19940518,0000,3794
19940519,0000,1500
19940520,0000,4036
19940521,0000,3720
19940522,0000,3713
19940523,0000,3705
19940524,0000,3838
19940525,0000,3854
19940526,0000,m
19940527,0000,3542
19940528,0000,3560
19940529,0000,3557
19940530,0000,3546
19940531,0000,3640
19940601,0000,3791
19940602,0000,3791
19940603,0000,3703
19940604,0000,3778
19940605,0000,3683
19940606,0000,3683
19940607,0000,3640
19940608,0000,3652
19940609,0000,3633
19940610,0000,3567
19940611,0000,3621
19940612,0000,3596
19940613,0000,3736
19940614,0000,2223
19940615,0000,3680
19940616,0000,3682
19940617,0000,3694
19940618,0000,3737
19940619,0000,3728
19940620,0000,3775
19940621,0000,3784
19940622,0000,3364
19940623,0000,3759
19940624,0000,3661
19940625,0000,3752
19940626,0000,3799
19940627,0000,3800
19940628,0000,3763
19940629,0000,3758
19940630,0000,2701
19940701,0000,2800
19940702,0000,2936
19940703,0000,2957
19940704,0000,2957
19940705,0000,2957
19940706,0000,2885
19940707,0000,3297
19940708,0000,3275
19940709,0000,3320
19940710,0000,3284
19940711,0000,3305
19940712,0000,3292
19940713,0000,2885
19940714,0000,2888
19940715,0000,450
19940716,0000,2901
19940717,0000,2657
19940718,0000,3045
19940719,0000,3954
19940720,0000,3360
19940721,0000,3752
19940722,0000,3904
19940723,0000,3913
19940724,0000,3914
19940725,0000,3914
19940726,0000,3908
19940727,0000,3896
19940728,0000,3896
19940729,0000,3895
19940730,0000,3887
19940731,0000,3888
19940801,0000,3901
19940802,0000,3879
19940803,0000,2864
19940804,0000,2926
19940805,0000,2938
19940806,0000,2947
19940807,0000,2941
19940808,0000,2905
19940809,0000,2948
19940810,0000,2946
19940811,0000,2921
19940812,0000,3048
19940813,0000,2941
19940814,0000,2882
19940815,0000,2871
19940816,0000,2865
19940817,0000,2865
19940818,0000,2997
19940819,0000,3014
19940820,0000,2980
19940821,0000,2806
19940822,0000,2980
19940823,0000,2471
19940824,0000,2748
19940825,0000,3143
19940826,0000,2629
19940827,0000,3177
19940828,0000,3128
19940829,0000,2914
19940830,0000,2893
19940831,0000,3001
19940901,0000,455
19940902,0000,450
19940903,0000,450
19940904,0000,1115
19940905,0000,450
19940906,0000,451
19940907,0000,450
19940908,0000,992
19940909,0000,m
19940910,0000,m
19940911,0000,450
19940912,0000,450
19940913,0000,450
19940914,0000,1963
19940915,0000,1616
19940916,0000,m
19940917,0000,m
19940918,0000,1462
19940919,0000,1505
