Title: "LEW.csv"

5165,PST,'RESERVOIR STORAGE (af)'
19651001,0000,11970
19651101,0000,12160
19651201,0000,12300
19660101,0000,13200
19660201,0000,12030
19660301,0000,11900
19660401,0000,12400
19660501,0000,13280
19660601,0000,12540
19660701,0000,12490
19660801,0000,13120
19660901,0000,12800
19661001,0000,12670
19661101,0000,12560
19661201,0000,12950
19670101,0000,12680
19670201,0000,12670
19670301,0000,12470
19670401,0000,12670
19670501,0000,13020
19670601,0000,12830
19670701,0000,12400
19670801,0000,12850
19670901,0000,12890
19671001,0000,12890
19671101,0000,13420
19671201,0000,13260
19680101,0000,13080
19680201,0000,12920
19680301,0000,13030
19680401,0000,12510
19680501,0000,13010
19680601,0000,12340
19680701,0000,12800
19680801,0000,13020
19680901,0000,12320
19681001,0000,13180
19681101,0000,12890
19681201,0000,13160
19690101,0000,12840
19690201,0000,13090
19690301,0000,13740
19690401,0000,13230
19690501,0000,13820
19690601,0000,13940
19690701,0000,13420
19690801,0000,13760
19690901,0000,14250
19691001,0000,12640
19691101,0000,13520
19691201,0000,13990
19700101,0000,13240
19700201,0000,13600
19700301,0000,13680
19700401,0000,14210
19700501,0000,13370
19700601,0000,13720
19700701,0000,13370
19700801,0000,13960
19700901,0000,13900
19701001,0000,13560
19701101,0000,13940
19701201,0000,13830
19710101,0000,13870
19710201,0000,14100
19710301,0000,13330
19710401,0000,12470
19710501,0000,13200
19710601,0000,13240
19710701,0000,13510
19710801,0000,13370
19710901,0000,12510
19711001,0000,14280
19711101,0000,13720
19711201,0000,13300
19720101,0000,12090
19720201,0000,13820
19720301,0000,13050
19720401,0000,12850
19720501,0000,12850
19720601,0000,14240
19720701,0000,13500
19720801,0000,13800
19720901,0000,13600
19721001,0000,13400
19721101,0000,13620
19721201,0000,13530
19730101,0000,12770
19730201,0000,13180
19730301,0000,13360
19730401,0000,13430
19730501,0000,13330
19730601,0000,13370
19730701,0000,13760
19730801,0000,13480
19730901,0000,13880
19731001,0000,13580
19731101,0000,13750
19731201,0000,13200
19740101,0000,14190
19740201,0000,13880
19740301,0000,13570
19740401,0000,13640
19740501,0000,14020
19740601,0000,14050
19740701,0000,14380
19740801,0000,13480
19740901,0000,13410
19741001,0000,13670
19741101,0000,13400
19741201,0000,12800
19750101,0000,13600
19750201,0000,13850
19750301,0000,13730
19750401,0000,14260
19750501,0000,13320
19750601,0000,14100
19750701,0000,13260
19750801,0000,14020
19750901,0000,13800
19751001,0000,13880
19751101,0000,13910
19751201,0000,13250
19760101,0000,13970
19760201,0000,14150
19760301,0000,13420
19760401,0000,13600
19760501,0000,13580
19760601,0000,13840
19760701,0000,13910
19760801,0000,14260
19760901,0000,13730
19761001,0000,13930
19761101,0000,13920
19761201,0000,13660
19770101,0000,13670
19770201,0000,13870
19770301,0000,13900
19770401,0000,13840
19770501,0000,13970
19770601,0000,13990
19770701,0000,13970
19770801,0000,13670
19770901,0000,13450
19771001,0000,13760
19771101,0000,13850
19771201,0000,13370
19780101,0000,14200
19780201,0000,14610
19780301,0000,14260
19780401,0000,14210
19780501,0000,14290
19780601,0000,14110
19780701,0000,14230
19780801,0000,14010
19780901,0000,13870
19781001,0000,13690
19781101,0000,14030
19781201,0000,14040
19790101,0000,14140
19790201,0000,14440
19790301,0000,13820
19790401,0000,13910
19790501,0000,14130
19790601,0000,13790
19790701,0000,14030
19790801,0000,14140
19790901,0000,13630
19791001,0000,13760
19791101,0000,13620
19791201,0000,13890
19800101,0000,14120
19800201,0000,14460
19800301,0000,13790
19800401,0000,14440
19800501,0000,14020
19800601,0000,14100
19800701,0000,14040
19800801,0000,13710
19800901,0000,13690
19801001,0000,13840
19801101,0000,13990
19801201,0000,14050
19810101,0000,13940
19810201,0000,13710
19810301,0000,13790
19810401,0000,13960
19810501,0000,14120
19810601,0000,13820
19810701,0000,13880
19810801,0000,13900
19810901,0000,13800
19811001,0000,13800
19811101,0000,13330
19811201,0000,14140
19820101,0000,13510
19820201,0000,14100
19820301,0000,14240
19820401,0000,13700
19820501,0000,13930
19820601,0000,14000
19820701,0000,13950
19820801,0000,14170
19820901,0000,14380
19821001,0000,13930
19821101,0000,14190
19821201,0000,14530
19830101,0000,14390
19830201,0000,14560
19830301,0000,13880
19830401,0000,14350
19830501,0000,13770
19830601,0000,14080
19830701,0000,13480
19830801,0000,14490
19830901,0000,14150
19831001,0000,14040
19831101,0000,13980
19831201,0000,13450
19840101,0000,13990
19840201,0000,14190
19840301,0000,13730
19840401,0000,13960
19840501,0000,13750
19840601,0000,14020
19840701,0000,14150
19840801,0000,14360
19840901,0000,14180
19841001,0000,13710
19841101,0000,13970
19841201,0000,13780
19850101,0000,13830
19850201,0000,13980
19850301,0000,14260
19850401,0000,13670
19850501,0000,14000
19850601,0000,14410
19850701,0000,14060
19850801,0000,13550
19850901,0000,14060
19851001,0000,13480
19851101,0000,13730
19851201,0000,14053
19860101,0000,14410
19860201,0000,14410
19860301,0000,14030
19860401,0000,14030
19860501,0000,14500
19860601,0000,14165
19860701,0000,13705
19860801,0000,14008
19860901,0000,14100
19861001,0000,14240
19861101,0000,13963
19861201,0000,14352
19870101,0000,14330
19870201,0000,14337
19870301,0000,13793
19870401,0000,14345
19870501,0000,14150
19870601,0000,14100
19870701,0000,13668
19870801,0000,14374
19870901,0000,13815
19871001,0000,14225
19871101,0000,13911
19871201,0000,13565
19880101,0000,13822
19880201,0000,13720
19880301,0000,14046
19880401,0000,13815
19880501,0000,13815
19880601,0000,14158
19880701,0000,13963
19880801,0000,13417
19880901,0000,14225
19881001,0000,13646
19881101,0000,13778
19881201,0000,13837
19890101,0000,13866
19890201,0000,13925
19890301,0000,13720
19890401,0000,14218
19890501,0000,14300
19890601,0000,14397
19890701,0000,14083
19890801,0000,14160
19890901,0000,13670
19891001,0000,13837
19891101,0000,13850
19891201,0000,13918
19900101,0000,14083
19900201,0000,13955
19900301,0000,13631
19900401,0000,14397
19900501,0000,13727
19900601,0000,14128
19900701,0000,13700
19900801,0000,13911
19900901,0000,14247
19901001,0000,13844
19901101,0000,13933
19901201,0000,13985
19910101,0000,14053
19910201,0000,14023
19910301,0000,13609
19910401,0000,14173
19910501,0000,14494
19910601,0000,13742
19910701,0000,14457
19910801,0000,14285
19910901,0000,14449
19911001,0000,14008
19911101,0000,13837
19911201,0000,13668
19920101,0000,13499
19920201,0000,13925
19920301,0000,13653
19920401,0000,13985
19920501,0000,14419
19920601,0000,14285
19920701,0000,14434
19920801,0000,14472
19920901,0000,14374
19921001,0000,14449
19921101,0000,14000
19921201,0000,13793
19930101,0000,13881
19930201,0000,13793
19930301,0000,14030
19930401,0000,14188
19930501,0000,14255
19930601,0000,13712
19930701,0000,13822
19930801,0000,13734
19930901,0000,13756
19931001,0000,13793
19931101,0000,13896
19931201,0000,13986
19940101,0000,14030
19940201,0000,13941
19940301,0000,13823
19940401,0000,14075
19940501,0000,13993
19940601,0000,14000
19940701,0000,14045
19940801,0000,13624
19940901,0000,14299
19941001,0000,13941
19941101,0000,13587
19941201,0000,13741
19950101,0000,14247
19950201,0000,13903
19950301,0000,13440
