Title: "MIL.csv"

5275,PST,'RESERVOIR STORAGE (af)'
19411001,0000,9860
19411101,0000,21300
19411201,0000,26900
19420101,0000,25500
19420201,0000,22900
19420301,0000,23500
19420401,0000,26800
19420501,0000,28000
19420601,0000,28100
19420701,0000,23200
19420801,0000,21900
19420901,0000,21700
19421001,0000,20900
19421101,0000,20700
19421201,0000,21900
19430101,0000,26200
19430201,0000,23900
19430301,0000,26900
19430401,0000,32900
19430501,0000,34300
19430601,0000,24700
19430701,0000,22600
19430801,0000,21700
19430901,0000,21100
19431001,0000,20800
19431101,0000,22200
19431201,0000,21400
19440101,0000,21400
19440201,0000,33500
19440301,0000,81700
19440401,0000,80400
19440501,0000,223000
19440601,0000,293000
19440701,0000,260000
19440801,0000,179000
19440901,0000,127000
19441001,0000,107000
19441101,0000,156000
19441201,0000,221000
19450101,0000,238000
19450201,0000,306000
19450301,0000,330000
19450401,0000,331000
19450501,0000,371000
19450601,0000,441000
19450701,0000,405000
19450801,0000,307000
19450901,0000,254000
19451001,0000,238000
19451101,0000,251000
19451201,0000,298000
19460101,0000,265000
19460201,0000,273000
19460301,0000,276000
19460401,0000,402000
19460501,0000,430000
19460601,0000,427000
19460701,0000,359000
19460801,0000,256000
19460901,0000,195000
19461001,0000,149000
19461101,0000,197000
19461201,0000,280000
19470101,0000,314000
19470201,0000,346000
19470301,0000,358000
19470401,0000,331000
19470501,0000,404000
19470601,0000,352000
19470701,0000,246000
19470801,0000,145000
19470901,0000,101000
19471001,0000,94900
19471101,0000,109000
19471201,0000,129000
19480101,0000,139000
19480201,0000,140000
19480301,0000,133000
19480401,0000,193000
19480501,0000,338000
19480601,0000,473000
19480701,0000,371000
19480801,0000,241000
19480901,0000,153000
19481001,0000,129000
19481101,0000,147000
19481201,0000,158000
19490101,0000,181000
19490201,0000,186000
19490301,0000,230000
19490401,0000,271000
19490501,0000,410000
19490601,0000,407000
19490701,0000,263000
19490801,0000,143000
19490901,0000,75600
19491001,0000,47500
19491101,0000,49000
19491201,0000,66500
19500101,0000,120000
19500201,0000,203000
19500301,0000,205000
19500401,0000,287000
19500501,0000,403000
19500601,0000,380000
19500701,0000,238000
19500801,0000,120000
19500901,0000,77600
19501001,0000,78000
19501101,0000,267000
19501201,0000,393000
19510101,0000,379000
19510201,0000,343000
19510301,0000,360000
19510401,0000,364000
19510501,0000,449000
19510601,0000,438000
19510701,0000,289000
19510801,0000,158000
19510901,0000,146000
19511001,0000,141000
19511101,0000,149000
19511201,0000,244000
19520101,0000,385000
19520201,0000,303000
19520301,0000,268000
19520401,0000,153000
19520501,0000,293000
19520601,0000,396000
19520701,0000,242000
19520801,0000,259000
19520901,0000,189000
19521001,0000,148000
19521101,0000,163000
19521201,0000,239000
19530101,0000,342000
19530201,0000,365000
19530301,0000,314000
19530401,0000,346000
19530501,0000,404000
19530601,0000,479000
19530701,0000,400000
19530801,0000,256000
19530901,0000,158000
19531001,0000,139000
19531101,0000,156000
19531201,0000,187000
19540101,0000,208000
19540201,0000,251000
19540301,0000,317000
19540401,0000,454000
19540501,0000,513000
19540601,0000,475000
19540701,0000,329000
19540801,0000,184000
19540901,0000,143000
19541001,0000,148000
19541101,0000,173000
19541201,0000,229000
19550101,0000,291000
19550201,0000,335000
19550301,0000,307000
19550401,0000,328000
19550501,0000,457000
19550601,0000,487000
19550701,0000,356000
19550801,0000,204000
19550901,0000,139000
19551001,0000,138600
19551101,0000,157900
19551201,0000,467100
19560101,0000,454300
19560201,0000,289100
19560301,0000,204700
19560401,0000,256700
19560501,0000,394200
19560601,0000,441700
19560701,0000,462500
19560801,0000,291200
19560901,0000,192700
19561001,0000,187100
19561101,0000,205200
19561201,0000,258900
19570101,0000,295000
19570201,0000,339500
19570301,0000,331100
19570401,0000,356500
19570501,0000,494800
19570601,0000,509800
19570701,0000,384700
19570801,0000,246000
19570901,0000,159000
19571001,0000,180000
19571101,0000,231100
19571201,0000,307100
19580101,0000,376400
19580201,0000,414500
19580301,0000,478900
19580401,0000,395200
19580501,0000,481700
19580601,0000,520700
19580701,0000,436400
19580801,0000,238000
19580901,0000,156600
19581001,0000,167100
19581101,0000,221800
19581201,0000,285300
19590101,0000,340600
19590201,0000,393400
19590301,0000,335800
19590401,0000,391400
19590501,0000,459100
19590601,0000,390700
19590701,0000,244300
19590801,0000,151800
19590901,0000,166200
19591001,0000,134300
19591101,0000,139000
19591201,0000,151100
19600101,0000,174600
19600201,0000,239000
19600301,0000,220800
19600401,0000,269700
19600501,0000,331300
19600601,0000,260100
19600701,0000,172400
19600801,0000,158700
19600901,0000,182700
19601001,0000,183800
19601101,0000,204900
19601201,0000,234400
19610101,0000,251100
19610201,0000,241300
19610301,0000,218700
19610401,0000,277500
19610501,0000,345600
19610601,0000,334100
19610701,0000,219500
19610801,0000,159800
19610901,0000,159800
19611001,0000,145700
19611101,0000,149600
19611201,0000,179600
19620101,0000,204400
19620201,0000,370300
19620301,0000,351300
19620401,0000,261700
19620501,0000,360100
19620601,0000,437400
19620701,0000,321100
19620801,0000,176300
19620901,0000,146000
19621001,0000,160900
19621101,0000,188200
19621201,0000,218600
19630101,0000,270700
19630201,0000,422400
19630301,0000,451300
19630401,0000,494800
19630501,0000,495400
19630601,0000,505200
19630701,0000,439000
19630801,0000,263400
19630901,0000,205000
19631001,0000,156800
19631101,0000,237000
19631201,0000,329200
19640101,0000,370800
19640201,0000,318000
19640301,0000,281700
19640401,0000,340700
19640501,0000,402600
19640601,0000,371900
19640701,0000,232900
19640801,0000,137300
19640901,0000,172400
19641001,0000,163000
19641101,0000,201000
19641201,0000,304900
19650101,0000,423700
19650201,0000,338900
19650301,0000,270800
19650401,0000,388900
19650501,0000,365400
19650601,0000,412200
19650701,0000,329700
19650801,0000,214400
19650901,0000,166100
19651001,0000,167200
19651101,0000,237600
19651201,0000,364600
19660101,0000,398300
19660201,0000,401800
19660301,0000,336200
19660401,0000,398100
19660501,0000,478600
19660601,0000,403400
19660701,0000,263600
19660801,0000,177100
19660901,0000,161600
19661001,0000,168000
19661101,0000,202700
19661201,0000,334800
19670101,0000,439700
19670201,0000,409700
19670301,0000,492100
19670401,0000,467700
19670501,0000,313100
19670601,0000,392200
19670701,0000,515000
19670801,0000,355400
19670901,0000,239500
19671001,0000,172400
19671101,0000,196700
19671201,0000,263900
19680101,0000,283300
19680201,0000,220800
19680301,0000,232100
19680401,0000,279700
19680501,0000,287100
19680601,0000,228300
19680701,0000,179600
19680801,0000,152600
19680901,0000,165600
19681001,0000,164400
19681101,0000,203100
19681201,0000,255400
19690101,0000,459000
19690201,0000,359700
19690301,0000,145500
19690401,0000,137600
19690501,0000,378700
19690601,0000,460900
19690701,0000,505900
19690801,0000,347500
19690901,0000,270100
19691001,0000,253900
19691101,0000,278900
19691201,0000,327800
19700101,0000,445600
19700201,0000,387200
19700301,0000,448900
19700401,0000,443000
19700501,0000,465200
19700601,0000,400900
19700701,0000,291500
19700801,0000,168800
19700901,0000,169700
19701001,0000,159100
19701101,0000,198600
19701201,0000,307000
19710101,0000,405100
19710201,0000,375800
19710301,0000,350600
19710401,0000,409900
19710501,0000,494800
19710601,0000,470500
19710701,0000,309600
19710801,0000,156500
19710901,0000,151400
19711001,0000,155600
19711101,0000,178200
19711201,0000,248200
19720101,0000,315000
19720201,0000,330400
19720301,0000,298000
19720401,0000,337600
19720501,0000,346300
19720601,0000,296200
19720701,0000,181600
19720801,0000,154400
19720901,0000,146500
19721001,0000,192300
19721101,0000,246900
19721201,0000,319600
19730101,0000,412600
19730201,0000,421700
19730301,0000,479500
19730401,0000,373000
19730501,0000,472800
19730601,0000,503000
19730701,0000,361800
19730801,0000,205100
19730901,0000,143500
19731001,0000,163500
19731101,0000,225500
19731201,0000,351200
19740101,0000,433500
19740201,0000,404300
19740301,0000,462500
19740401,0000,434100
19740501,0000,470900
19740601,0000,469000
19740701,0000,312600
19740801,0000,150500
19740901,0000,139100
19741001,0000,150600
19741101,0000,199300
19741201,0000,267200
19750101,0000,303600
19750201,0000,292800
19750301,0000,330400
19750401,0000,361900
19750501,0000,348500
19750601,0000,453500
19750701,0000,281300
19750801,0000,170600
19750901,0000,160100
19751001,0000,181000
19751101,0000,255100
19751201,0000,321400
19760101,0000,355900
19760201,0000,337700
19760301,0000,357800
19760401,0000,381000
19760501,0000,365500
19760601,0000,328100
19760701,0000,231900
19760801,0000,185900
19760901,0000,224200
19761001,0000,227906
19761101,0000,233946
19761201,0000,244728
19770101,0000,252021
19770201,0000,235217
19770301,0000,226390
19770401,0000,217504
19770501,0000,213067
19770601,0000,230600
19770701,0000,210300
19770801,0000,191900
19770901,0000,197200
19771001,0000,176400
19771101,0000,179000
19771201,0000,226500
19780101,0000,375500
19780201,0000,436900
19780301,0000,422200
19780401,0000,240900
19780501,0000,197700
19780601,0000,402500
19780701,0000,479700
19780801,0000,381100
19780901,0000,379000
19781001,0000,256400
19781101,0000,264600
19781201,0000,344500
19790101,0000,456100
19790201,0000,428700
19790301,0000,481800
19790401,0000,449600
19790501,0000,505400
19790601,0000,452800
19790701,0000,293200
19790801,0000,181700
19790901,0000,164300
19791001,0000,188300
19791101,0000,191300
19791201,0000,246800
19800101,0000,383700
19800201,0000,411500
19800301,0000,321200
19800401,0000,267800
19800501,0000,343100
19800601,0000,510200
19800701,0000,510800
19800801,0000,358200
19800901,0000,287600
19801001,0000,205600
19801101,0000,223000
19801201,0000,255700
19810101,0000,289600
19810201,0000,296600
19810301,0000,342400
19810401,0000,413300
19810501,0000,431400
19810601,0000,368200
19810701,0000,227700
19810801,0000,178500
19810901,0000,164300
19811001,0000,183600
19811101,0000,224600
19811201,0000,334600
19820101,0000,407200
19820201,0000,375000
19820301,0000,489500
19820401,0000,399300
19820501,0000,455500
19820601,0000,525800
19820701,0000,497700
19820801,0000,371800
19820901,0000,363500
19821001,0000,325300
19821101,0000,353800
19821201,0000,359200
19830101,0000,398400
19830201,0000,423600
19830301,0000,395000
19830401,0000,159500
19830501,0000,249100
19830601,0000,507000
19830701,0000,497900
19830801,0000,477100
19830901,0000,371100
19831001,0000,297100
19831101,0000,332300
19831201,0000,420600
19840101,0000,406800
19840201,0000,372400
19840301,0000,415400
19840401,0000,471500
19840501,0000,490800
19840601,0000,425300
19840701,0000,278700
19840801,0000,197200
19840901,0000,162300
19841001,0000,153300
19841101,0000,182800
19841201,0000,242200
19850101,0000,329100
19850201,0000,292200
19850301,0000,270900
19850401,0000,372100
19850501,0000,424300
19850601,0000,343100
19850701,0000,222500
19850801,0000,163200
19850901,0000,170600
19851001,0000,182700
19851101,0000,248100
19851201,0000,337200
19860101,0000,425600
19860201,0000,470400
19860301,0000,361100
19860401,0000,207600
19860501,0000,359700
19860601,0000,514000
19860701,0000,425100
19860801,0000,273900
19860901,0000,158600
19861001,0000,141300
19861101,0000,146900
19861201,0000,159400
19870101,0000,178000
19870201,0000,159600
19870301,0000,205800
19870401,0000,246400
19870501,0000,322400
19870601,0000,280465
19870701,0000,204677
19870801,0000,183979
19870901,0000,167700
19871001,0000,150200
19871101,0000,178968
19871201,0000,212396
19880101,0000,267565
19880201,0000,215700
19880301,0000,253900
19880401,0000,319995
19880501,0000,351701
19880601,0000,288400
19880701,0000,176000
19880801,0000,146673
19880901,0000,145938
19881001,0000,139400
19881101,0000,159200
19881201,0000,185300
19890101,0000,219200
19890201,0000,231500
19890301,0000,297400
