Title: "NAT.csv"

5345,PST,'RESERVOIR STORAGE (af)'
19651001,0000,8410
19651101,0000,7840
19651201,0000,8710
19660101,0000,8560
19660201,0000,8410
19660301,0000,7930
19660401,0000,8870
19660501,0000,8410
19660601,0000,8560
19660701,0000,8210
19660801,0000,8460
19660901,0000,8460
19661001,0000,8760
19661101,0000,8610
19661201,0000,8070
19670101,0000,7980
19670201,0000,8210
19670301,0000,8510
19670401,0000,8870
19670501,0000,9080
19670601,0000,8210
19670701,0000,8560
19670801,0000,8980
19670901,0000,8610
19671001,0000,9190
19671101,0000,8870
19671201,0000,8310
19680101,0000,8760
19680201,0000,8210
19680301,0000,8610
19680401,0000,8870
19680501,0000,8510
19680601,0000,8810
19680701,0000,8560
19680801,0000,8820
19680901,0000,8870
19681001,0000,8510
19681101,0000,8560
19681201,0000,8760
19690101,0000,8260
19690201,0000,8260
19690301,0000,8170
19690401,0000,7840
19690501,0000,8710
19690601,0000,8610
19690701,0000,8710
19690801,0000,8760
19690901,0000,8560
19691001,0000,8980
19691101,0000,8870
19691201,0000,7390
19700101,0000,8300
19700201,0000,8560
19700301,0000,8980
19700401,0000,8660
19700501,0000,8360
19700601,0000,8660
19700701,0000,8460
19700801,0000,8510
19700901,0000,8820
19701001,0000,8560
19701101,0000,8070
19701201,0000,8610
19710101,0000,8410
19710201,0000,8760
19710301,0000,7390
19710401,0000,8260
19710501,0000,8360
19710601,0000,8710
19710701,0000,8560
19710801,0000,8710
19710901,0000,7220
19711001,0000,7980
19711101,0000,7840
19711201,0000,6440
19720101,0000,7930
19720201,0000,7880
19720301,0000,4770
19720401,0000,4740
19720501,0000,8260
19720601,0000,8360
19720701,0000,8170
19720801,0000,8560
19720901,0000,8660
19721001,0000,8610
19721101,0000,7750
19721201,0000,7520
19730101,0000,8030
19730201,0000,8810
19730301,0000,7700
19730401,0000,8610
19730501,0000,8260
19730601,0000,8410
19730701,0000,8310
19730801,0000,8260
19730901,0000,8360
19731001,0000,8360
19731101,0000,8660
19731201,0000,8610
19740101,0000,8610
19740201,0000,8120
19740301,0000,8260
19740401,0000,8460
19740501,0000,7790
19740601,0000,8710
19740701,0000,8360
19740801,0000,8460
19740901,0000,8920
19741001,0000,8070
19741101,0000,8360
19741201,0000,8410
19750101,0000,8260
19750201,0000,8070
19750301,0000,8460
19750401,0000,8560
19750501,0000,7980
19750601,0000,8660
19750701,0000,8980
19750801,0000,8610
19750901,0000,8460
19751001,0000,8660
19751101,0000,8360
19751201,0000,8030
19760101,0000,8030
19760201,0000,8560
19760301,0000,8710
19760401,0000,8820
19760501,0000,8260
19760601,0000,8920
19760701,0000,8710
19760801,0000,8610
19760901,0000,8510
19761001,0000,8980
19761101,0000,8560
19761201,0000,8510
19770101,0000,8660
19770201,0000,8660
19770301,0000,7750
19770401,0000,7930
19770501,0000,7930
19770601,0000,8120
19770701,0000,8310
19770801,0000,8610
19770901,0000,8760
19771001,0000,8660
19771101,0000,8610
19771201,0000,8710
19780101,0000,8360
19780201,0000,7840
19780301,0000,8660
19780401,0000,8760
19780501,0000,8360
19780601,0000,8260
19780701,0000,8660
19780801,0000,8920
19780901,0000,8360
19781001,0000,8760
19781101,0000,8510
19781201,0000,8310
19790101,0000,8260
19790201,0000,8310
19790301,0000,8310
19790401,0000,8170
19790501,0000,8360
19790601,0000,8870
19790701,0000,8610
19790801,0000,8070
19790901,0000,8510
19791001,0000,8760
19791101,0000,8070
19791201,0000,8870
19800101,0000,8560
19800201,0000,8360
19800301,0000,8610
19800401,0000,8870
19800501,0000,8410
19800601,0000,8710
19800701,0000,8660
19800801,0000,8820
19800901,0000,8360
19801001,0000,8610
19801101,0000,8460
19801201,0000,8510
19810101,0000,7930
19810201,0000,8660
19810301,0000,8410
19810401,0000,8120
19810501,0000,7700
19810601,0000,7930
19810701,0000,8360
19810801,0000,8360
19810901,0000,8410
19811001,0000,8310
19811101,0000,8030
19811201,0000,7890
19820101,0000,8120
19820201,0000,8310
19820301,0000,8360
19820401,0000,8710
19820501,0000,8710
19820601,0000,8070
19820701,0000,8200
19820801,0000,7610
19820901,0000,8120
19821001,0000,8310
19821101,0000,8120
19821201,0000,7930
19830101,0000,7980
19830201,0000,8170
19830301,0000,8120
19830401,0000,7610
19830501,0000,7840
19830601,0000,7890
19830701,0000,8610
19830801,0000,8510
19830901,0000,8360
19831001,0000,8360
19831101,0000,7890
19831201,0000,8260
19840101,0000,8660
19840201,0000,8260
19840301,0000,8610
19840401,0000,8410
19840501,0000,8210
19840601,0000,8410
19840701,0000,8210
19840801,0000,8460
19840901,0000,8260
19841001,0000,7980
19841101,0000,7930
19841201,0000,8030
19850101,0000,8210
19850201,0000,7890
19850301,0000,8070
19850401,0000,8170
19850501,0000,8170
19850601,0000,8410
19850701,0000,8610
19850801,0000,8510
19850901,0000,8460
19851001,0000,7650
19851101,0000,8460
19851201,0000,8920
19860101,0000,8820
19860201,0000,8210
19860301,0000,8410
19860401,0000,8760
19860501,0000,8760
19860601,0000,8026
19860701,0000,8869
19860801,0000,8101
19860901,0000,8460
19861001,0000,8100
19861101,0000,8340
19861201,0000,8550
19870101,0000,8410
19870201,0000,8440
19870301,0000,8002
19870401,0000,8190
19870501,0000,8256
19870601,0000,8500
19870701,0000,8531
19870801,0000,8073
19870901,0000,8700
19871001,0000,8040
19871101,0000,8223
19871201,0000,8242
19880101,0000,7955
19880201,0000,8471
19880301,0000,8021
19880401,0000,8120
19880501,0000,8242
19880601,0000,8320
19880701,0000,8120
19880801,0000,7903
19880901,0000,8150
19881001,0000,8501
19881101,0000,8077
19881201,0000,7838
19890101,0000,7955
19890201,0000,8148
19890301,0000,7890
19890401,0000,8620
19890501,0000,8060
19890601,0000,7870
19890701,0000,8631
19890801,0000,7990
19890901,0000,8190
19891001,0000,7988
19891101,0000,7910
19891201,0000,7847
19900101,0000,7809
19900201,0000,7913
19900301,0000,7885
19900401,0000,8223
19900501,0000,8010
19900601,0000,8242
19900701,0000,8280
19900801,0000,8044
19900901,0000,7988
19901001,0000,7782
19901101,0000,7750
19901201,0000,7908
19910101,0000,7660
19910201,0000,8077
19910301,0000,7110
19910401,0000,7620
19910501,0000,7927
19910601,0000,7983
19910701,0000,8087
19910801,0000,7842
19910901,0000,7993
19911001,0000,7932
19911101,0000,7828
19911201,0000,7823
19920101,0000,7852
19920201,0000,7814
19920301,0000,7570
19920401,0000,7571
19920501,0000,7683
19920601,0000,8471
19920701,0000,8311
19920801,0000,7611
19920901,0000,8073
19921001,0000,7732
19921101,0000,7530
19921201,0000,7345
19930101,0000,8120
19930201,0000,7372
19930301,0000,7927
19930401,0000,7710
19930501,0000,7660
19930601,0000,7503
19930701,0000,7927
19930801,0000,7377
19930901,0000,7723
19931001,0000,8426
19931101,0000,7885
19931201,0000,8134
19940101,0000,7795
19940201,0000,7970
19940301,0000,8158
19940401,0000,8035
19940501,0000,8105
19940601,0000,8021
19940701,0000,7861
19940801,0000,8148
19940901,0000,7903
19941001,0000,8016
19941101,0000,7899
19941201,0000,8124
19950101,0000,7640
19950201,0000,8002
19950301,0000,7755
19950401,0000,7665
19950501,0000,7606
19950601,0000,7728
19950701,0000,8157
19950801,0000,7724
19950901,0000,7350
19951001,0000,8138
19951101,0000,7710
19951201,0000,8148
19960101,0000,8021
19960201,0000,7946
19960301,0000,8110
19960401,0000,8058
19960501,0000,8058
19960601,0000,8426
19960701,0000,8296
19960801,0000,8446
19960901,0000,8148
19961001,0000,8138
19961101,0000,8281
19961201,0000,7181
19970101,0000,7696
19970201,0000,7638
19970301,0000,7819
19970401,0000,8296
19970501,0000,7922
19970601,0000,8176
19970701,0000,7988
19970801,0000,7809
19970901,0000,8214
19971001,0000,7932
19971101,0000,8256
19971201,0000,8296
19980101,0000,8421
19980201,0000,7889
19980301,0000,6959
19980401,0000,7692
19980501,0000,6825
19980601,0000,8256
19980701,0000,8064
19980801,0000,8351
19980901,0000,8531
19981001,0000,7746
19981101,0000,8521
19981201,0000,8016
19990101,0000,8456
19990201,0000,8058
19990301,0000,7927
19990401,0000,7530
19990501,0000,7741
19990601,0000,8035
19990701,0000,7955
19990801,0000,8087
19990901,0000,8011
19991001,0000,7089
19991101,0000,7741
19991201,0000,7665
20000101,0000,7642
20000201,0000,7810
20000301,0000,8176
20000401,0000,8101
20000501,0000,7932
20000601,0000,8194
20000701,0000,8491
20000801,0000,8125
20000901,0000,7692
20001001,0000,8346
20001101,0000,8781
20001201,0000,8106
20010101,0000,7458
20010201,0000,8003
20010301,0000,7724
20010401,0000,7701
20010501,0000,7904
20010601,0000,7866
20010701,0000,8115
20010801,0000,8101
20010901,0000,8045
20011001,0000,8172
20011101,0000,7571
20011201,0000,7909
20020101,0000,7593
20020201,0000,7692
20020301,0000,7899
20020401,0000,8421
20020501,0000,8007
20020601,0000,8176
20020701,0000,8271
20020801,0000,8286
20020901,0000,8050
20021001,0000,8209
20021101,0000,8111
20021201,0000,7960
20030101,0000,8316
20030201,0000,8516
20030301,0000,7899
20030401,0000,8601
20030501,0000,7760
20030601,0000,7941
20030701,0000,8306
20030801,0000,7847
20030901,0000,8026
20031001,0000,8326
20031101,0000,8195
20031201,0000,8181
20040101,0000,8040
20040201,0000,7998
20040301,0000,7862
20040401,0000,8205
20040501,0000,7602
20040601,0000,8228
20040701,0000,8252
20040801,0000,8281
20040901,0000,8035
20041001,0000,7787
20041101,0000,8120
20041201,0000,7946
20050101,0000,7885
20050201,0000,7148
20050301,0000,8461
20050401,0000,7647
20050501,0000,6980
20050601,0000,8144
20050701,0000,8626
20050801,0000,8676
20050901,0000,8181
20051001,0000,8111
20051101,0000,8361
20051201,0000,7270
20060101,0000,7436
20060201,0000,7805
20060301,0000,7857
20060401,0000,7833
20060501,0000,8003
20060601,0000,7674
20060701,0000,7970
20060801,0000,7904
20060901,0000,7847
20061001,0000,7719
20061101,0000,7899
20061201,0000,8144
20070101,0000,m

