yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199505,0.004272728113722776,0.0015376088984052202,0.9245533733591127,1,1,0,0,0,0.0028709231691738143,0.009389055452720495,0.0012152813164362556,0.0003635320801939672,0.0022113303960163725
199506,0.0012152813164362556,0.002169978000204556,0.9224182594173316,1,1,0,0,0,0.004272728113722776,0.0035718256414482953,0.00039919701749354747,0.0015376088984052202,0.0009505704892995937
199507,0.00039919701749354747,0.002029355789034596,0.872095294426919,2,0,1,0,0,0.0012152813164362556,0.002744004715079516,8.008968376046093e-06,0.002169978000204556,0.001853793449304888
199508,8.008968376046093e-06,0.002101143165187496,0.8046630044599151,2,0,1,0,0,0.00039919701749354747,0.0008072391669649015,0.0002370301302469524,0.002029355789034596,0.002099666894619576
199510,0.0002370301302469524,0.0016115546054175248,0.678698738170347,3,0,0,1,0,8.008968376046093e-06,0.00020360299293479677,0.0003095728475711269,0.002101143165187496,0.002065249477111046
199511,0.0003095728475711269,0.0025350502666246855,0.6120350788643533,3,0,0,1,0,0.0002370301302469524,0.00012251954931149925,0.0007536216770515595,0.0016115546054175248,0.0018563488853025104
199512,0.0007536216770515595,0.0009656646765909743,0.5749641313237528,3,0,0,1,0,0.0003095728475711269,0.00027330148890903965,0.004708522564329848,0.0025350502666246855,0.002073302436021105
199601,0.004708522564329848,0.0034461002937017293,0.58588738170347,4,0,0,0,1,0.0007536216770515595,0.0005315972623113432,0.010454564076588738,0.0009656646765909743,0.00175035747160783
199602,0.010454564076588738,0.007857012502839862,0.6093183783152237,4,0,0,0,1,0.004708522564329848,0.0027310721206907037,0.004247812220281391,0.0034461002937017293,0.0022058824851463516
199603,0.004247812220281391,0.0012231368998869962,0.6758833895355162,4,0,0,0,1,0.010454564076588738,0.007581543320459293,0.0017111423133791934,0.007857012502839862,0.005651556398270795
199604,0.0017111423133791934,0.0014586044869956544,0.7031411065275419,1,1,0,0,0,0.004247812220281391,0.007351188148435064,0.0009831321531923768,0.0012231368998869962,0.004540074701363429
199605,0.0009831321531923768,0.0013617331908126287,0.6947094286715738,1,1,0,0,0,0.0017111423133791934,0.0029794772668302926,0.00041829247450124994,0.0014586044869956544,0.0013408706934413253
199606,0.00041829247450124994,0.0019129754673201762,0.664833133906233,1,1,0,0,0,0.0009831321531923768,0.0013471372332857852,0.000254890687625809,0.0013617331908126287,0.0014101688389041415
199607,0.000254890687625809,0.0020906563169128473,0.6087999766327842,2,0,1,0,0,0.00041829247450124994,0.0007007123138468134,0.00020795345277877035,0.0019129754673201762,0.0016373543290664023
199608,0.00020795345277877035,0.0020427286069419036,0.5337583596214511,2,0,1,0,0,0.000254890687625809,0.00033659158106352945,0.00013035430299554188,0.0020906563169128473,0.002001815892116512
199609,0.00013035430299554188,0.0012758036342779674,0.48431567497008593,2,0,1,0,0,0.00020795345277877035,0.00023142207020228968,6.945277263602471e-05,0.0020427286069419036,0.0020666924619273754
199610,6.945277263602471e-05,0.0004634356180097505,0.4594095858349445,3,0,0,1,0,0.00013035430299554188,0.0001691538778871561,0.0007309110607074473,0.0012758036342779674,0.0016592661206099356
199611,0.0007309110607074473,0.000645630378925475,0.45041083070452154,3,0,0,1,0,6.945277263602471e-05,9.990353781578329e-05,0.010871851628209344,0.0004634356180097505,0.000869619626143859
199612,0.010871851628209344,0.007994637812671615,0.5091927343034497,3,0,0,1,0,0.0007309110607074473,0.000400181916671736,0.019416500499971824,0.000645630378925475,0.0005545329984676128
199701,0.019416500499971824,0.019427399801693262,0.5743127098809402,4,0,0,0,1,0.010871851628209344,0.005801381344458395,0.0027032502914349776,0.007994637812671615,0.004320134095798545
199702,0.0027032502914349776,0.001977660996875221,0.5423925191527715,4,0,0,0,1,0.019416500499971824,0.015144176064090584,0.0010027357583719,0.019427399801693262,0.013711018807182437
199703,0.0010027357583719,0.0006779769348573293,0.5689380278823648,4,0,0,0,1,0.0027032502914349776,0.0110598753957034,0.0006221550173371223,0.001977660996875221,0.010702530399284241
199704,0.0006221550173371223,0.001267043825116667,0.5571937809824246,1,1,0,0,0,0.0010027357583719,0.001852993024903439,0.0003415114539382558,0.0006779769348573293,0.0013278189658662751
199705,0.0003415114539382558,0.0012233456987705488,0.5296040500661443,1,1,0,0,0,0.0006221550173371223,0.0008124453878545112,0.0001069948118987408,0.001267043825116667,0.0009725103799869982
199706,0.0001069948118987408,0.0011848684725082775,0.49521503680336487,1,1,0,0,0,0.0003415114539382558,0.00048183323563768903,3.2294227322766505e-06,0.0012233456987705488,0.0012451947619436078
199707,3.2294227322766505e-06,0.0012287953496312655,0.4537084121976867,2,0,1,0,0,0.0001069948118987408,0.0002242531329184983,3.274500091248012e-05,0.0011848684725082775,0.0012041070856394131
199709,3.274500091248012e-05,0.0009790129572177177,0.37243411793254066,2,0,1,0,0,3.2294227322766505e-06,5.5112117315508724e-05,7.32675282385265e-05,0.0012287953496312655,0.0012068319110697715
199710,7.32675282385265e-05,0.0004860281212076359,0.3468847054034802,3,0,0,1,0,3.274500091248012e-05,1.7987211822378386e-05,0.0002874051672445707,0.0009790129572177177,0.0011039041534244916
199711,0.0002874051672445707,0.0005406053653831113,0.33410888719678017,3,0,0,1,0,7.32675282385265e-05,5.300626457550331e-05,0.00043980700835192637,0.0004860281212076359,0.0007325205392126767
199712,0.00043980700835192637,0.0004434401089257376,0.33357740390232504,3,0,0,1,0,0.0002874051672445707,0.0001803363477415486,0.007489434993991087,0.0005406053653831113,0.0005133167432953736
199801,0.007489434993991087,0.000920183639778078,0.44130325972660356,4,0,0,0,1,0.00043980700835192637,0.00036360608779824853,0.019746665723149807,0.0004434401089257376,0.0004920227371544245
199802,0.019746665723149807,0.020013035430299555,0.5656111987381703,4,0,0,0,1,0.007489434993991087,0.003964621001171507,0.005806502072633417,0.000920183639778078,0.0006818118743519078
199803,0.005806502072633417,0.0010285711402301132,0.582079983718327,4,0,0,0,1,0.019746665723149807,0.013618050358570447,0.006396001474865828,0.020013035430299555,0.010466609535038817
199804,0.006396001474865828,0.003367348314788561,0.7350068577698532,1,1,0,0,0,0.005806502072633417,0.012776583897891613,0.003166045311155721,0.0010285711402301132,0.010520803285264835
199805,0.003166045311155721,0.003233863188533531,0.7577450636756632,1,1,0,0,0,0.006396001474865828,0.006101251773749623,0.0012053080272179785,0.003367348314788561,0.0021979597275093373
199806,0.0012053080272179785,0.0012413900982871445,0.7590026106820407,1,1,0,0,0,0.003166045311155721,0.004781023393010775,0.0004882483493360761,0.003233863188533531,0.0033006057516610458
199807,0.0004882483493360761,0.0018012105289273018,0.7263872846396505,2,0,1,0,0,0.0012053080272179785,0.0021856766691868497,0.00025708135582077306,0.0012413900982871445,0.0022376266434103375
199808,0.00025708135582077306,0.001804270406966134,0.6759143284077702,2,0,1,0,0,0.0004882483493360761,0.0008467781882770273,0.00024156514549402417,0.0018012105289273018,0.0015213003136072233
199809,0.00024156514549402417,0.0015517376228589305,0.622776025236593,2,0,1,0,0,0.00025708135582077306,0.0003726648525784246,0.00017899508005616408,0.001804270406966134,0.001802740467946718
199810,0.00017899508005616408,0.0006446951385293801,0.5930717665615142,3,0,0,1,0,0.00024156514549402417,0.0002493232506573986,0.0003463700051024398,0.0015517376228589305,0.0016780040149125322
199811,0.0003463700051024398,0.00032692859191281904,0.5841677659879553,3,0,0,1,0,0.00017899508005616408,0.00021028011277509414,0.0005532981500862201,0.0006446951385293801,0.0010982163806941554
199812,0.0005532981500862201,0.0008203382507942302,0.5809671690618062,3,0,0,1,0,0.0003463700051024398,0.00026268254257930194,0.0036770341788982456,0.00032692859191281904,0.0004858118652210996
199901,0.0036770341788982456,0.003945158496348631,0.575990101163929,4,0,0,0,1,0.0005532981500862201,0.0004498340775943299,0.009947746546542072,0.0008203382507942302,0.0005736334213535246
199902,0.009947746546542072,0.008551093300161267,0.6157499657111507,4,0,0,0,1,0.0036770341788982456,0.0021151661644922327,0.0024799948194677,0.003945158496348631,0.002382748373571431
199903,0.0024799948194677,0.0014932043358364163,0.6283302596457171,4,0,0,0,1,0.009947746546542072,0.006812390362720159,0.0021109575827098054,0.008551093300161267,0.006248125898254949
199904,0.0021109575827098054,0.0013389994003702062,0.6581344501250952,1,1,0,0,0,0.0024799948194677,0.006213870683004886,0.0007448072432299561,0.0014932043358364163,0.005022148817998841
199905,0.0007448072432299561,0.0013655916781812967,0.6593787915554478,1,1,0,0,0,0.0021109575827098054,0.0022954762010887527,0.00037792319524467503,0.0013389994003702062,0.0014161018681033114
199906,0.00037792319524467503,0.0014134577782412598,0.6273921766561514,1,1,0,0,0,0.0007448072432299561,0.0014278824129698808,0.0001428683160831139,0.0013655916781812967,0.0013522955392757515
199907,0.0001428683160831139,0.001460385327319655,0.584960455159982,2,0,1,0,0,0.00037792319524467503,0.0005613652192373156,0.00010324060797246917,0.0014134577782412598,0.0013895247282112782
199908,0.00010324060797246917,0.0012824777745913392,0.539461072555205,2,0,1,0,0,0.0001428683160831139,0.0002603957556638945,8.603383997705764e-05,0.001460385327319655,0.0014369215527804573
199909,8.603383997705764e-05,0.000997098685656185,0.5011659072321533,2,0,1,0,0,0.00010324060797246917,0.00012305446202779153,8.921280297914247e-05,0.0012824777745913392,0.0013714315509554971
199910,8.921280297914247e-05,0.0006483066135045375,0.4748354574132492,3,0,0,1,0,8.603383997705764e-05,9.463722397476341e-05,0.00021941236280209614,0.000997098685656185,0.0011397882301237621
199911,0.00021941236280209614,0.00015016815705086426,0.46584642959564093,3,0,0,1,0,8.921280297914247e-05,8.762332147810005e-05,0.00015904906956462503,0.0006483066135045375,0.0008227026495803612
199912,0.00015904906956462503,0.00016207665337613438,0.46622279179810727,3,0,0,1,0,0.00021941236280209614,0.0001543125828906193,0.0033937196137812254,0.00015016815705086426,0.0003992373852777009
200001,0.0033937196137812254,0.000239582798950774,0.4939703955350643,4,0,0,0,1,0.00015904906956462503,0.00018923071618336058,0.010828289221137535,0.00016207665337613438,0.00015612240521349933
200002,0.010828289221137535,0.007821689697425189,0.6178455346459262,4,0,0,0,1,0.0033937196137812254,0.0017763843416729252,0.003545502482198228,0.000239582798950774,0.0002008297261634542
200003,0.003545502482198228,0.004183717149664401,0.6285487790629746,4,0,0,0,1,0.010828289221137535,0.00711100441745938,0.001014282336632346,0.007821689697425189,0.004030636248187981
200004,0.001014282336632346,0.000644471674009959,0.6319763950832155,1,1,0,0,0,0.003545502482198228,0.007186895851667882,0.0008609177522283343,0.004183717149664401,0.006002703423544795
200005,0.0008609177522283343,0.0008159136533096958,0.6369890133797455,1,1,0,0,0,0.001014282336632346,0.0022798924094152868,0.0002637212387714251,0.000644471674009959,0.0024140944118371797
200006,0.0002637212387714251,0.0011840845486999181,0.6182054679284963,1,1,0,0,0,0.0008609177522283343,0.0009376000444303401,8.711678341732831e-05,0.0008159136533096958,0.0007301926636598273
200007,8.711678341732831e-05,0.0011899899482348578,0.5795561514195583,2,0,1,0,0,0.0002637212387714251,0.0005623194954998798,0.0002756211382537737,0.0011840845486999181,0.000999999101004807
200008,0.0002756211382537737,0.0013792618772606553,0.53900214511041,2,0,1,0,0,8.711678341732831e-05,0.00017541901109437673,0.00014860390541491774,0.0011899899482348578,0.0011870372484673879
200009,0.00014860390541491774,0.00091169799515082,0.5043066463613619,2,0,1,0,0,0.0002756211382537737,0.000181368960835551,0.0002493864036737567,0.0013792618772606553,0.0012846259127477565
200010,0.0002493864036737567,0.0005320690207412318,0.4820112041770913,3,0,0,1,0,0.00014860390541491774,0.00021211252183434573,0.00014671601550946507,0.00091169799515082,0.0011454799362057375
200011,0.00014671601550946507,0.00022870437711769554,0.47723524109959437,3,0,0,1,0,0.0002493864036737567,0.00019899515454433722,0.00020042604832191962,0.0005320690207412318,0.0007218835079460259
200012,0.00020042604832191962,0.0002264632691009001,0.47514700315457414,3,0,0,1,0,0.00014671601550946507,0.00019805120959161086,0.000630544788477016,0.00022870437711769554,0.00038038669892946365
200101,0.000630544788477016,0.0002698586370658676,0.4779374926977451,4,0,0,0,1,0.00020042604832191962,0.00017357103191569233,0.002060119404541544,0.0002264632691009001,0.00022758382310929782
200102,0.002060119404541544,0.00025229144242622876,0.5031988508337089,4,0,0,0,1,0.000630544788477016,0.0004154854183994678,0.001408496865910115,0.0002698586370658676,0.00024816095308338384
200103,0.001408496865910115,0.0002315092421200824,0.5689411824564974,4,0,0,0,1,0.002060119404541544,0.00134533209650928,0.0009095833586800034,0.00025229144242622876,0.0002610750397460482
200104,0.0009095833586800034,0.0008164234834725229,0.5789135211574024,1,1,0,0,0,0.001408496865910115,0.0017343081352258296,0.00026055962964480314,0.0002315092421200824,0.0002419003422731556
200105,0.00026055962964480314,0.0011413642971251033,0.5647345069705912,1,1,0,0,0,0.0009095833586800034,0.0011590401122950592,0.00010551588307930045,0.0008164234834725229,0.0005239663627963026
200106,0.00010551588307930045,0.0012784405156071345,0.5260120925341746,1,1,0,0,0,0.00026055962964480314,0.0005850714941624032,2.0022420940115232e-05,0.0011413642971251033,0.0009788938902988132
200107,2.0022420940115232e-05,0.0012228971678355102,0.48287664527357776,2,0,1,0,0,0.00010551588307930045,0.0001830377563620518,6.607398910238027e-05,0.0012784405156071345,0.0012099024063661188
200108,6.607398910238027e-05,0.0012332775656648564,0.43979745458501035,2,0,1,0,0,2.0022420940115232e-05,6.276915200970784e-05,5.583175069839824e-05,0.0012228971678355102,0.0012506688417213223
200109,5.583175069839824e-05,0.0010333330436571044,0.4022433228180862,2,0,1,0,0,6.607398910238027e-05,4.304820502124775e-05,0.0001705034283181688,0.0012332775656648564,0.0012280873667501833
200111,0.0001705034283181688,0.0003700572441610583,0.3714254468980021,3,0,0,1,0,5.583175069839824e-05,6.095286990038925e-05,0.0016339129754673202,0.0010333330436571044,0.0011333053046609803
200112,0.0016339129754673202,0.00026905128138279843,0.38353373359112647,3,0,0,1,0,0.0001705034283181688,0.00011316758950828352,0.0015038474573891838,0.0003700572441610583,0.0007016951439090814
200201,0.0015038474573891838,0.00018301744140574082,0.45412017909840235,4,0,0,0,1,0.0016339129754673202,0.0009022082018927444,0.0012994551190134787,0.00026905128138279843,0.00031955426277192835
200202,0.0012994551190134787,0.00013940610579555232,0.47958134294727356,4,0,0,0,1,0.0015038474573891838,0.001568880216428252,0.002421702186543024,0.00018301744140574082,0.0002260343613942696
200203,0.002421702186543024,8.389023588335317e-05,0.5386280655337335,4,0,0,0,1,0.0012994551190134787,0.0014016512882013311,0.0005729974069520958,0.00013940610579555232,0.00016121177360064657
200204,0.0005729974069520958,0.0007419365836343181,0.574970977917981,1,1,0,0,0,0.002421702186543024,0.0018605786527782515,2.0417600300775402e-05,8.389023588335317e-05,0.00011164817083945275
200208,2.0417600300775402e-05,0.0010768010309163164,0.45309056680573934,2,0,1,0,0,0.0005729974069520958,0.0014973497967475599,2.780891797238227e-06,0.0007419365836343181,0.00041291340975883564
200210,2.780891797238227e-06,0.00035799016011232816,0.3968230385672128,3,0,0,1,0,2.0417600300775402e-05,0.0002967075036264356,5.079217076720408e-05,0.0010768010309163164,0.0009093688072753173
200211,5.079217076720408e-05,0.000250905962405819,0.38856424815983176,3,0,0,1,0,2.780891797238227e-06,1.1599246049006814e-05,0.0015136741663842324,0.00035799016011232816,0.0007173955955143223
200212,0.0015136741663842324,0.00027299087809555257,0.39797618805332247,3,0,0,1,0,5.079217076720408e-05,2.6786531282221153e-05,0.0005808134335210057,0.000250905962405819,0.0003044480612590736
200301,0.0005808134335210057,0.0002510311025366947,0.43444448967131377,4,0,0,0,1,0.0015136741663842324,0.0007822331685757182,0.0005166499689011877,0.00027299087809555257,0.0002619484202506858
200302,0.0005166499689011877,0.0002230175903820871,0.4414671022983325,4,0,0,0,1,0.0005808134335210057,0.0010472437999526191,0.0006408385734361479,0.0002510311025366947,0.0002620109903161236
200303,0.0006408385734361479,0.00021980258471557954,0.45102004680980967,4,0,0,0,1,0.0005166499689011877,0.0005487317012110967,0.0018954558489975755,0.0002230175903820871,0.00023702434645939092
200304,0.0018954558489975755,0.0004306906170972704,0.4735132492113565,1,1,0,0,0,0.0006408385734361479,0.0005787442711686678,0.0009361289145186941,0.00021980258471557954,0.00022141008754883332
200305,0.0009361289145186941,0.0008275395751458916,0.5072461585427903,1,1,0,0,0,0.0018954558489975755,0.0012681472112168616,0.00021482389133665303,0.0004306906170972704,0.00032524660090642494
200306,0.00021482389133665303,0.0012545298120290951,0.4816521556256572,1,1,0,0,0,0.0009361289145186941,0.0014157923817581348,0.00011304325155773392,0.0008275395751458916,0.0006291150961215809
200307,0.00011304325155773392,0.0013700758662043434,0.44021217055052403,2,0,1,0,0,0.00021482389133665303,0.0005754764029276735,4.609328153922361e-05,0.0012545298120290951,0.0010410346935874934
200311,4.609328153922361e-05,0.00019042156581588758,0.3152507886435331,3,0,0,1,0,0.00011304325155773392,0.00016393357144719347,0.0008187052408446156,0.0013700758662043434,0.0013123028391167193
200312,0.0008187052408446156,0.00034245078122336514,0.31644662664088735,3,0,0,1,0,4.609328153922361e-05,7.956826654847876e-05,0.0015781064361506004,0.00019042156581588758,0.0007802487160101154
200401,0.0015781064361506004,0.00034681693414128175,0.36376288117770766,4,0,0,0,1,0.0008187052408446156,0.00043239926119191963,0.0027062632096106183,0.00034245078122336514,0.00026643617351962634
200402,0.0027062632096106183,0.00033528924720839515,0.3843847492657457,4,0,0,0,1,0.0015781064361506004,0.001198405838497608,0.0011487864014391115,0.00034681693414128175,0.00034463385768232344
200403,0.0011487864014391115,0.00020022420940115233,0.4547609884332282,4,0,0,0,1,0.0027062632096106183,0.0021421848228806092,0.0002721797846546914,0.00033528924720839515,0.0003410530906748384
200404,0.0002721797846546914,0.0008628412023880908,0.45299358569926396,1,1,0,0,0,0.0011487864014391115,0.001927524805524865,6.213854774518521e-05,0.00020022420940115233,0.00026775672830477376
200405,6.213854774518521e-05,0.0009972373877716876,0.42454815983175603,1,1,0,0,0,0.0002721797846546914,0.0007104830930469015,3.2119300258101526e-05,0.0008628412023880908,0.0005315327058946215
200406,3.2119300258101526e-05,0.0011231326746095889,0.3902942166140904,1,1,0,0,0,6.213854774518521e-05,0.0001671591661999383,2.8862965669722567e-05,0.0009972373877716876,0.0009300392950798893
200407,2.8862965669722567e-05,0.0011769227469940718,0.35115203012109497,2,0,1,0,0,3.2119300258101526e-05,4.712892400164337e-05,4.682662961801143e-05,0.0011231326746095889,0.0010601850311906381
200408,4.682662961801143e-05,0.0011155637150808155,0.3117326752823853,2,0,1,0,0,2.8862965669722567e-05,3.0491132963912047e-05,2.1482389133665302e-05,0.0011769227469940718,0.0011500277108018302
200409,2.1482389133665302e-05,0.000890789164950335,0.27693648790746583,2,0,1,0,0,4.682662961801143e-05,3.7844797643867e-05,0.00010495623879899114,0.0011155637150808155,0.0011462432310374436
200410,0.00010495623879899114,0.00027752851605502464,0.2595126691767579,3,0,0,1,0,2.1482389133665302e-05,3.415450937583837e-05,0.00020439554709700966,0.000890789164950335,0.0010031764400155753
200411,0.00020439554709700966,0.00032953567797272987,0.25466666666666665,3,0,0,1,0,0.00010495623879899114,6.321931396632822e-05,0.0019029373449940164,0.00027752851605502464,0.0005841588405026798
200412,0.0019029373449940164,0.0003394930647305829,0.2604842780095655,3,0,0,1,0,0.00020439554709700966,0.0001546758929480004,0.007610538346451461,0.00032953567797272987,0.00030353209701387726
200501,0.007610538346451461,0.0003701725806872111,0.44336979749669275,4,0,0,0,1,0.0019029373449940164,0.001053666446045513,0.0034342027344608362,0.0003394930647305829,0.0003345143713516564
200502,0.0034342027344608362,0.00029720781082983547,0.5580256872465075,4,0,0,0,1,0.007610538346451461,0.004756737845722739,0.007941392705373205,0.0003701725806872111,0.000354832822708897
200503,0.007941392705373205,0.003370232291367938,0.6722833859095688,4,0,0,0,1,0.0034342027344608362,0.005522370540456149,0.0022639575746188486,0.00029720781082983547,0.0003336901957585233
