Date,PST,Outflow
19931001,0000,215
19931002,0000,215
19931003,0000,215
19931004,0000,199
19931005,0000,159
19931006,0000,141
19931007,0000,113
19931008,0000,115
19931009,0000,114
19931010,0000,123
19931011,0000,133
19931012,0000,136
19931013,0000,142
19931014,0000,144
19931015,0000,146
19931016,0000,m
19931017,0000,131
19931018,0000,142
19931019,0000,154
19931020,0000,154
19931021,0000,154
19931022,0000,154
19931023,0000,167
19931024,0000,175
19931025,0000,175
19931026,0000,175
19931027,0000,169
19931028,0000,144
19931029,0000,m
19931030,0000,117
19931031,0000,103
19931101,0000,104
19931102,0000,101
19931103,0000,106
19931104,0000,104
19931105,0000,m
19931106,0000,125
19931107,0000,134
19931108,0000,122
19931109,0000,117
19931110,0000,113
19931111,0000,98
19931112,0000,98
19931113,0000,99
19931114,0000,104
19931115,0000,106
19931116,0000,111
19931117,0000,111
19931118,0000,113
19931119,0000,m
19931120,0000,113
19931121,0000,114
19931122,0000,115
19931123,0000,115
19931124,0000,114
19931125,0000,114
19931126,0000,114
19931127,0000,114
19931128,0000,108
19931129,0000,108
19931130,0000,83
19931201,0000,54
19931202,0000,78
19931203,0000,118
19931204,0000,117
19931205,0000,117
19931206,0000,115
19931207,0000,114
19931208,0000,109
19931209,0000,96
19931210,0000,89
19931211,0000,90
19931212,0000,91
19931213,0000,91
19931214,0000,91
19931215,0000,91
19931216,0000,91
19931217,0000,91
19931218,0000,91
19931219,0000,91
19931220,0000,91
19931221,0000,91
19931222,0000,91
19931223,0000,91
19931224,0000,91
19931225,0000,91
19931226,0000,91
19931227,0000,89
19931228,0000,89
19931229,0000,89
19931230,0000,89
19931231,0000,89
19940101,0000,m
19940102,0000,89
19940103,0000,89
19940104,0000,89
19940105,0000,89
19940106,0000,89
19940107,0000,89
19940108,0000,89
19940109,0000,89
19940110,0000,89
19940111,0000,89
19940112,0000,89
19940113,0000,89
19940114,0000,89
19940115,0000,89
19940116,0000,89
19940117,0000,89
19940118,0000,72
19940119,0000,54
19940120,0000,54
19940121,0000,51
19940122,0000,51
19940123,0000,52
19940124,0000,27
19940125,0000,5
19940126,0000,4
19940127,0000,43
19940128,0000,52
19940129,0000,52
19940130,0000,52
19940131,0000,52
19940201,0000,52
19940202,0000,54
19940203,0000,53
19940204,0000,54
19940205,0000,54
19940206,0000,54
19940207,0000,32
19940208,0000,m
19940209,0000,8
19940210,0000,47
19940211,0000,52
19940212,0000,51
19940213,0000,40
19940214,0000,41
19940215,0000,39
19940216,0000,39
19940217,0000,41
19940218,0000,32
19940219,0000,7
19940220,0000,m
19940221,0000,m
19940222,0000,7
19940223,0000,6
19940224,0000,6
19940225,0000,6
19940226,0000,28
19940227,0000,m
19940228,0000,42
19940301,0000,40
19940302,0000,39
19940303,0000,48
19940304,0000,49
19940305,0000,49
19940306,0000,49
19940307,0000,49
19940308,0000,49
19940309,0000,63
19940310,0000,73
19940311,0000,68
19940312,0000,67
19940313,0000,67
19940314,0000,74
