Title: "NHG.csv"

5362,PST,'RESERVOIR STORAGE (af)'
19631001,0000,263
19631101,0000,354
19631201,0000,814
19640101,0000,1061
19640201,0000,19228
19640301,0000,22235
19640401,0000,27182
19640501,0000,29305
19640601,0000,28811
19640701,0000,16100
19640801,0000,9798
19640901,0000,9563
19641001,0000,9442
19641101,0000,14738
19641201,0000,111590
19650101,0000,159048
19650201,0000,162242
19650301,0000,169920
19650401,0000,214076
19650501,0000,211604
19650601,0000,201516
19650701,0000,188333
19650801,0000,176320
19650901,0000,167836
19651001,0000,164554
19651101,0000,170100
19651201,0000,182744
19660101,0000,186233
19660201,0000,200277
19660301,0000,203813
19660401,0000,199497
19660501,0000,189882
19660601,0000,177266
19660701,0000,163177
19660801,0000,149272
19660901,0000,142244
19661001,0000,137953
19661101,0000,139026
19661201,0000,165440
19670101,0000,175384
19670201,0000,181235
19670301,0000,184117
19670401,0000,219029
19670501,0000,237367
19670601,0000,234028
19670701,0000,221493
19670801,0000,206967
19670901,0000,197108
19671001,0000,196238
19671101,0000,195466
19671201,0000,197108
19680101,0000,203594
19680201,0000,202772
19680301,0000,200809
19680401,0000,199246
19680501,0000,190046
19680601,0000,178252
19680701,0000,164321
19680801,0000,151177
19680901,0000,142816
19681001,0000,139834
19681101,0000,141456
19681201,0000,155628
19690101,0000,161862
19690201,0000,184428
19690301,0000,168226
19690401,0000,198921
19690501,0000,198661
19690601,0000,190901
19690701,0000,179172
19690801,0000,166534
19690901,0000,158932
19691001,0000,156515
19691101,0000,159192
19691201,0000,171756
19700101,0000,m
19700201,0000,172328
19700301,0000,172057
19700401,0000,173837
19700501,0000,169179
19700601,0000,160147
19700701,0000,147658
19700801,0000,134149
19700901,0000,125368
19701001,0000,122703
19701101,0000,134334
19701201,0000,158528
19710101,0000,160960
19710201,0000,166474
19710301,0000,182813
19710401,0000,186207
19710501,0000,181451
19710601,0000,171936
19710701,0000,158787
19710801,0000,145556
19710901,0000,135951
19711001,0000,134784
19711101,0000,135553
19711201,0000,159886
19720101,0000,163206
19720201,0000,180063
19720301,0000,177425
19720401,0000,172539
19720501,0000,164527
19720601,0000,151656
19720701,0000,137124
19720801,0000,123436
19720901,0000,115091
19721001,0000,112044
19721101,0000,113780
19721201,0000,119895
19730101,0000,174140
19730201,0000,164409
19730301,0000,184709
19730401,0000,196206
19730501,0000,189603
19730601,0000,178711
19730701,0000,165499
19730801,0000,151627
19730901,0000,143722
19731001,0000,143116
19731101,0000,150279
19731201,0000,173384
19740101,0000,184678
19740201,0000,192554
19740301,0000,234969
19740401,0000,272456
19740501,0000,267963
19740601,0000,255798
19740701,0000,244015
19740801,0000,228823
19740901,0000,218615
19741001,0000,215011
19741101,0000,194760
19741201,0000,172268
19750101,0000,176876
19750201,0000,m
19750301,0000,177273
19750401,0000,196592
19750501,0000,193415
19750601,0000,181420
19750701,0000,167482
19750801,0000,154146
19750901,0000,144979
19751001,0000,143110
19751101,0000,142593
19751201,0000,141290
19760101,0000,140479
19760201,0000,136754
19760301,0000,137874
19760401,0000,129104
19760501,0000,116381
19760601,0000,103400
19760701,0000,88678
19760801,0000,77183
19760901,0000,70900
19761001,0000,68964
19761101,0000,68180
19761201,0000,67672
19770101,0000,68107
19770201,0000,65006
19770301,0000,56930
19770401,0000,47769
19770501,0000,41610
19770601,0000,28806
19770701,0000,16128
19770801,0000,11578
19770901,0000,11178
19771001,0000,10844
19771101,0000,10735
19771201,0000,14624
19780101,0000,73416
19780201,0000,118834
19780301,0000,171608
19780401,0000,220112
19780501,0000,222165
19780601,0000,206890
19780701,0000,189497
19780801,0000,171187
19780901,0000,161805
19781001,0000,152980
19781101,0000,151149
19781201,0000,151908
19790101,0000,162608
19790201,0000,192046
19790301,0000,235847
19790401,0000,246709
19790501,0000,238652
19790601,0000,224287
19790701,0000,208507
19790801,0000,190864
19790901,0000,177147
19791001,0000,171984
19791101,0000,171833
19791201,0000,176535
19800101,0000,166519
19800201,0000,198991
19800301,0000,209746
19800401,0000,215633
19800501,0000,207270
19800601,0000,193905
19800701,0000,178957
19800801,0000,161441
19800901,0000,148801
19801001,0000,142039
19801101,0000,138776
19801201,0000,137627
19810101,0000,153375
19810201,0000,157394
19810301,0000,179081
19810401,0000,179944
19810501,0000,167141
19810601,0000,150224
19810701,0000,131830
19810801,0000,114926
19810901,0000,102563
19811001,0000,96996
19811101,0000,105711
19811201,0000,130583
19820101,0000,170421
19820201,0000,184890
19820301,0000,252639
19820401,0000,276189
19820501,0000,275913
19820601,0000,264291
19820701,0000,249440
19820801,0000,232632
19820901,0000,221992
19821001,0000,220678
19821101,0000,208373
19821201,0000,158804
19830101,0000,174433
19830201,0000,193424
19830301,0000,192782
19830401,0000,236815
19830501,0000,261653
19830601,0000,255334
19830701,0000,242861
19830801,0000,227470
19830901,0000,217685
19831001,0000,221598
19831101,0000,170571
19831201,0000,157423
19840101,0000,158084
19840201,0000,180438
19840301,0000,199905
19840401,0000,200494
19840501,0000,190991
19840601,0000,177239
19840701,0000,159266
19840801,0000,141307
19840901,0000,127828
19841001,0000,124448
19841101,0000,130143
19841201,0000,135186
19850101,0000,138429
19850201,0000,153659
19850301,0000,173887
19850401,0000,172738
19850501,0000,159989
19850601,0000,145123
19850701,0000,127828
19850801,0000,111008
19850901,0000,100807
19851001,0000,95426
19851101,0000,96384
19851201,0000,99179
19860101,0000,108938
19860201,0000,186901
19860301,0000,195808
19860401,0000,202234
19860501,0000,194582
19860601,0000,179574
19860701,0000,162461
19860801,0000,145123
19860901,0000,135503
19861001,0000,131000
19861101,0000,127400
19861201,0000,125380
19870101,0000,123870
19870201,0000,128960
19870301,0000,144110
19870401,0000,135950
19870501,0000,120520
19870601,0000,104267
19870701,0000,87049
19870801,0000,70078
19870901,0000,59230
19871001,0000,56202
19871101,0000,54121
19871201,0000,52652
19880101,0000,55187
19880201,0000,55250
19880301,0000,55412
19880401,0000,52000
19880501,0000,48302
19880601,0000,39000
