Title: "NML.csv"

5366,PST,'RESERVOIR STORAGE (af)'
19751001,0000,12000
19751101,0000,12800
19751201,0000,12100
19760101,0000,17800
19760201,0000,37400
19760301,0000,59600
19760401,0000,55900
19760501,0000,41900
19760601,0000,9830
19760701,0000,5250
19760801,0000,4590
19760901,0000,3460
19761001,0000,3458
19761101,0000,3458
19761201,0000,3458
19770101,0000,3458
19770201,0000,3458
19770301,0000,6590
19770401,0000,4568
19770501,0000,4568
19770601,0000,5323
19770701,0000,3587
19770801,0000,2995
19770901,0000,2995
19771001,0000,2995
19771101,0000,2995
19771201,0000,9680
19780101,0000,79908
19780201,0000,64747
19780301,0000,54064
19780401,0000,69265
19780501,0000,96325
19780601,0000,112980
19780701,0000,90223
19780801,0000,29000
19780901,0000,43578
19781001,0000,45769
19781101,0000,38037
19781201,0000,52336
19790101,0000,55129
19790201,0000,81787
19790301,0000,106871
19790401,0000,174420
19790501,0000,289314
19790601,0000,281799
19790701,0000,215371
19790801,0000,153520
19790901,0000,115920
19791001,0000,127700
19791101,0000,157000
19791201,0000,181700
19800101,0000,282500
19800201,0000,400000
19800301,0000,384600
19800401,0000,257000
19800501,0000,237800
19800601,0000,351500
19800701,0000,329900
19800801,0000,276900
19800901,0000,276900
19801001,0000,268900
19801101,0000,285900
19801201,0000,316000
19810101,0000,340800
19810201,0000,371700
19810301,0000,420800
19810401,0000,404200
19810501,0000,383800
19810601,0000,305700
19810701,0000,219000
19810801,0000,149400
19810901,0000,124300
19811001,0000,141100
19811101,0000,204500
19811201,0000,345700
19820101,0000,493100
19820201,0000,726400
19820301,0000,903100
19820401,0000,1229400
19820501,0000,1546200
19820601,0000,1636300
19820701,0000,1567500
19820801,0000,1431700
19820901,0000,1357900
19821001,0000,1352200
19821101,0000,1430500
19821201,0000,1541900
19830101,0000,1682700
19830201,0000,1880100
19830301,0000,2070500
19830401,0000,1931300
19830501,0000,2028300
19830601,0000,2368700
19830701,0000,2325400
19830801,0000,2141700
19830901,0000,2024200
19831001,0000,1971300
19831101,0000,2036100
19831201,0000,2052300
19840101,0000,1911100
19840201,0000,1904400
19840301,0000,1941500
19840401,0000,1933900
19840501,0000,2030700
19840601,0000,2059200
19840701,0000,1986000
19840801,0000,1909900
19840901,0000,1841200
19841001,0000,1825600
19841101,0000,1873100
19841201,0000,1885300
19850101,0000,1866500
19850201,0000,1867600
19850301,0000,1903400
19850401,0000,1921200
19850501,0000,1900300
19850601,0000,1822600
19850701,0000,1667600
19850801,0000,1540300
19850901,0000,1508100
19851001,0000,1515000
19851101,0000,1532300
19851201,0000,1567400
19860101,0000,1633000
19860201,0000,1994600
19860301,0000,2037200
19860401,0000,2091400
19860501,0000,2213300
19860601,0000,2253700
19860701,0000,2164200
19860801,0000,2030600
19860901,0000,1947900
19861001,0000,1936600
19861101,0000,1942900
19861201,0000,1920300
19870101,0000,1883500
19870201,0000,1866400
19870301,0000,1849700
19870401,0000,1780200
19870501,0000,1709800
19870601,0000,1598181
19870701,0000,1519496
19870801,0000,1465943
19870901,0000,1443100
19871001,0000,1451235
19871101,0000,1449052
19871201,0000,1429934
19880101,0000,1444413
19880201,0000,1445300
19880301,0000,1383900
19880401,0000,1359136
19880501,0000,1278828
19880601,0000,1207100
19880701,0000,1124000
19880801,0000,1054566
19880901,0000,989252
19881001,0000,971816
19881101,0000,937317
19881201,0000,920121
19890101,0000,921971
19890201,0000,938286
19890301,0000,985600
19890401,0000,975400
19890501,0000,908956
19890601,0000,857467
19890701,0000,769418
19890801,0000,699400
19890901,0000,671900
19891001,0000,714800
19891101,0000,734500
19891201,0000,763400
19900101,0000,777100
19900201,0000,800100
19900301,0000,769400
19900401,0000,714600
19900501,0000,633900
19900601,0000,567900
19900701,0000,479700
19900801,0000,411500
19900901,0000,377700
19901001,0000,375664
19901101,0000,365100
19901201,0000,385931
19910101,0000,373300
19910201,0000,372603
19910301,0000,423122
19910401,0000,433159
19910501,0000,423206
19910601,0000,401992
19910701,0000,339705
19910801,0000,287469
19910901,0000,296264
19911001,0000,293066
19911101,0000,289213
19911201,0000,317490
19920101,0000,328159
19920201,0000,374250
19920301,0000,422614
19920401,0000,365134
19920501,0000,285900
19920601,0000,232078
19920701,0000,176298
19920801,0000,116274
19920901,0000,83839
19921001,0000,86920
19921101,0000,91020
19921201,0000,115600
19930101,0000,263600
19930201,0000,367800
19930301,0000,511000
19930401,0000,581500
19930501,0000,684400
19930601,0000,798000
19930701,0000,766700
19930801,0000,712000
19930901,0000,670700
19931001,0000,682746
19931101,0000,709003
19931201,0000,747513
19940101,0000,774252
19940201,0000,792033
19940301,0000,742071
19940401,0000,691451
19940501,0000,649505
19940601,0000,578799
19940701,0000,495715
19940801,0000,421012
19940901,0000,379213
