Title: "ORO.csv"

5393,PST,'RESERVOIR STORAGE (af)'
19671001,0000,1000
19671101,0000,39850
19671201,0000,165530
19680101,0000,390150
19680201,0000,1065600
19680301,0000,1485700
19680401,0000,1699400
19680501,0000,1715300
19680601,0000,1671700
19680701,0000,1644400
19680801,0000,1648600
19680901,0000,1677600
19681001,0000,1705000
19681101,0000,1797700
19681201,0000,2066100
19690101,0000,2785200
19690201,0000,2756600
19690301,0000,2935200
19690401,0000,3013600
19690501,0000,3334700
19690601,0000,3491500
19690701,0000,3366000
19690801,0000,3030900
19690901,0000,2780300
19691001,0000,2764300
19691101,0000,2796200
19691201,0000,2919700
19700101,0000,2803100
19700201,0000,2789500
19700301,0000,2937700
19700401,0000,3006600
19700501,0000,3094500
19700601,0000,2991900
19700701,0000,2867000
19700801,0000,2685900
19700901,0000,2541800
19701001,0000,2461300
19701101,0000,2655700
19701201,0000,2795200
19710101,0000,2806100
19710201,0000,3091500
19710301,0000,3247300
19710401,0000,3265500
19710501,0000,3523400
19710601,0000,3513900
19710701,0000,3352600
19710801,0000,3034600
19710901,0000,2730400
19711001,0000,2730800
19711101,0000,2680600
19711201,0000,2601300
19720101,0000,2719000
19720201,0000,2821800
19720301,0000,3206800
19720401,0000,3424000
19720501,0000,3463400
19720601,0000,3235300
19720701,0000,3018500
19720801,0000,2766300
19720901,0000,2611500
19721001,0000,2483800
19721101,0000,2638900
19721201,0000,2861200
19730101,0000,2812800
19730201,0000,2875600
19730301,0000,2982400
19730401,0000,3315000
19730501,0000,3514600
19730601,0000,3389200
19730701,0000,3138700
19730801,0000,2866900
19730901,0000,2728500
19731001,0000,2687400
19731101,0000,2789200
19731201,0000,2811600
19740101,0000,2825700
19740201,0000,2847600
19740301,0000,3326200
19740401,0000,3222700
19740501,0000,3442100
19740601,0000,3513100
19740701,0000,3184000
19740801,0000,2757700
19740901,0000,2397000
19741001,0000,2072610
19741101,0000,1840100
19741201,0000,1667210
19750101,0000,1662100
19750201,0000,2016100
19750301,0000,2673600
19750401,0000,3127100
19750501,0000,3385600
19750601,0000,3475900
19750701,0000,3224900
19750801,0000,2983900
19750901,0000,2857500
19751001,0000,2808600
19751101,0000,2751600
19751201,0000,2582700
19760101,0000,2679000
19760201,0000,2751500
19760301,0000,2860000
19760401,0000,2751500
19760501,0000,2632700
19760601,0000,2422100
19760701,0000,2113300
19760801,0000,1927300
19760901,0000,1827900
19761001,0000,1743300
19761101,0000,1686300
19761201,0000,1627300
19770101,0000,1605900
19770201,0000,1572410
19770301,0000,1564500
19770401,0000,1406800
19770501,0000,1353400
19770601,0000,1203000
19770701,0000,996900
19770801,0000,891800
19770901,0000,915200
19771001,0000,905300
19771101,0000,917700
19771201,0000,1119920
19780101,0000,2030400
19780201,0000,2525100
19780301,0000,2841600
19780401,0000,3168400
19780501,0000,3344500
19780601,0000,3330700
19780701,0000,3021900
19780801,0000,2795200
19780901,0000,2744200
19781001,0000,2727900
19781101,0000,2707300
19781201,0000,2653000
19790101,0000,2771600
19790201,0000,2901000
19790301,0000,3059600
