Date,PST,Storage
19850213,0000,1289100
19850214,0000,1294800
19850215,0000,m
19850216,0000,m
19850217,0000,m
19850218,0000,1318200
19850219,0000,1322200
19850220,0000,1322500
19850221,0000,1321500
19850222,0000,m
19850223,0000,m
19850224,0000,1330100
19850225,0000,1323900
19850226,0000,1322900
19850227,0000,1326000
19850228,0000,1329700
19850301,0000,m
19850302,0000,m
19850303,0000,1662600
19850304,0000,1353300
19850305,0000,1354200
19850306,0000,1355200
19850307,0000,1354200
19850308,0000,m
19850309,0000,m
19850310,0000,m
19850311,0000,1377600
19850312,0000,1382700
19850313,0000,1389000
19850314,0000,1395400
19850315,0000,m
19850316,0000,m
19850317,0000,m
19850318,0000,1426300
19850319,0000,1426100
19850320,0000,1431600
19850321,0000,1436400
19850322,0000,m
19850323,0000,m
19850324,0000,1464600
19850325,0000,1460400
19850326,0000,1457800
19850327,0000,1466600
19850328,0000,1472900
19850329,0000,m
19850330,0000,m
19850331,0000,1502000
19850401,0000,1506900
19850402,0000,1516800
19850403,0000,1529400
19850404,0000,1543700
19850405,0000,m
19850406,0000,m
19850407,0000,m
19850408,0000,1621900
19850409,0000,1635800
19850410,0000,1649700
19850411,0000,1664300
19850412,0000,m
19850413,0000,m
19850414,0000,1711800
19850415,0000,1723200
19850416,0000,1732000
19850417,0000,1740600
19850418,0000,1748700
19850419,0000,m
19850420,0000,m
19850421,0000,m
19850422,0000,1773400
19850423,0000,1774200
19850424,0000,1774800
19850425,0000,1774600
19850426,0000,m
19850427,0000,m
19850428,0000,1770900
19850429,0000,1769200
19850430,0000,1763300
19850501,0000,1759200
19850502,0000,1754500
19850503,0000,m
19850504,0000,m
19850505,0000,1740500
19850506,0000,1736900
19850507,0000,1731500
19850508,0000,1724900
19850509,0000,1716200
19850510,0000,m
19850511,0000,m
19850512,0000,1693300
19850513,0000,1686500
19850514,0000,1678400
19850515,0000,1669800
19850516,0000,1666500
19850517,0000,m
19850518,0000,m
19850519,0000,1665200
19850520,0000,1660600
19850521,0000,1653900
19850522,0000,1648000
19850523,0000,1640400
19850524,0000,m
19850525,0000,m
19850526,0000,m
19850527,0000,1607900
19850528,0000,1598400
19850529,0000,1587000
19850530,0000,1575700
19850531,0000,m
19850601,0000,m
19850602,0000,1544200
19850603,0000,1531900
19850604,0000,1520600
19850605,0000,1509400
19850606,0000,m
19850607,0000,m
19850608,0000,m
19850609,0000,1469400
19850610,0000,1457700
19850611,0000,1443600
19850612,0000,1432300
19850613,0000,1421900
19850614,0000,m
19850615,0000,m
19850616,0000,1393600
19850617,0000,1380500
19850618,0000,1365500
19850619,0000,1350700
19850620,0000,1336300
19850621,0000,m
19850622,0000,m
19850623,0000,1298200
19850624,0000,1281900
19850625,0000,1269200
19850626,0000,1257000
19850627,0000,1242900
19850628,0000,m
19850629,0000,m
19850630,0000,1218000
19850701,0000,1206000
19850702,0000,1198000
