Date,PST,Inflow
19940101,0000,m
19940102,0000,359
19940103,0000,424
19940104,0000,379
19940105,0000,454
19940106,0000,394
19940107,0000,m
19940108,0000,m
19940109,0000,260
19940110,0000,344
19940111,0000,330
19940112,0000,445
19940113,0000,340
19940114,0000,m
19940115,0000,m
19940116,0000,m
19940117,0000,260
19940118,0000,123
19940119,0000,302
19940120,0000,357
19940121,0000,m
19940122,0000,m
19940123,0000,287
19940124,0000,432
19940125,0000,532
19940126,0000,432
19940127,0000,423
19940128,0000,m
19940129,0000,m
19940130,0000,288
19940131,0000,338
19941101,0000,520
19941102,0000,520
19941103,0000,111
19941104,0000,111
19941105,0000,m
19941106,0000,512
19941107,0000,512
19941108,0000,332
19941109,0000,427
19941110,0000,531
19941111,0000,m
19941112,0000,m
19941113,0000,181
19941114,0000,181
19941115,0000,165
19941116,0000,140
19941117,0000,175
19941118,0000,155
19941119,0000,m
19941120,0000,297
19941121,0000,297
19941122,0000,202
19941123,0000,43
19941124,0000,m
19941125,0000,m
19941126,0000,m
19941127,0000,680
19941128,0000,680
19941129,0000,55
19941130,0000,55
19941201,0000,62
19941202,0000,m
19941203,0000,m
19941204,0000,639
19941205,0000,639
19941206,0000,389
19941207,0000,235
19941208,0000,89
19941209,0000,89
19941210,0000,m
19941211,0000,655
19941212,0000,655
19941213,0000,714
19941214,0000,741
19941215,0000,753
19941216,0000,658
19941217,0000,m
19941218,0000,602
19941219,0000,602
19941220,0000,571
19941221,0000,647
19941222,0000,642
19941223,0000,637
19941224,0000,m
19941225,0000,m
19941226,0000,732
19941227,0000,732
19941228,0000,682
19941229,0000,712
19941230,0000,692
19941231,0000,m
19950101,0000,m
19950102,0000,627
19950103,0000,627
19950104,0000,662
19950105,0000,662
19950106,0000,1129
19950107,0000,m
19950108,0000,1164
19950109,0000,1164
19950110,0000,1409
19950111,0000,4841
19950112,0000,1858
19950113,0000,1858
19950114,0000,m
19950115,0000,m
19950116,0000,2400
19950117,0000,2400
19950118,0000,1759
19950119,0000,1424
19950120,0000,1305
19950121,0000,m
19950122,0000,1296
19950123,0000,1296
19950124,0000,1351
19950125,0000,1646
19950126,0000,2610
19950127,0000,2130
19950128,0000,m
19950129,0000,1847
19950130,0000,1847
19950131,0000,1708
19950201,0000,1694
19950202,0000,1650
19950203,0000,1735
19950204,0000,m
19950205,0000,1445
19950206,0000,1445
19950207,0000,1405
19950208,0000,1383
19950209,0000,1363
19950210,0000,1316
19950211,0000,m
19950212,0000,m
19950213,0000,1252
19950214,0000,1252
19950215,0000,1316
19950216,0000,1217
19950217,0000,1071
19950218,0000,m
19950219,0000,m
19950220,0000,1166
19950221,0000,1166
19950222,0000,1144
19950223,0000,1111
19950224,0000,1205
19950225,0000,m
19950226,0000,1188
19950227,0000,1188
19950228,0000,1148
19950301,0000,1132
19950302,0000,1182
19950303,0000,1183
19950304,0000,m
19950305,0000,1763
19950306,0000,1763
19950307,0000,1578
19950308,0000,1413
19950309,0000,1449
19950310,0000,2785
19950311,0000,m
19950312,0000,6658
19950313,0000,6658
19950314,0000,4399
19950315,0000,4399
19950316,0000,3912
19950317,0000,3499
19950318,0000,m
19950319,0000,3231
19950320,0000,3231
19950321,0000,3435
19950322,0000,4050
19950323,0000,4340
19950324,0000,4912
19950325,0000,m
19950326,0000,2715
19950327,0000,2715
19950328,0000,2349
19950329,0000,2318
19950330,0000,2074
19950331,0000,2074
19950401,0000,m
19950402,0000,2158
19950403,0000,2195
19950404,0000,2219
19950405,0000,2414
19950406,0000,2361
19950407,0000,2361
19950408,0000,m
19950409,0000,2888
19950410,0000,2712
19950411,0000,2430
19950412,0000,2561
19950413,0000,2882
19950414,0000,2882
19950415,0000,m
19950416,0000,2328
19950417,0000,2211
19950418,0000,2172
19950419,0000,2023
19950420,0000,1765
19950421,0000,m
19950422,0000,m
19950423,0000,1935
19950424,0000,2038
19950425,0000,2144
19950426,0000,2175
19950427,0000,2453
19950428,0000,m
