yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199503,0.011838479338842975,0.001265582511330312,0.6508776071428571,4,0,0,0,1,0.0038942621015348286,0.004718839928400046,0.00900372755770875,9.230224321133411e-05,0.0003324747686331264
199504,0.00900372755770875,0.012457719008264463,0.7488499642857144,1,1,0,0,0,0.011838479338842975,0.007866370720188903,0.016619636363636368,0.001265582511330312,0.0006789423772708231
199505,0.016619636363636368,0.01908086376966142,0.6555093225806452,1,1,0,0,0,0.00900372755770875,0.010421103448275862,0.02604056670602125,0.012457719008264463,0.006861650759797388
199506,0.02604056670602125,0.01601030493017954,0.743187,1,1,0,0,0,0.016619636363636368,0.012811681960672559,0.020709497774952318,0.01908086376966142,0.015769291388962943
199507,0.020709497774952318,0.01969465209277526,0.9560106296296298,2,0,1,0,0,0.02604056670602125,0.02133010153482881,0.006767532467532467,0.01601030493017954,0.01754558434992048
199508,0.006767532467532467,0.012930384724992874,0.819575724137931,2,0,1,0,0,0.020709497774952318,0.023375032240486784,0.0034332840365376253,0.01969465209277526,0.0178524785114774
199509,0.0034332840365376253,0.006142657342657343,0.6753223076923078,2,0,1,0,0,0.006767532467532467,0.013738515121242393,0.001986375442739079,0.012930384724992874,0.016312518408884067
199510,0.001986375442739079,0.005080079794813338,0.5913179642857144,3,0,0,1,0,0.0034332840365376253,0.005100408252035046,0.0011281700118063755,0.006142657342657343,0.009536521033825109
199511,0.0011281700118063755,0.0003918677685950413,0.5526316333333333,3,0,0,1,0,0.001986375442739079,0.0027098297396383523,0.0015455551563061446,0.005080079794813338,0.00561136856873534
199512,0.0015455551563061446,0.00040113719008264464,0.5766179565217391,3,0,0,1,0,0.0011281700118063755,0.0015572727272727275,0.002061171397772188,0.0003918677685950413,0.0027359737817041897
199601,0.002061171397772188,0.0005549904640813732,0.6110722222222222,4,0,0,0,1,0.0015455551563061446,0.00133686258405626,0.006175149119655049,0.00040113719008264464,0.000396502479338843
199602,0.006175149119655049,0.0002745917355371901,0.7192697199999999,4,0,0,0,1,0.002061171397772188,0.0018033632770391664,0.006341157024793389,0.0005549904640813732,0.0004780638270820089
199603,0.006341157024793389,0.004761256198347107,0.8389323448275862,4,0,0,0,1,0.006175149119655049,0.004118160258713619,0.01007865123966942,0.0002745917355371901,0.00041479109980928163
199604,0.01007865123966942,0.009016646989374261,0.8330208518518518,1,1,0,0,0,0.006341157024793389,0.006258153072224219,0.01656587412587413,0.004761256198347107,0.0025179239669421488
199605,0.01656587412587413,0.014782739079102715,0.9164141111111112,1,1,0,0,0,0.01007865123966942,0.008209904132231405,0.013993388429752066,0.009016646989374261,0.006888951593860684
199606,0.013993388429752066,0.014380429752066116,0.9382439285714286,1,1,0,0,0,0.01656587412587413,0.013322262682771775,0.005673795295613477,0.014782739079102715,0.011899693034238488
199607,0.005673795295613477,0.013751263282172372,0.7780009333333333,2,0,1,0,0,0.013993388429752066,0.015279631277813097,0.0023857851239669423,0.014380429752066116,0.014581584415584416
199608,0.0023857851239669423,0.009788209366391184,0.49714404166666665,2,0,1,0,0,0.005673795295613477,0.009833591862682772,0.0014266446280991735,0.013751263282172372,0.014065846517119243
199609,0.0014266446280991735,0.003722115702479339,0.36891848275862066,2,0,1,0,0,0.0023857851239669423,0.00402979020979021,0.0011180826446280994,0.009788209366391184,0.011769736324281778
199610,0.0011180826446280994,0.0006062148760330578,0.33832741935483873,3,0,0,1,0,0.0014266446280991735,0.001906214876033058,0.0030857667584940312,0.003722115702479339,0.006755162534435261
199611,0.0030857667584940312,0.00015089072543617997,0.3842881333333334,3,0,0,1,0,0.0011180826446280994,0.0012723636363636366,0.006142298053852306,0.0006062148760330578,0.0021641652892561984
199612,0.006142298053852306,8.439349506798187e-05,0.5239505483870968,3,0,0,1,0,0.0030857667584940312,0.002101924701561065,0.017148834977339378,0.00015089072543617997,0.0003785528007346189
199701,0.017148834977339378,0.008363209810717141,0.8585962903225807,4,0,0,0,1,0.006142298053852306,0.0046140324061731686,0.006458394332939787,8.439349506798187e-05,0.00011764211025208093
199702,0.006458394332939787,0.01204370720188902,0.8007429285714285,4,0,0,0,1,0.017148834977339378,0.011645566515595842,0.006370077312716609,0.008363209810717141,0.004223801652892561
199703,0.006370077312716609,0.00836199413489736,0.6894183,4,0,0,0,1,0.006458394332939787,0.011803614655139582,0.008992727272727272,0.01204370720188902,0.010203458506303081
199704,0.008992727272727272,0.006217917355371901,0.7030162142857144,1,1,0,0,0,0.006370077312716609,0.006414235822828198,0.015219301519594776,0.00836199413489736,0.010202850668393191
199705,0.015219301519594776,0.01073288189816049,0.8384001666666666,1,1,0,0,0,0.008992727272727272,0.007681402292721941,0.011273520661157025,0.006217917355371901,0.00728995574513463
