Title: "PNF.csv"

5427,PST,'RESERVOIR STORAGE (af)'
19511201,0000,2700
19520101,0000,2950
19520201,0000,2840
19520301,0000,2800
19520401,0000,2860
19520501,0000,92800
19520601,0000,98300
19520701,0000,280
19520801,0000,20
19520901,0000,m
19521001,0000,m
19521101,0000,m
19521201,0000,m
19530101,0000,m
19530201,0000,m
19530301,0000,m
19530401,0000,208
19530501,0000,31
19530601,0000,33
19530701,0000,16
19530801,0000,m
19530901,0000,m
19531001,0000,0
19531101,0000,0
19531201,0000,0
19540101,0000,0
19540201,0000,30866
19540301,0000,58698
19540401,0000,153831
19540501,0000,422688
19540601,0000,358663
19540701,0000,172195
19540801,0000,74867
19540901,0000,63095
19541001,0000,66344
19541101,0000,81249
19541201,0000,103801
19550101,0000,139253
19550201,0000,174352
19550301,0000,157649
19550401,0000,187902
19550501,0000,361186
19550601,0000,379061
19550701,0000,233610
19550801,0000,119426
19550901,0000,69608
19551001,0000,72229
19551101,0000,83928
19551201,0000,477300
19560101,0000,674257
19560201,0000,552048
19560301,0000,429581
19560401,0000,538076
19560501,0000,828041
19560601,0000,937432
19560701,0000,730789
19560801,0000,476544
19560901,0000,405789
19561001,0000,424490
19561101,0000,439704
19561201,0000,448988
19570101,0000,447223
19570201,0000,483930
19570301,0000,468917
19570401,0000,518650
19570501,0000,736999
19570601,0000,868085
19570701,0000,565912
19570801,0000,363926
19570901,0000,291755
19571001,0000,294773
19571101,0000,316310
19571201,0000,348765
19580101,0000,375490
19580201,0000,453416
19580301,0000,588118
19580401,0000,750876
19580501,0000,921209
19580601,0000,996820
19580701,0000,835848
19580801,0000,621450
19580901,0000,585553
19581001,0000,596871
19581101,0000,606639
19581201,0000,614180
19590101,0000,625333
19590201,0000,663463
19590301,0000,637839
19590401,0000,687726
19590501,0000,655474
19590601,0000,490018
19590701,0000,420879
19590801,0000,354076
19590901,0000,310418
19591001,0000,316632
19591101,0000,321036
19591201,0000,321552
19600101,0000,328369
19600201,0000,362410
19600301,0000,384792
19600401,0000,417616
19600501,0000,486850
19600601,0000,371405
19600701,0000,288783
19600801,0000,239425
19600901,0000,231835
19601001,0000,237156
19601101,0000,255738
19601201,0000,271901
19610101,0000,278998
19610201,0000,290558
19610301,0000,294928
19610401,0000,342862
19610501,0000,398352
19610601,0000,360661
19610701,0000,202697
19610801,0000,142547
19610901,0000,110185
19611001,0000,113936
19611101,0000,126847
19611201,0000,151902
19620101,0000,166249
19620201,0000,307698
19620301,0000,354619
19620401,0000,526459
19620501,0000,591174
19620601,0000,646883
19620701,0000,467505
19620801,0000,321552
19620901,0000,247397
19621001,0000,265217
19621101,0000,285797
19621201,0000,287866
19630101,0000,346311
19630201,0000,513202
19630301,0000,523254
19630401,0000,657538
19630501,0000,859460
19630601,0000,923190
19630701,0000,770775
19630801,0000,526877
19630901,0000,467191
19631001,0000,511886
19631101,0000,589845
19631201,0000,630559
19640101,0000,616447
19640201,0000,604480
19640301,0000,544423
19640401,0000,621633
19640501,0000,692874
19640601,0000,537276
19640701,0000,336351
19640801,0000,261194
19640901,0000,191863
19641001,0000,210790
19641101,0000,253790
19641201,0000,388525
19650101,0000,509421
19650201,0000,536812
19650301,0000,503007
19650401,0000,623596
19650501,0000,694226
19650601,0000,705948
19650701,0000,557580
19650801,0000,455195
19650901,0000,419319
19651001,0000,457711
19651101,0000,523462
19651201,0000,577503
19660101,0000,609341
19660201,0000,620903
19660301,0000,528504
19660401,0000,608304
19660501,0000,686240
19660601,0000,504351
19660701,0000,321647
19660801,0000,270242
19660901,0000,211228
19661001,0000,229955
19661101,0000,273234
19661201,0000,559429
19670101,0000,646787
19670201,0000,705851
19670301,0000,780375
19670401,0000,845798
19670501,0000,844935
19670601,0000,957641
19670701,0000,963098
19670801,0000,742792
19670901,0000,666012
19671001,0000,650002
19671101,0000,692778
19671201,0000,699589
19680101,0000,680450
19680201,0000,707019
19680301,0000,655708
19680401,0000,670033
19680501,0000,739143
19680601,0000,558137
19680701,0000,378470
19680801,0000,349236
19680901,0000,306592
19681001,0000,342094
19681101,0000,380336
19681201,0000,420877
19690101,0000,783212
19690201,0000,818947
19690301,0000,664595
19690401,0000,581190
19690501,0000,926143
19690601,0000,951799
19690701,0000,968689
19690801,0000,819477
19690901,0000,712531
19691001,0000,666862
19691101,0000,668849
19691201,0000,690179
19700101,0000,722637
19700201,0000,769496
19700301,0000,803555
19700401,0000,814185
19700501,0000,923135
19700601,0000,829320
19700701,0000,616309
19700801,0000,522131
19700901,0000,498940
19701001,0000,514148
19701101,0000,541031
19701201,0000,603716
19710101,0000,653927
19710201,0000,700704
19710301,0000,670507
19710401,0000,720669
19710501,0000,812496
19710601,0000,748259
19710701,0000,550380
19710801,0000,403095
19710901,0000,368797
19711001,0000,385216
19711101,0000,400774
19711201,0000,426992
19720101,0000,453917
19720201,0000,452450
19720301,0000,430180
19720401,0000,488812
19720501,0000,573872
19720601,0000,487168
19720701,0000,250709
19720801,0000,199149
19720901,0000,209828
19721001,0000,243378
19721101,0000,285613
19721201,0000,325729
19730101,0000,393027
19730201,0000,484487
19730301,0000,583700
19730401,0000,558008
19730501,0000,839820
19730601,0000,947130
19730701,0000,688497
19730801,0000,489776
19730901,0000,425683
19731001,0000,452566
19731101,0000,509094
19731201,0000,543149
19740101,0000,654302
19740201,0000,690805
19740301,0000,782128
19740401,0000,816299
19740501,0000,970266
19740601,0000,974168
19740701,0000,721603
