yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199504,0.013873544990301868,0.011836787977293888,0.5520204131227218,1,1,0,0,0,0.023550074779572754,0.01569954544552165,0.020329159692692722,0.012226727388694729,0.008813049957493255
199505,0.020329159692692722,0.007745589430505855,0.8189718966801238,1,1,0,0,0,0.013873544990301868,0.01871180988493731,0.01531486297862085,0.011836787977293888,0.012031757682994308
199506,0.01531486297862085,0.014146992960645893,0.9952234372890509,1,1,0,0,0,0.020329159692692722,0.017101352341497296,0.005099263930590563,0.007745589430505855,0.009791188703899872
199507,0.005099263930590563,0.010479052487582899,0.9287419718798821,2,0,1,0,0,0.01531486297862085,0.017822011335656786,0.0018151481150080044,0.014146992960645893,0.010946291195575874
199508,0.0018151481150080044,0.008783771182975866,0.671304495747266,2,0,1,0,0,0.005099263930590563,0.010207063454605706,0.0012532259522207605,0.010479052487582899,0.012313022724114397
199509,0.0012532259522207605,0.006757177429882611,0.4914557435274325,2,0,1,0,0,0.0018151481150080044,0.0034572060227992833,0.0009528304458161963,0.008783771182975866,0.009631411835279383
199510,0.0009528304458161963,0.006025124770292118,0.3170582364172887,3,0,0,1,0,0.0012532259522207605,0.0015341870336143823,0.001126475179275356,0.006757177429882611,0.007770474306429239
199511,0.001126475179275356,0.004971129610475683,0.1807845281490482,3,0,0,1,0,0.0009528304458161963,0.0011030281990184784,0.0016615955199850041,0.006025124770292118,0.006391151100087365
199512,0.0016615955199850041,0.0015355460843144483,0.13428969218307008,3,0,0,1,0,0.001126475179275356,0.0010396528125457762,0.0042846495975173,0.004971129610475683,0.005498127190383901
199601,0.0042846495975173,0.002662658842930576,0.15592817604968273,4,0,0,0,1,0.0016615955199850041,0.0013940353496301801,0.017825188177557558,0.0015355460843144483,0.003253337847395066
199602,0.017825188177557558,0.007985298695560488,0.29774418169922423,4,0,0,0,1,0.0042846495975173,0.002973122558751152,0.01392623238906239,0.002662658842930576,0.002099102463622512
199603,0.01392623238906239,0.009786409326893144,0.4805065571709892,4,0,0,0,1,0.017825188177557558,0.01105491888753743,0.011707365167293066,0.007985298695560488,0.005323978769245532
199604,0.011707365167293066,0.003948326590849358,0.6578750350500047,1,1,0,0,0,0.01392623238906239,0.015875710283309974,0.008255866965245072,0.009786409326893144,0.008885854011226817
199605,0.008255866965245072,0.003005676528265725,0.8688884233460425,1,1,0,0,0,0.011707365167293066,0.012816798778177728,0.003359007059437856,0.003948326590849358,0.006867367958871251
199606,0.003359007059437856,0.005935371187507078,0.9019150321124805,1,1,0,0,0,0.008255866965245072,0.009981616066269069,0.000952773063675527,0.003005676528265725,0.0034770015595575418
199607,0.000952773063675527,0.009150443061853645,0.7024414742810855,2,0,1,0,0,0.003359007059437856,0.005807437012341464,0.0006549665044411667,0.005935371187507078,0.004470523857886401
199608,0.0006549665044411667,0.0100137573682255,0.3247569866342649,2,0,1,0,0,0.000952773063675527,0.0021558900615566913,0.00044987598284847814,0.009150443061853645,0.007542907124680361
