Title: "SCC.csv"

5930,PST,'RESERVOIR STORAGE (af)'
19601101,0000,133
19601201,0000,110
19610101,0000,114
19610201,0000,110
19610301,0000,128
19610401,0000,112
19610501,0000,46
19610601,0000,m
19610701,0000,73
19610801,0000,57
19610901,0000,m
19611001,0000,38
19611101,0000,42
19611201,0000,42
19620101,0000,79
19620201,0000,509
19620301,0000,6431
19620401,0000,23425
19620501,0000,28668
19620601,0000,28376
19620701,0000,20725
19620801,0000,11358
19620901,0000,8409
19621001,0000,7714
19621101,0000,7709
19621201,0000,7734
19630101,0000,13370
19630201,0000,16608
19630301,0000,21239
19630401,0000,42706
19630501,0000,61045
19630601,0000,60252
19630701,0000,38866
19630801,0000,18176
19630901,0000,12358
19631001,0000,11550
19631101,0000,6819
19631201,0000,6805
19640101,0000,6815
19640201,0000,10015
19640301,0000,14502
19640401,0000,25849
19640501,0000,32666
19640601,0000,29141
19640701,0000,18478
19640801,0000,12014
19640901,0000,9264
19641001,0000,8307
19641101,0000,10003
19641201,0000,12612
19650101,0000,9757
19650201,0000,14650
19650301,0000,22731
19650401,0000,49662
19650501,0000,62402
19650601,0000,65756
19650701,0000,50007
19650801,0000,28181
19650901,0000,21209
19651001,0000,6973
19651101,0000,10092
19651201,0000,10215
19660101,0000,9626
19660201,0000,15500
19660301,0000,20746
19660401,0000,25167
19660501,0000,25608
19660601,0000,22322
19660701,0000,10868
19660801,0000,7383
19660901,0000,5894
19661001,0000,5364
19661101,0000,7232
19661201,0000,54592
19670101,0000,38666
19670201,0000,30160
19670301,0000,31662
19670401,0000,64240
19670501,0000,88691
19670601,0000,87481
19670701,0000,76484
19670801,0000,42078
19670901,0000,23307
19671001,0000,10059
19671101,0000,13673
19671201,0000,11836
19680101,0000,13176
19680201,0000,20692
19680301,0000,30523
19680401,0000,39469
19680501,0000,43744
19680601,0000,36046
19680701,0000,20078
19680801,0000,10835
19680901,0000,8878
19681001,0000,8729
19681101,0000,12353
19681201,0000,10887
19690101,0000,70989
19690201,0000,79467
19690301,0000,59757
19690401,0000,65340
19690501,0000,93982
19690601,0000,93748
19690701,0000,72964
19690801,0000,47839
19690901,0000,42659
19691001,0000,20348
19691101,0000,9423
19691201,0000,8908
19700101,0000,30391
19700201,0000,25449
19700301,0000,31331
19700401,0000,38105
19700501,0000,45338
19700601,0000,35850
19700701,0000,21527
19700801,0000,15851
19700901,0000,11863
19701001,0000,9889
19701101,0000,12712
19701201,0000,7312
19710101,0000,9022
19710201,0000,17953
19710301,0000,26498
19710401,0000,35085
19710501,0000,47431
19710601,0000,49337
19710701,0000,32586
19710801,0000,16930
19710901,0000,11950
19711001,0000,10848
19711101,0000,9831
19711201,0000,8584
19720101,0000,11463
19720201,0000,16500
19720301,0000,19518
19720401,0000,21663
19720501,0000,22332
19720601,0000,18812
19720701,0000,10329
19720801,0000,4968
19720901,0000,3754
19721001,0000,3877
19721101,0000,7560
19721201,0000,9115
19730101,0000,16398
19730201,0000,19430
19730301,0000,33831
19730401,0000,31038
19730501,0000,67520
19730601,0000,76555
19730701,0000,55602
19730801,0000,30844
19730901,0000,13494
19731001,0000,10502
19731101,0000,11874
19731201,0000,10933
19740101,0000,13834
19740201,0000,18819
19740301,0000,37356
19740401,0000,63291
19740501,0000,79611
19740601,0000,76396
19740701,0000,49799
19740801,0000,22297
19740901,0000,11724
19741001,0000,10312
19741101,0000,11569
19741201,0000,12098
19750101,0000,13637
19750201,0000,18922
19750301,0000,36525
19750401,0000,49671
19750501,0000,74304
19750601,0000,80913
19750701,0000,61976
19750801,0000,34132
19750901,0000,13184
19751001,0000,10485
19751101,0000,12364
19751201,0000,12892
19760101,0000,14148
19760201,0000,18380
19760301,0000,25457
19760401,0000,30163
19760501,0000,31807
19760601,0000,22250
19760701,0000,14020
19760801,0000,8940
19760901,0000,7268
19761001,0000,7951
19761101,0000,8441
19761201,0000,9071
19770101,0000,10772
19770201,0000,11768
19770301,0000,12477
19770401,0000,12228
19770501,0000,13396
19770601,0000,11387
19770701,0000,8210
19770801,0000,6674
19770901,0000,5181
19771001,0000,3996
19771101,0000,4298
19771201,0000,12328
19780101,0000,13136
19780201,0000,35739
19780301,0000,56468
19780401,0000,66727
19780501,0000,79912
19780601,0000,81235
19780701,0000,58407
19780801,0000,35779
19780901,0000,24878
19781001,0000,18229
19781101,0000,11423
19781201,0000,11518
19790101,0000,15753
19790201,0000,25420
19790301,0000,46634
19790401,0000,63918
19790501,0000,78576
19790601,0000,73696
19790701,0000,48056
19790801,0000,23838
19790901,0000,12738
19791001,0000,11648
19791101,0000,11244
19791201,0000,12606
19800101,0000,48621
19800201,0000,62147
19800301,0000,61630
19800401,0000,65877
19800501,0000,79605
19800601,0000,82019
19800701,0000,75490
19800801,0000,42146
19800901,0000,20533
19801001,0000,12080
19801101,0000,11518
19801201,0000,11964
19810101,0000,14645
19810201,0000,21897
19810301,0000,36654
19810401,0000,51338
19810501,0000,55493
19810601,0000,39440
19810701,0000,18591
19810801,0000,12250
19810901,0000,7411
19811001,0000,7461
19811101,0000,8885
19811201,0000,13203
19820101,0000,10471
19820201,0000,26394
19820301,0000,35764
19820401,0000,81207
19820501,0000,90681
19820601,0000,82167
19820701,0000,75720
19820801,0000,45601
19820901,0000,27521
19821001,0000,16459
19821101,0000,16174
19821201,0000,35681
19830101,0000,56609
19830201,0000,60123
19830301,0000,59345
19830401,0000,61706
19830501,0000,80645
19830601,0000,82019
19830701,0000,81649
19830801,0000,49144
19830901,0000,23594
19831001,0000,13191
19831101,0000,21811
19831201,0000,45075
19840101,0000,35955
19840201,0000,29870
19840301,0000,35586
19840401,0000,49330
19840501,0000,59696
19840601,0000,60086
19840701,0000,44932
19840801,0000,28213
19840901,0000,19439
19841001,0000,9805
19841101,0000,13377
19841201,0000,9345
19850101,0000,13049
19850201,0000,15463
19850301,0000,27254
19850401,0000,47303
19850501,0000,55114
19850601,0000,45508
19850701,0000,23289
19850801,0000,18290
19850901,0000,12945
19851001,0000,11378
19851101,0000,11894
19851201,0000,8980
19860101,0000,12203
19860201,0000,48147
19860301,0000,53521
19860401,0000,65191
19860501,0000,80841
19860601,0000,79029
19860701,0000,57229
19860801,0000,31592
19860901,0000,21132
19861001,0000,9820
19861101,0000,9886
19861201,0000,9870
19870101,0000,11694
19870201,0000,14440
19870301,0000,25870
19870401,0000,34150
19870501,0000,34230
19870601,0000,26656
19870701,0000,13641
19870801,0000,6514
19870901,0000,4597
19871001,0000,4216
19871101,0000,6720
19871201,0000,10418
19880101,0000,8760
19880201,0000,13080
19880301,0000,16718
19880401,0000,19961
19880501,0000,22372
19880601,0000,20957
19880701,0000,13546
19880801,0000,9408
19880901,0000,6986
19881001,0000,5559
19881101,0000,7138
19881201,0000,8325
19890101,0000,10774
19890201,0000,17046
19890301,0000,31766
19890401,0000,39157
19890501,0000,41969
19890601,0000,36946
19890701,0000,20541
19890801,0000,11008
19890901,0000,8032
19891001,0000,7118
19891101,0000,7424
19891201,0000,8222
19900101,0000,10096
19900201,0000,12564
19900301,0000,18175
19900401,0000,20213
19900501,0000,22026
19900601,0000,19383
19900701,0000,12678
19900801,0000,8383
19900901,0000,5590
19901001,0000,4252
19901101,0000,4227
19901201,0000,5049
19910101,0000,6732
19910201,0000,7062
19910301,0000,28720
19910401,0000,42023
19910501,0000,44192
19910601,0000,39503
19910701,0000,25109
19910801,0000,13768
19910901,0000,10360
19911001,0000,8067
19911101,0000,9267
19911201,0000,10481
19920101,0000,11383
19920201,0000,18046
19920301,0000,24395
