Date,PST,Storage
19880104,0000,9581
19880105,0000,m
19880106,0000,m
19880107,0000,m
19880108,0000,m
19880109,0000,m
19880110,0000,m
19880111,0000,8478
19880112,0000,m
19880113,0000,m
19880114,0000,m
19880115,0000,m
19880116,0000,m
19880117,0000,m
19880118,0000,9320
19880119,0000,m
19880120,0000,m
19880121,0000,m
19880122,0000,m
19880123,0000,m
19880124,0000,m
19880125,0000,8325
19880126,0000,m
19880127,0000,m
19880128,0000,m
19880129,0000,m
19880130,0000,m
19880131,0000,m
19880201,0000,8918
19880202,0000,m
19880203,0000,m
19880204,0000,m
19880205,0000,m
19880206,0000,m
19880207,0000,m
19880208,0000,10075
19880209,0000,m
19880210,0000,m
19880211,0000,m
19880212,0000,m
19880213,0000,m
19880214,0000,m
19880215,0000,11101
19880216,0000,m
19880217,0000,m
19880218,0000,m
19880219,0000,m
19880220,0000,m
19880221,0000,m
19880222,0000,12004
19880223,0000,m
19880224,0000,m
19880225,0000,m
19880226,0000,m
19880227,0000,m
19880228,0000,m
19880229,0000,13080
19880301,0000,13080
19880302,0000,m
19880303,0000,m
19880304,0000,m
19880305,0000,m
19880306,0000,m
19880307,0000,14147
19880308,0000,14147
19880309,0000,m
19880310,0000,m
19880311,0000,m
19880312,0000,m
19880313,0000,m
19880314,0000,14323
19880315,0000,14323
19880316,0000,m
19880317,0000,m
19880318,0000,m
19880319,0000,m
19880320,0000,m
19880321,0000,15128
19880322,0000,15128
19880323,0000,m
19880324,0000,m
19880325,0000,m
19880326,0000,m
19880327,0000,m
19880328,0000,16245
19880329,0000,16245
19880330,0000,m
19880331,0000,m
19880401,0000,m
19880402,0000,m
19880403,0000,m
19880404,0000,17112
19880405,0000,17112
19880406,0000,m
19880407,0000,m
19880408,0000,m
19880409,0000,m
19880410,0000,m
19880411,0000,16345
19880412,0000,16345
19880413,0000,m
19880414,0000,m
19880415,0000,m
19880416,0000,m
19880417,0000,m
19880418,0000,16245
19880419,0000,16245
19880420,0000,m
19880421,0000,m
19880422,0000,m
19880423,0000,m
19880424,0000,m
19880425,0000,18560
19880426,0000,18560
19880427,0000,m
19880428,0000,m
19880429,0000,m
19880430,0000,m
19880501,0000,m
19880502,0000,20418
19880503,0000,20418
19880504,0000,m
19880505,0000,m
19880506,0000,m
19880507,0000,m
19880508,0000,m
19880509,0000,21666
19880510,0000,21666
19880511,0000,m
19880512,0000,m
19880513,0000,m
19880514,0000,m
19880515,0000,m
19880516,0000,22635
19880517,0000,22635
19880518,0000,m
19880519,0000,m
19880520,0000,m
19880521,0000,m
19880522,0000,m
19880523,0000,22372
19880524,0000,22372
19880525,0000,m
19880526,0000,m
19880527,0000,m
19880528,0000,m
19880529,0000,m
19880530,0000,22242
19880531,0000,22242
19880601,0000,m
19880602,0000,m
19880603,0000,m
19880604,0000,m
19880605,0000,m
19880606,0000,22846
19880607,0000,22846
19880608,0000,m
19880609,0000,m
19880610,0000,m
19880611,0000,m
19880612,0000,m
19880613,0000,22854
