Date,PST,Outflow
19870105,0000,1334
19870106,0000,1603
19870107,0000,2166
19870426,0000,8411
19870427,0000,8411
19870429,0000,10007
19870430,0000,10007
19870502,0000,1821
19870503,0000,1821
19870505,0000,1155
19870506,0000,1155
19870524,0000,8350
19870525,0000,8350
19870615,0000,13005
19870616,0000,13005
19870617,0000,11694
19870618,0000,12836
19870619,0000,12836
19870620,0000,12746
19870621,0000,12746
19870622,0000,12116
19870623,0000,10931
19870624,0000,11138
19870625,0000,11640
19870627,0000,13732
19870628,0000,13732
19870629,0000,13617
19870630,0000,13988
19870701,0000,10638
19870702,0000,11589
19870704,0000,11970
19870705,0000,11970
19870706,0000,12482
19870707,0000,11967
19870708,0000,12357
19870709,0000,11194
19870710,0000,11194
19870711,0000,12486
19870712,0000,12486
19870713,0000,12212
19870714,0000,2915
19870715,0000,12123
19870716,0000,11985
19870718,0000,12189
19870719,0000,12189
19870720,0000,12423
19870721,0000,12571
19870722,0000,12240
19870723,0000,11809
19870725,0000,12708
19870726,0000,12708
19870727,0000,11507
19870728,0000,11642
19870729,0000,12427
19870730,0000,12107
19870801,0000,12285
19870802,0000,12285
19870803,0000,12219
19870804,0000,11771
19870805,0000,12285
19870806,0000,11142
19870808,0000,11951
19870809,0000,11951
19870810,0000,12243
19870811,0000,11637
19870812,0000,11326
19870813,0000,10922
19870815,0000,11754
19870816,0000,11754
19870817,0000,11574
19870818,0000,10610
19870819,0000,11511
19870820,0000,11235
19870822,0000,11074
19870823,0000,11074
19870824,0000,10997
19870825,0000,11894
19870826,0000,8190
19870827,0000,8987
19870829,0000,6057
19870830,0000,6057
19870831,0000,8500
19870901,0000,6019
19870902,0000,5867
19870903,0000,4737
19870906,0000,4735
19870907,0000,4735
19870908,0000,3636
19870909,0000,3434
19870910,0000,3434
19870912,0000,2931
19870913,0000,2931
19870914,0000,2915
19870915,0000,2732
19870916,0000,2544
19870917,0000,1908
19870919,0000,2560
19870920,0000,2560
19870921,0000,2358
19870922,0000,2662
19870923,0000,2120
19870924,0000,2988
19870926,0000,3069
19870927,0000,3069
19870928,0000,2971
19870929,0000,2666
19870930,0000,2800
19871001,0000,2730
19871003,0000,2771
19871004,0000,2771
19871005,0000,2917
19871006,0000,2216
19871007,0000,1870
19871008,0000,1865
19871011,0000,1346
19871012,0000,1346
19871013,0000,1417
19871014,0000,371
19871015,0000,371
19871016,0000,541
19871017,0000,541
19871018,0000,616
19871019,0000,563
19871020,0000,803
19871021,0000,753
19871022,0000,1071
19871024,0000,653
19871025,0000,684
19871026,0000,763
19871027,0000,853
19871028,0000,817
19871031,0000,1309
19871101,0000,1246
19871102,0000,1294
19871103,0000,1378
19871104,0000,2480
19871107,0000,1421
19871108,0000,1575
19871110,0000,1555
19871111,0000,1465
19871114,0000,1694
19871115,0000,1649
19871116,0000,2545
19871117,0000,1861
19871118,0000,1808
19871121,0000,2336
19871122,0000,2364
19871123,0000,2011
19871128,0000,2811
19871129,0000,2693
19871130,0000,2571
19871201,0000,2502
19871202,0000,2028
19871204,0000,1425
19871205,0000,1183
19871206,0000,227
19871207,0000,1789
19871208,0000,1385
19871209,0000,825
19871212,0000,2344
19871213,0000,3029
19871214,0000,1819
19871215,0000,1818
19871216,0000,952
19871219,0000,1970
19871220,0000,1460
19871221,0000,1513
19871222,0000,1526
19871227,0000,1265
19871228,0000,1290
19871229,0000,1852
19871230,0000,1433
19880103,0000,2607
19880104,0000,1628
19880107,0000,2166
19880108,0000,2340
19880109,0000,2358
19880110,0000,1773
19880111,0000,1251
19880112,0000,1118
19880113,0000,973
19880114,0000,1258
19880115,0000,1674
19880117,0000,1489
19880118,0000,1690
19880119,0000,1760
19880120,0000,2751
19880121,0000,1856
19880122,0000,1458
19880123,0000,1684
19880124,0000,2311
19880125,0000,2334
19880126,0000,1937
19880127,0000,1998
19880128,0000,1569
19880131,0000,2293
19880201,0000,2428
19880202,0000,2305
19880203,0000,2662
19880204,0000,2785
19880205,0000,3057
19880206,0000,2830
19880207,0000,2737
19880208,0000,2683
19880209,0000,2617
19880210,0000,2736
19880211,0000,3033
19880212,0000,2990
19880213,0000,2986
19880215,0000,2965
19880216,0000,3094
19880217,0000,3034
19880218,0000,2933
19880221,0000,2687
19880222,0000,2806
19880223,0000,3324
19880224,0000,3378
19880225,0000,3831
19880228,0000,4332
19880229,0000,3893
19880301,0000,3882
19880302,0000,3839
19880303,0000,3768
19880306,0000,11517
19880307,0000,3650
19880308,0000,3428
19880313,0000,6046
19880314,0000,5488
19880315,0000,5709
19880316,0000,6358
19880317,0000,5517
19880320,0000,6034
19880321,0000,5584
19880322,0000,5931
19880323,0000,5735
19880324,0000,5928
19880327,0000,8510
19880328,0000,8406
19880329,0000,7941
19880330,0000,8586
19880331,0000,9207
19880403,0000,10481
19880404,0000,10481
19880405,0000,11424
19880406,0000,11022
19880407,0000,11517
19880408,0000,11907
19880410,0000,14307
19880411,0000,14307
19880412,0000,14169
19880413,0000,14075
19880414,0000,14242
19880415,0000,14008
19880417,0000,13825
19880418,0000,13825
19880419,0000,13875
19880420,0000,13048
19880421,0000,10562
19880422,0000,9333
19880424,0000,9824
19880425,0000,9824
19880426,0000,9751
