Title: "SHA.csv"

5583,PST,'RESERVOIR STORAGE (af)'
19531001,0000,3325600
19531101,0000,3360100
19531201,0000,3359600
19540101,0000,3421000
19540201,0000,3250900
19540301,0000,3816400
19540401,0000,4431000
19540501,0000,4399500
19540601,0000,4186300
19540701,0000,3734700
19540801,0000,3293700
19540901,0000,3056800
19541001,0000,2944700
19541101,0000,3020900
19541201,0000,3194200
19550101,0000,3186700
19550201,0000,3252800
19550301,0000,3416100
19550401,0000,3678800
19550501,0000,3807400
19550601,0000,3560900
19550701,0000,3093200
19550801,0000,2670200
19550901,0000,2455300
19551001,0000,2332300
19551101,0000,2357100
19551201,0000,3416100
19560101,0000,3362000
19560201,0000,3548700
19560301,0000,3884500
19560401,0000,m
19560501,0000,4502200
19560601,0000,4423700
19560701,0000,4125200
19560801,0000,3824900
19560901,0000,3568500
19561001,0000,3413400
19561101,0000,3278300
19561201,0000,3180100
19570101,0000,3280400
19570201,0000,3918900
19570301,0000,4063900
19570401,0000,4431300
19570501,0000,4495700
19570601,0000,4319200
19570701,0000,3988300
19570801,0000,3669200
19570901,0000,3484900
19571001,0000,3395400
19571101,0000,3250700
19571201,0000,3406700
19580101,0000,3558300
19580201,0000,3695200
19580301,0000,4242200
19580401,0000,4415500
19580501,0000,4483900
19580601,0000,4460300
19580701,0000,4200400
19580801,0000,3784600
19580901,0000,3473400
19581001,0000,3255700
19581101,0000,3092000
19581201,0000,3023900
19590101,0000,3331600
19590201,0000,3459700
19590301,0000,3782000
19590401,0000,3948700
19590501,0000,3850500
19590601,0000,3574400
19590701,0000,3135300
19590801,0000,2659300
19590901,0000,2504100
19591001,0000,2421700
19591101,0000,2400800
19591201,0000,2427400
19600101,0000,2607600
19600201,0000,3208200
19600301,0000,3895500
19600401,0000,4058400
19600501,0000,4078900
19600601,0000,3828400
19600701,0000,3384100
19600801,0000,2959900
19600901,0000,2756300
19601001,0000,2627600
19601101,0000,2662300
19601201,0000,3082300
19610101,0000,3247100
19610201,0000,3552200
19610301,0000,3597300
19610401,0000,3714300
19610501,0000,3741900
19610601,0000,3500000
19610701,0000,3026200
19610801,0000,2565200
19610901,0000,2333000
19611001,0000,2213400
19611101,0000,2254300
19611201,0000,2576400
19620101,0000,2716700
19620201,0000,3621200
19620301,0000,3994300
19620401,0000,4320100
19620501,0000,4292700
19620601,0000,4026100
19620701,0000,3597600
19620801,0000,3143000
19620901,0000,2908000
19621001,0000,3193300
19621101,0000,3189000
19621201,0000,3262900
19630101,0000,3191600
19630201,0000,3437600
19630301,0000,3838200
19630401,0000,4404700
19630501,0000,4498700
19630601,0000,4337500
19630701,0000,3985800
19630801,0000,3589400
19630901,0000,3242000
19631001,0000,3111000
19631101,0000,3208200
19631201,0000,2989400
19640101,0000,3206300
19640201,0000,3161000
19640301,0000,3276100
19640401,0000,3301400
19640501,0000,3221100
19640601,0000,3123400
19640701,0000,2749200
19640801,0000,2389000
19640901,0000,2202200
19641001,0000,2186500
19641101,0000,2350800
19641201,0000,3254700
19650101,0000,3249000
19650201,0000,3270800
19650301,0000,3561400
19650401,0000,4422800
19650501,0000,4488900
19650601,0000,4406800
19650701,0000,4122100
19650801,0000,3815600
19650901,0000,3612400
19651001,0000,3424000
19651101,0000,3510800
19651201,0000,3194200
19660101,0000,3155600
19660201,0000,3483900
19660301,0000,4089500
19660401,0000,4460600
19660501,0000,4472100
19660601,0000,4236500
19660701,0000,3789700
19660801,0000,3396900
19660901,0000,3262900
19661001,0000,3150500
19661101,0000,3337700
19661201,0000,3163100
19670101,0000,3511300
19670201,0000,3350600
19670301,0000,4099200
19670401,0000,4467100
19670501,0000,4523500
19670601,0000,4443900
19670701,0000,4120200
19670801,0000,3765000
19670901,0000,3505800
19671001,0000,3329200
19671101,0000,3237300
19671201,0000,3167800
19680101,0000,3246100
19680201,0000,3536500
19680301,0000,3797900
19680401,0000,3889300
19680501,0000,3908700
19680601,0000,3713800
19680701,0000,3307400
19680801,0000,2957900
19680901,0000,2669800
19681001,0000,2515100
19681101,0000,2472900
19681201,0000,2732400
19690101,0000,3205900
19690201,0000,3197300
19690301,0000,3666600
19690401,0000,4393700
19690501,0000,4486800
