Title: "TRM.csv"

5783,PST,'RESERVOIR STORAGE (af)'
19611001,0000,205
19611101,0000,249
19611201,0000,242
19620101,0000,294
19620201,0000,379
19620301,0000,530
19620401,0000,872
19620501,0000,4492
19620601,0000,4177
19620701,0000,2896
19620801,0000,2829
19620901,0000,2878
19621001,0000,3225
19621101,0000,3236
19621201,0000,3240
19630101,0000,21673
19630201,0000,7980
19630301,0000,7584
19630401,0000,29914
19630501,0000,76900
19630601,0000,89212
19630701,0000,42841
19630801,0000,9147
19630901,0000,8465
19631001,0000,8394
19631101,0000,8304
19631201,0000,8024
19640101,0000,8106
19640201,0000,8329
19640301,0000,8259
19640401,0000,20539
19640501,0000,46873
19640601,0000,34321
19640701,0000,8021
19640801,0000,7457
19640901,0000,7501
19641001,0000,7990
19641101,0000,7888
19641201,0000,6876
19650101,0000,7080
19650201,0000,7827
19650301,0000,8024
19650401,0000,54968
19650501,0000,115362
19650601,0000,121277
19650701,0000,48668
19650801,0000,15861
19650901,0000,8715
19651001,0000,9805
19651101,0000,8722
19651201,0000,9078
19660101,0000,7970
19660201,0000,7861
19660301,0000,9271
19660401,0000,44242
19660501,0000,71730
19660601,0000,26733
19660701,0000,7635
19660801,0000,6645
19660901,0000,6451
19661001,0000,6331
19661101,0000,8692
19661201,0000,60850
19670101,0000,13756
19670201,0000,8638
19670301,0000,14911
19670401,0000,80232
19670501,0000,103309
19670601,0000,158487
19670701,0000,146155
19670801,0000,72895
19670901,0000,23799
19671001,0000,8084
19671101,0000,8432
19671201,0000,7947
19680101,0000,8105
19680201,0000,8046
19680301,0000,15307
19680401,0000,43905
19680501,0000,83492
19680601,0000,45220
19680701,0000,20017
19680801,0000,10392
19680901,0000,8330
19681001,0000,8098
19681101,0000,8053
19681201,0000,8091
19690101,0000,128035
19690201,0000,117308
19690301,0000,82427
19690401,0000,68813
19690501,0000,147370
19690601,0000,156456
19690701,0000,143548
19690801,0000,102729
19690901,0000,83056
19691001,0000,21167
19691101,0000,7978
19691201,0000,8912
19700101,0000,35744
19700201,0000,9605
19700301,0000,14703
19700401,0000,45072
19700501,0000,123602
19700601,0000,91414
19700701,0000,32120
19700801,0000,8302
19700901,0000,7648
19701001,0000,7611
19701101,0000,11775
19701201,0000,8081
19710101,0000,7975
19710201,0000,7852
19710301,0000,15792
19710401,0000,44471
19710501,0000,93881
19710601,0000,109213
19710701,0000,42909
19710801,0000,13096
19710901,0000,8167
19711001,0000,8577
19711101,0000,12881
19711201,0000,8063
19720101,0000,7961
19720201,0000,10033
19720301,0000,17227
19720401,0000,36643
19720501,0000,60726
19720601,0000,38317
19720701,0000,14304
19720801,0000,8372
19720901,0000,9077
19721001,0000,9931
19721101,0000,8163
19721201,0000,8865
19730101,0000,8250
19730201,0000,10021
19730301,0000,23043
19730401,0000,49165
19730501,0000,144025
19730601,0000,146039
19730701,0000,67358
19730801,0000,13959
19730901,0000,9310
19731001,0000,13270
19731101,0000,8916
19731201,0000,9877
19740101,0000,8081
19740201,0000,8067
19740301,0000,20256
19740401,0000,79412
19740501,0000,150105
19740601,0000,132923
19740701,0000,44776
19740801,0000,13400
19740901,0000,7954
19741001,0000,9351
19741101,0000,14285
19741201,0000,14591
19750101,0000,13368
19750201,0000,8408
19750301,0000,27204
19750401,0000,50556
19750501,0000,131832
19750601,0000,139033
19750701,0000,67239
19750801,0000,9904
19750901,0000,9035
19751001,0000,15134
19751101,0000,14709
19751201,0000,14684
19760101,0000,11638
19760201,0000,15751
19760301,0000,28407
19760401,0000,45225
19760501,0000,73477
19760601,0000,50094
19760701,0000,21039
19760801,0000,9106
19760901,0000,16843
19761001,0000,14724
19761101,0000,11962
19761201,0000,12239
19770101,0000,13700
19770201,0000,16733
19770301,0000,20720
19770401,0000,33317
19770501,0000,49712
19770601,0000,56695
19770701,0000,29469
19770801,0000,14062
19770901,0000,9948
19771001,0000,8994
19771101,0000,10201
19771201,0000,19010
19780101,0000,15216
19780201,0000,48202
19780301,0000,91626
19780401,0000,105295
19780501,0000,108438
19780601,0000,131316
19780701,0000,87404
19780801,0000,17699
19780901,0000,22185
19781001,0000,11141
19781101,0000,14825
19781201,0000,14656
19790101,0000,13413
19790201,0000,20624
19790301,0000,54789
19790401,0000,88790
19790501,0000,142658
19790601,0000,112304
19790701,0000,35197
19790801,0000,8837
19790901,0000,9237
19791001,0000,12485
19791101,0000,15138
19791201,0000,15864
19800101,0000,77001
19800201,0000,78373
19800301,0000,63368
19800401,0000,73266
19800501,0000,114411
19800601,0000,144210
19800701,0000,106997
19800801,0000,m
19800901,0000,12104
19801001,0000,12336
19801101,0000,15780
19801201,0000,14855
