yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199503,0.018992508275423637,0.009316017055045268,0.21498760775862066,4,0,0,0,1,0.0060675609656800885,0.00700192489720311,0.0152508082664282,0.005759679192281073,0.007084206937263363
199504,0.0152508082664282,0.0199297864604318,0.30152706399204243,1,1,0,0,0,0.018992508275423637,0.012530034620551862,0.028114694866262262,0.009316017055045268,0.007537848123663171
199505,0.028114694866262262,0.01699889060782478,0.4272329980842911,1,1,0,0,0,0.0152508082664282,0.01712165827092592,0.03664923736478868,0.0199297864604318,0.014622901757738532
199506,0.03664923736478868,0.031428035982008995,0.6916955584707647,1,1,0,0,0,0.028114694866262262,0.02168275156634523,0.02604855371900826,0.01699889060782478,0.018464338534128287
199507,0.02604855371900826,0.03244086634368766,0.7077578224776501,2,0,1,0,0,0.03664923736478868,0.03238196611552547,0.006600263917627962,0.031428035982008995,0.024213463294916887
199508,0.006600263917627962,0.019827741088133618,0.3423114224137931,2,0,1,0,0,0.02604855371900826,0.03134889554189847,0.0026690296380735253,0.03244086634368766,0.03193445116284833
199509,0.0026690296380735253,0.00828494585351952,0.06788604525862069,2,0,1,0,0,0.006600263917627962,0.016324408818318113,0.0009591407808492448,0.019827741088133618,0.02613430371591064
199510,0.0009591407808492448,0.0006363506826601725,0.05053949587706146,3,0,0,1,0,0.0026690296380735253,0.004634646777850743,0.0008066559006997878,0.00828494585351952,0.01405634347082657
199511,0.0008066559006997878,0.000805072670276432,0.054332858682266005,3,0,0,1,0,0.0009591407808492448,0.001814085209461385,0.0020340552864063837,0.0006363506826601725,0.0044606482680898465
199512,0.0020340552864063837,0.0020518666286691366,0.05833927387267904,3,0,0,1,0,0.0008066559006997878,0.0008828983407745163,0.0032107438016528923,0.000805072670276432,0.0007207116764683022
199601,0.0032107438016528923,0.0027033342832715876,0.05591383158866995,4,0,0,0,1,0.0020340552864063837,0.001420355593553086,0.01474168464764076,0.0020518666286691366,0.0014284696494727843
199602,0.01474168464764076,0.011104125106868054,0.10732521551724138,4,0,0,0,1,0.0032107438016528923,0.0026223995440296383,0.01130206000895656,0.0027033342832715876,0.002377600455970362
199603,0.01130206000895656,0.012098990351341448,0.10937964476813318,4,0,0,0,1,0.01474168464764076,0.008976214224646827,0.017585351952123112,0.011104125106868054,0.00690372969506982
199604,0.017585351952123112,0.003055571387859789,0.27887578746684355,1,1,0,0,0,0.01130206000895656,0.01302187232829866,0.023253597891137075,0.012098990351341448,0.01160155772910475
199605,0.023253597891137075,0.018489102556159938,0.7170684081450655,1,1,0,0,0,0.017585351952123112,0.014443705980539836,0.014732829866058705,0.003055571387859789,0.0075772808696006185
199606,0.014732829866058705,0.016990310629809064,0.7355934421182266,1,1,0,0,0,0.023253597891137075,0.02041947492163009,0.003989295383300086,0.018489102556159938,0.010772336972009864
199607,0.003989295383300086,0.0174974173553719,0.46712410201149424,2,0,1,0,0,0.014732829866058705,0.01899321387859789,0.0012670543602165858,0.016990310629809064,0.017739706592984503
199608,0.0012670543602165858,0.005822305143915646,0.09285448096264368,2,0,1,0,0,0.003989295383300086,0.009361062624679395,0.000762325448845825,0.0174974173553719,0.01724386399259048
199609,0.000762325448845825,0.0005631946423482473,0.054393665332512324,2,0,1,0,0,0.0012670543602165858,0.0026281748717583357,0.0006212596181248219,0.005822305143915646,0.011659861249643773
199610,0.0006212596181248219,0.0012346822456540325,0.05545919076751947,3,0,0,1,0,0.000762325448845825,0.0010146899045312054,0.00530421772584782,0.0005631946423482473,0.0031927498931319464
199611,0.00530421772584782,0.0035357493429593744,0.06824784482758621,3,0,0,1,0,0.0006212596181248219,0.0006917925334853235,0.011537268222726813,0.0012346822456540325,0.0008989384440011398
199612,0.011537268222726813,0.009402320300793353,0.11505526974416018,3,0,0,1,0,0.00530421772584782,0.002962738671986321,0.04090254093161364,0.0035357493429593744,0.0023852157943067033
199701,0.04090254093161364,0.02998476268397393,0.49321659482758623,4,0,0,0,1,0.011537268222726813,0.008420742974287316,0.013439802752106829,0.009402320300793353,0.006469034821876363
199702,0.013439802752106829,0.02258198306395798,0.3347356065270936,4,0,0,0,1,0.04090254093161364,0.026219904577170227,0.011240450822309454,0.02998476268397393,0.019693541492383643
199703,0.011240450822309454,0.01254562001856976,0.15153444560047563,4,0,0,0,1,0.013439802752106829,0.027171171841860235,0.013442576232544882,0.02258198306395798,0.026283372873965954
199704,0.013442576232544882,0.0037717298375605584,0.3115421916445623,1,1,0,0,0,0.011240450822309454,0.012340126787208142,0.021371197565706615,0.01254562001856976,0.01756380154126387
199705,0.021371197565706615,0.011362831980437402,0.6715022706280789,1,1,0,0,0,0.013442576232544882,0.012341513527427168,0.011969222000569962,0.0037717298375605584,0.008158674928065159
