Title: "TUL.csv"

5785,PST,'RESERVOIR STORAGE (af)'
19571101,0000,41260
19571201,0000,48550
19580101,0000,51840
19580201,0000,60680
19580301,0000,52360
19580401,0000,61260
19580501,0000,41600
19580601,0000,66590
19580701,0000,64980
19580801,0000,54880
19580901,0000,26210
19581001,0000,12500
19581101,0000,26600
19581201,0000,13600
19590101,0000,24000
19590201,0000,46300
19590301,0000,52500
19590401,0000,52100
19590501,0000,55200
19590601,0000,35800
19590701,0000,27300
19590801,0000,19200
19590901,0000,17800
19591001,0000,5760
19591101,0000,10600
19591201,0000,12500
19600101,0000,18000
19600201,0000,45800
19600301,0000,60900
19600401,0000,65800
19600501,0000,66200
19600601,0000,53200
19600701,0000,49300
19600801,0000,20200
19600901,0000,5010
19601001,0000,20700
19601101,0000,20800
19601201,0000,54000
19610101,0000,50500
19610201,0000,45300
19610301,0000,58300
19610401,0000,64100
19610501,0000,65000
19610601,0000,65800
19610701,0000,53800
19610801,0000,15900
19610901,0000,12100
19611001,0000,15600
19611101,0000,14700
19611201,0000,47800
19620101,0000,50200
19620201,0000,45400
19620301,0000,49400
19620401,0000,58600
19620501,0000,66500
19620601,0000,67700
19620701,0000,55700
19620801,0000,53100
19620901,0000,16900
19621001,0000,25000
19621101,0000,35800
19621201,0000,51300
19630101,0000,56800
19630201,0000,62200
19630301,0000,68000
19630401,0000,64900
19630501,0000,63000
19630601,0000,68000
19630701,0000,66500
19630801,0000,61600
19630901,0000,33400
19631001,0000,39900
19631101,0000,51200
19631201,0000,46300
19640101,0000,48700
19640201,0000,48500
19640301,0000,54200
19640401,0000,57600
19640501,0000,65200
19640601,0000,65800
19640701,0000,66500
19640801,0000,56200
19640901,0000,23900
19641001,0000,15320
19641101,0000,55300
19641201,0000,64000
19650101,0000,50530
19650201,0000,48460
19650301,0000,45160
19650401,0000,40070
19650501,0000,64490
19650601,0000,66840
19650701,0000,65600
19650801,0000,65230
19650901,0000,56280
19651001,0000,51440
19651101,0000,55200
19651201,0000,44250
19660101,0000,41520
19660201,0000,31450
19660301,0000,42910
19660401,0000,43080
19660501,0000,40060
19660601,0000,62500
19660701,0000,66470
19660801,0000,38510
19660901,0000,23610
19661001,0000,29550
19661101,0000,29360
19661201,0000,49240
19670101,0000,44250
19670201,0000,43980
19670301,0000,57600
19670401,0000,45990
19670501,0000,49600
19670601,0000,59520
19670701,0000,60800
19670801,0000,54880
19670901,0000,51440
19671001,0000,44520
19671101,0000,52670
19671201,0000,47780
19680101,0000,46740
19680201,0000,63520
19680301,0000,66720
19680401,0000,64490
19680501,0000,65100
19680601,0000,66470
19680701,0000,64980
19680801,0000,50430
19680901,0000,30690
19681001,0000,42700
19681101,0000,53000
19681201,0000,56000
19690101,0000,44400
19690201,0000,41700
19690301,0000,16300
19690401,0000,18800
19690501,0000,59100
19690601,0000,66800
19690701,0000,64000
19690801,0000,53900
19690901,0000,53700
19691001,0000,m
19691101,0000,55400
19691201,0000,59300
19700101,0000,42400
19700201,0000,53500
19700301,0000,66100
19700401,0000,66000
19700501,0000,65000
19700601,0000,67100
19700701,0000,66000
19700801,0000,56400
19700901,0000,32100
19701001,0000,29800
19701101,0000,40200
19701201,0000,43900
19710101,0000,34300
19710201,0000,36400
19710301,0000,52500
19710401,0000,54900
19710501,0000,65100
19710601,0000,67000
19710701,0000,66500
19710801,0000,63300
19710901,0000,40800
19711001,0000,46200
19711101,0000,37150
19711201,0000,45300
19720101,0000,40200
19720201,0000,60210
19720301,0000,46600
19720401,0000,51300
19720501,0000,65200
19720601,0000,65600
19720701,0000,65400
19720801,0000,46600
19720901,0000,14870
19721001,0000,38400
19721101,0000,32500
19721201,0000,51400
19730101,0000,57200
19730201,0000,52250
19730301,0000,43700
19730401,0000,45520
19730501,0000,66700
19730601,0000,65350
19730701,0000,66000
19730801,0000,46900
19730901,0000,12320
19731001,0000,29200
19731101,0000,55300
19731201,0000,57900
19740101,0000,45400
19740201,0000,56700
19740301,0000,46600
19740401,0000,52600
19740501,0000,64200
19740601,0000,66700
19740701,0000,65500
19740801,0000,65100
19740901,0000,56800
19741001,0000,17450
19741101,0000,26640
19741201,0000,37860
19750101,0000,58390
19750201,0000,55100
19750301,0000,59870
19750401,0000,50120
19750501,0000,40120
19750601,0000,66470
19750701,0000,62200
19750801,0000,57050
19750901,0000,40500
19751001,0000,17000
19751101,0000,27500
19751201,0000,54030
19760101,0000,59900
19760201,0000,58100
19760301,0000,59900
19760401,0000,66700
19760501,0000,66700
19760601,0000,62700
19760701,0000,30200
19760801,0000,5130
19760901,0000,8330
19761001,0000,12200
19761101,0000,15000
19761201,0000,16200
19770101,0000,19190
19770201,0000,22900
19770301,0000,27600
19770401,0000,17700
19770501,0000,44200
19770601,0000,36000
19770701,0000,12800
19770801,0000,6610
19770901,0000,10800
19771001,0000,14800
19771101,0000,17700
19771201,0000,34900
19780101,0000,27900
19780201,0000,55700
19780301,0000,54340
19780401,0000,42910
19780501,0000,42700
19780601,0000,67100
19780701,0000,67100
19780801,0000,66200
19780901,0000,32100
19781001,0000,57190
19781101,0000,57760
19781201,0000,59120
19790101,0000,61080
19790201,0000,61860
19790301,0000,65830
19790401,0000,63390
19790501,0000,60400
19790601,0000,64140
19790701,0000,66730
19790801,0000,65650
19790901,0000,64830
19791001,0000,47470
19791101,0000,45720
19791201,0000,46020
19800101,0000,58210
19800201,0000,58240
19800301,0000,57590
19800401,0000,59260
19800501,0000,58030
19800601,0000,65300
19800701,0000,64970
19800801,0000,57100
19800901,0000,47760
19801001,0000,57660
19801101,0000,57890
19801201,0000,60850
19810101,0000,58430
19810201,0000,52630
19810301,0000,58680
19810401,0000,60190
19810501,0000,60860
19810601,0000,63950
19810701,0000,65040
19810801,0000,64780
19810901,0000,62960
19811001,0000,57780
19811101,0000,61260
19811201,0000,59180
19820101,0000,55580
19820201,0000,51790
19820301,0000,62000
19820401,0000,57210
19820501,0000,58620
19820601,0000,62880
19820701,0000,63850
19820801,0000,63200
19820901,0000,62920
19821001,0000,62070
19821101,0000,60000
19821201,0000,59230
19830101,0000,55740
19830201,0000,58840
19830301,0000,59980
19830401,0000,64130
19830501,0000,66300
19830601,0000,63760
19830701,0000,65750
19830801,0000,63200
19830901,0000,66340
19831001,0000,62070
19831101,0000,59990
19831201,0000,59230
19840101,0000,59510
19840201,0000,58840
19840301,0000,59230
19840401,0000,64220
19840501,0000,65650
19840601,0000,64510
19840701,0000,65430
19840801,0000,65340
19840901,0000,65600
19841001,0000,62670
19841101,0000,58880
19841201,0000,58800
19850101,0000,58160
19850201,0000,59820
19850301,0000,59890
19850401,0000,62780
19850501,0000,65520
19850601,0000,64850
19850701,0000,65010
19850801,0000,65060
19850901,0000,65130
19851001,0000,59980
19851101,0000,58980
19851201,0000,58720
19860101,0000,59370
19860201,0000,58670
19860301,0000,58890
19860401,0000,61600
19860501,0000,64590
19860601,0000,65800
19860701,0000,65910
19860801,0000,65982
19860901,0000,63240
19861001,0000,59000
19861101,0000,57960
19861201,0000,59010
19870101,0000,58480
19870201,0000,58880
19870301,0000,58830
19870401,0000,62840
19870501,0000,64220
19870601,0000,65129
19870701,0000,65375
19870801,0000,65399
19870901,0000,59808
19871001,0000,44492
19871101,0000,36243
19871201,0000,57037
19880101,0000,57150
19880201,0000,59970
19880301,0000,61119
19880401,0000,64538
19880501,0000,65994
19880601,0000,65770
19880701,0000,65609
19880801,0000,65449
19880901,0000,35820
19881001,0000,35705
19881101,0000,49353
19881201,0000,55260
19890101,0000,56673
19890201,0000,56235
19890301,0000,58150
19890401,0000,61777
19890501,0000,65994
19890601,0000,65252
19890701,0000,65215
19890801,0000,65079
19890901,0000,63725
19891001,0000,55900
19891101,0000,54300
19891201,0000,54500
19900101,0000,56600
19900201,0000,55200
19900301,0000,58000
19900401,0000,61300
19900501,0000,64100
19900601,0000,65000
19900701,0000,63400
19900801,0000,64700
19900901,0000,61200
19901001,0000,54374
19901101,0000,54609
19901201,0000,55422
19910101,0000,55870
19910201,0000,55910
19910301,0000,60166
19910401,0000,62154
19910501,0000,63798
19910601,0000,65104
19910701,0000,65153
19910801,0000,65042
19910901,0000,37500
19911001,0000,54684
19911101,0000,55132
19911201,0000,54705
19920101,0000,55476
19920201,0000,58951
19920301,0000,56552
19920401,0000,61671
19920501,0000,65264
19920601,0000,65559
19920701,0000,65757
19920801,0000,65166
19920901,0000,64698
19921001,0000,59700
19921101,0000,55100
19921201,0000,54200
19930101,0000,53700
19930201,0000,54500
19930301,0000,57100
19930401,0000,61600
19930501,0000,65200
19930601,0000,65400
19930701,0000,65700
19930801,0000,65100
19930901,0000,64300
19931001,0000,54652
19931101,0000,54929
19931201,0000,55704
19940101,0000,56040
19940201,0000,54577
19940301,0000,57523
19940401,0000,60039
19940501,0000,64735
19940601,0000,65375
19940701,0000,65276
19940801,0000,64465
19940901,0000,58151
19941001,0000,57500
19941101,0000,55500
19941201,0000,56100
19950101,0000,57900
19950201,0000,55800
19950301,0000,59200
19950401,0000,59600
19950501,0000,64600
19950601,0000,64200
19950701,0000,64100
19950801,0000,64500
19950901,0000,61500
19951001,0000,54400
19951101,0000,55800
19951201,0000,56000
19960101,0000,55500
