Date,Inflow,Storage,Outflow,Season,Spring,Summer,Fall,Winter,Inflow(t-1),Inflow(t-2),Inflow(t-3),Inflow(3day),Inflow(t+1),Inflow(t+2),Inflow(t+3),Inflow(7day),Inflow(14day),Inflow(21day),Inflow(28day),Inflow(7dayForecast),Outflow(7day),Outflow(14day),Outflow(21day),Outflow(28day)
19940105,0.0005509641873278236,0.8074269005847953,0.008844425112367696,4,0,0,0,1,0.0004929679570827896,0.027838190517616355,0.00043497172683775554,0.029317094388864724,0.0005219660722053066,0.02693924894881833,0.0007539509931854429,0.025758611404544416,0.032183765198119274,0.03089265864385482,0.03640506224238282,0.013964663725429276,0.037188011350690775,0.036574908345243275,0.03390846261659659,0.037516311439756415
19940106,0.0005219660722053066,0.7988450292397661,0.008844425112367696,4,0,0,0,1,0.0005509641873278236,0.0004929679570827896,0.027838190517616355,0.029404088734232274,0.02693924894881833,0.0007539509931854429,0.0004639698419602726,0.01937074090184138,0.029971623273058686,0.029253574708120168,0.03437830112471261,0.013890097143685661,0.03060543921787941,0.03576917500362477,0.03240056063022571,0.035913129932268695
19940107,0.02693924894881833,0.79046783625731,0.008844425112367696,4,0,0,0,1,0.0005219660722053066,0.0005509641873278236,0.0004929679570827896,0.028505147165434248,0.0007539509931854429,0.0004639698419602726,0.029781064230824997,0.011677955218625077,0.02771805546925165,0.02733831824740916,0.03211230555728164,0.01013276994138238,0.023380765964498024,0.03467138921684377,0.030957559187224266,0.034430083473145676
19940108,0.0007539509931854429,0.8085233918128655,0.008844425112367696,4,0,0,0,1,0.02693924894881833,0.0005219660722053066,0.0005509641873278236,0.028766130201536903,0.0004639698419602726,0.029781064230824997,0.0006669566478178918,0.012427763623935873,0.02800596532653949,0.026646506072343392,0.030903705544853867,0.015994531784005468,0.016060813189999794,0.03343482673626214,0.0295159386068477,0.03295221524886597
19940109,0.0004639698419602726,0.8004093567251462,0.008844425112367696,4,0,0,0,1,0.0007539509931854429,0.02693924894881833,0.0005219660722053066,0.02867913585616935,0.029781064230824997,0.0006669566478178918,0.038625489343192695,0.008218894343296259,0.02633235982518279,0.025645380669304114,0.02892458418774208,0.015932392965885788,0.008836139936618404,0.03145674102611902,0.028790985728784774,0.0315002381988028
19940110,0.029781064230824997,0.7920029239766082,0.009279396839205452,4,0,0,0,1,0.0004639698419602726,0.0007539509931854429,0.02693924894881833,0.05793823401478904,0.0006669566478178918,0.038625489343192695,0.0,0.008223036931170902,0.02131568590898734,0.024720202710633337,0.027243729157604757,0.011806375442739077,0.008844425112367696,0.028778557965160833,0.02829387518382734,0.030083473145674104
19940111,0.0006669566478178918,0.812485380116959,0.009569377990430622,4,0,0,0,1,0.029781064230824997,0.0004639698419602726,0.0007539509931854429,0.03166594171378861,0.038625489343192695,0.0,0.0006379585326953748,0.008500590318772138,0.02031732223119783,0.025233883607089357,0.026513598044698525,0.01193893825472773,0.008906563930487376,0.025942956564966136,0.027845094830740765,0.028821019490875954
19940113,0.038625489343192695,0.8033771929824561,0.008989415687980281,4,0,0,0,1,0.0006669566478178918,0.029781064230824997,0.0004639698419602726,0.06953748006379586,0.0,0.0006379585326953748,0.04178628389154705,0.008525445846020009,0.01714202862528221,0.024297658747419515,0.025300855444396114,0.010629880486339819,0.009010128627353507,0.023099069989022142,0.027386648439280018,0.02768387911928582
19940114,0.0,0.8235818713450292,0.008989415687980281,4,0,0,0,1,0.038625489343192695,0.0006669566478178918,0.029781064230824997,0.06907351022183558,0.0006379585326953748,0.04178628389154705,2.8998115122517038e-05,0.013964663725429276,0.01666770231363533,0.024635970090515547,0.02543134696244744,0.01106899480105222,0.009030841566726733,0.01981814039230307,0.026856397191325418,0.02655813086435096
19940116,0.0006379585326953748,0.814546783625731,0.008989415687980281,4,0,0,0,1,0.0,0.038625489343192695,0.0006669566478178918,0.03993040452370596,0.04178628389154705,2.8998115122517038e-05,0.0008989415687980281,0.013890097143685661,0.012784026181155369,0.02310873602739632,0.02397626297147828,0.011512251703639264,0.00905155450609996,0.016216160235298992,0.026131444313262493,0.025481058016943187
19940118,0.04178628389154705,0.7969736842105263,0.008989415687980281,4,0,0,0,1,0.0006379585326953748,0.0,0.038625489343192695,0.08104973176743513,2.8998115122517038e-05,0.0008989415687980281,0.001594896331738437,0.010132769941382383,0.011280266782659129,0.022048233531487126,0.022518072039603144,0.005679487976138694,0.009072267445473186,0.012566540317736491,0.02531397363933249,0.02440502081650407
19940119,2.8998115122517038e-05,0.8205701754385964,0.008989415687980281,4,0,0,0,1,0.04178628389154705,0.0006379585326953748,0.0,0.042453240539364945,0.0008989415687980281,0.001594896331738437,0.02946208496447731,0.01599453178400547,0.012106713063650866,0.022886417144790356,0.023232668447979454,0.005886617369870957,0.009092980384846414,0.008964560160732412,0.024002154145694815,0.02386648439280018
19940120,0.0008989415687980281,0.8115350877192983,0.008989415687980281,4,0,0,0,1,2.8998115122517038e-05,0.04178628389154705,0.0006379585326953748,0.043352182108162975,0.001594896331738437,0.02946208496447731,0.003073800202986806,0.015932392965885788,0.012077714948528346,0.019521254927953494,0.02252325027444645,0.01046831955922865,0.009113693324219642,0.00897905921829367,0.022223603084847103,0.023498829718925415
19940121,0.001594896331738437,0.8033771929824561,0.008989415687980281,4,0,0,0,1,0.0008989415687980281,2.8998115122517038e-05,0.04178628389154705,0.044309119907206033,0.02946208496447731,0.003073800202986806,0.0037407568508046976,0.01180637544273908,0.01015348288075561,0.017480339968378247,0.02187700656600178,0.010431036268356841,0.009072267445473186,0.008989415687980283,0.020319393525135152,0.02315188798442387
19940122,0.02946208496447731,0.795891812865497,0.008844425112367696,4,0,0,0,1,0.001594896331738437,0.0008989415687980281,2.8998115122517038e-05,0.03198492098013629,0.003073800202986806,0.0037407568508046976,0.0009569377990430622,0.01193893825472773,0.01023219205037387,0.015407665168430718,0.021207978624246566,0.009751651856915015,0.008989415687980283,0.008999772157666897,0.018395851888674857,0.022787340251455086
19940123,0.003073800202986806,0.8162865497076024,0.008844425112367696,4,0,0,0,1,0.02946208496447731,0.001594896331738437,0.0008989415687980281,0.035029723068000576,0.0037407568508046976,0.0009569377990430622,0.0014789038712483688,0.010629880486339815,0.012297272105884547,0.014655095037870162,0.021134447689471616,0.009486526232937716,0.008968702748607057,0.008999772157666897,0.016201661177737733,0.02238447358064583
19940124,0.0037407568508046976,0.8104239766081871,0.008844425112367696,4,0,0,0,1,0.003073800202986806,0.02946208496447731,0.001594896331738437,0.03787153835000725,0.0009569377990430622,0.0014789038712483688,0.03297085689430187,0.011068994801052218,0.01247954597236894,0.01221234905445432,0.020098800720810293,0.013268708962488869,0.008947989809233831,0.008999772157666897,0.013793436759943939,0.02183558068725533
19940125,0.0009569377990430622,0.8050877192982456,0.008844425112367696,4,0,0,0,1,0.0037407568508046976,0.003073800202986806,0.02946208496447731,0.037233579817311874,0.0014789038712483688,0.03297085689430187,0.0013339132956357836,0.011512251703639263,0.010822510822510822,0.011357595089652507,0.019414238074525157,0.013152716501998798,0.008927276869860603,0.008999772157666897,0.011353452501777859,0.021217299446964516
19940126,0.0014789038712483688,0.7971345029239766,0.008844425112367696,4,0,0,0,1,0.0009569377990430622,0.0037407568508046976,0.003073800202986806,0.009250398724082934,0.03297085689430187,0.0013339132956357836,0.024706394084384516,0.005679487976138694,0.010837009880072081,0.009964304701146807,0.018584684852627438,0.012962157459765115,0.008906563930487376,0.008999772157666895,0.008945228083984062,0.02022825659189295
19940127,0.03297085689430187,0.7895467836257309,0.008844425112367696,4,0,0,0,1,0.0014789038712483688,0.0009569377990430622,0.0037407568508046976,0.03914745541539799,0.0013339132956357836,0.024706394084384516,0.0012179208351457155,0.005886617369870958,0.010909505167878374,0.01001401575564255,0.016112595538432858,0.009221400608960416,0.00888585099111415,0.008999772157666897,0.008947989809233827,0.018889165061413866
19940128,0.0013339132956357836,0.8134356725146199,0.008844425112367696,4,0,0,0,1,0.03297085689430187,0.0014789038712483688,0.0009569377990430622,0.03674061186022908,0.024706394084384516,0.0012179208351457155,0.030216035957662753,0.01046831955922865,0.011137347500983863,0.010258428440246622,0.015727334866090847,0.012539613496551296,0.008865138051740922,0.008968702748607057,0.008947989809233827,0.017455829656786596
19940129,0.024706394084384516,0.8057163742690059,0.008844425112367696,4,0,0,0,1,0.0013339132956357836,0.03297085689430187,0.0014789038712483688,0.060490068145570536,0.0012179208351457155,0.030216035957662753,0.0001449905756125852,0.010431036268356841,0.011184987261542283,0.010298473456368192,0.014163507943412246,0.009088837796971769,0.008844425112367696,0.00891692040017399,0.008947989809233827,0.016007995194598064
19940130,0.0012179208351457155,0.821359649122807,0.012875163114397565,4,0,0,0,1,0.024706394084384516,0.0013339132956357836,0.03297085689430187,0.06022908510946788,0.030216035957662753,0.0001449905756125852,0.0001449905756125852,0.009751651856915015,0.010190766171627416,0.011448732022894703,0.013429234242631375,0.012050788127343151,0.008844425112367696,0.008906563930487377,0.008947989809233827,0.014362352161395222
19940131,0.030216035957662753,0.8094736842105263,0.02015369001014934,4,0,0,0,1,0.0012179208351457155,0.024706394084384516,0.0013339132956357836,0.057474264172828776,0.0001449905756125852,0.0001449905756125852,0.006785558938668987,0.009486526232937716,0.010277760516994968,0.011481872725891865,0.01153089334907517,0.007738354149837404,0.009420244826943392,0.009184117318088611,0.009139929714092393,0.012700138776693801
19941101,0.0001449905756125852,0.8192982456140351,0.008119472234304771,3,0,0,1,0,0.030216035957662753,0.0012179208351457155,0.024706394084384516,0.05628534145280557,0.0001449905756125852,0.006785558938668987,0.02456140350877193,0.013268708962488869,0.012390480333064067,0.011637910202503505,0.011835373557861599,0.009213115433211126,0.011035854098055057,0.00998156548395783,0.009678466137796281,0.011274052900847157
