yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199401,0.00970127264308465,0.009421581145612631,0.8055890398038106,4,0,0,0,1,0.03834605296110298,0.0432629767628154,0.007616838238847809,0.04414303979332253,0.045325669667248755
199411,0.007616838238847809,0.007933884297520663,0.8080852826510722,3,0,0,1,0,0.00970127264308465,0.024023662802093816,0.009202692147591052,0.009421581145612631,0.02678231046946758
199412,0.009202692147591052,0.008340232078463287,0.8064266176193171,3,0,0,1,0,0.007616838238847809,0.00865905544096623,0.0126532160024983,0.007933884297520663,0.008677732721566647
199501,0.0126532160024983,0.01318410457166438,0.8366585445094217,4,0,0,0,1,0.009202692147591052,0.00840976519321943,0.007345749798990339,0.008340232078463287,0.008137058187991975
199502,0.007345749798990339,0.00823678279093677,0.8103247702589808,4,0,0,0,1,0.0126532160024983,0.010927954075044675,0.01701222753854333,0.01318410457166438,0.010762168325063833
199503,0.01701222753854333,0.01504325552172442,0.8393318713450293,4,0,0,0,1,0.007345749798990339,0.00999948290074432,0.031351795466628,0.00823678279093677,0.010710443681300575
199504,0.031351795466628,0.03097288676236044,0.8679615009746589,1,1,0,0,0,0.01701222753854333,0.012178988668766834,0.08686385384949978,0.01504325552172442,0.011640019156330596
199505,0.08686385384949978,0.08461339298659873,0.9175866750208856,1,1,0,0,0,0.031351795466628,0.024182011502585664,0.058256213346132506,0.03097288676236044,0.02300807114204243
199506,0.058256213346132506,0.05804722693024953,0.9520170397257511,1,1,0,0,0,0.08686385384949978,0.05910782465806389,0.050264886628523,0.08461339298659873,0.057793139874479586
199507,0.050264886628523,0.04973065212299662,0.9515058479532164,2,0,1,0,0,0.058256213346132506,0.07256003359781614,0.055102460006766225,0.05804722693024953,0.07133030995842413
199508,0.055102460006766225,0.05469527814025422,0.9500858918128655,2,0,1,0,0,0.050264886628523,0.05426054998732775,0.04131883427577208,0.04973065212299662,0.053888939526623075
199509,0.04131883427577208,0.04308771929824562,0.9312982456140351,2,0,1,0,0,0.055102460006766225,0.05268367331764461,0.026898858717040536,0.05469527814025422,0.05221296513162542
199510,0.026898858717040536,0.030261604424283852,0.8457435254803676,3,0,0,1,0,0.04131883427577208,0.04821064714126915,0.009726367786093903,0.04308771929824562,0.048891498719249915
199511,0.009726367786093903,0.008635438696484728,0.8126159507965316,3,0,0,1,0,0.026898858717040536,0.0341088464964063,0.008236431298632257,0.030261604424283852,0.03667466186126474
199512,0.008236431298632257,0.008577642453240539,0.8072066276803119,3,0,0,1,0,0.009726367786093903,0.01831261325156722,0.009156638151853462,0.008635438696484728,0.01944852156038429
199601,0.009156638151853462,0.00928036344304287,0.8143831352574986,4,0,0,0,1,0.008236431298632257,0.008981399542363079,0.046770852751714,0.008577642453240539,0.008606540574862633
199602,0.046770852751714,0.04612150210236335,0.8137764670296431,4,0,0,0,1,0.009156638151853462,0.00869653472524286,0.10414923030003048,0.00928036344304287,0.008929002948141704
199603,0.10414923030003048,0.1030812997155185,0.8174330315034899,4,0,0,0,1,0.046770852751714,0.02796374545178373,0.08664443477840607,0.04612150210236335,0.027700932772703107
199604,0.08664443477840607,0.08429752066115702,0.8664995126705654,1,1,0,0,0,0.10414923030003048,0.07546004152587224,0.07390169638973466,0.1030812997155185,0.07460140090894093
199605,0.07390169638973466,0.07188052776569524,0.9156395019807583,1,1,0,0,0,0.08664443477840607,0.09539683253921827,0.07197718814943695,0.08429752066115702,0.09368941018833776
199606,0.07197718814943695,0.0720129524914214,0.9475506822612085,1,1,0,0,0,0.07390169638973466,0.08027306558407037,0.06555819033053174,0.07188052776569524,0.07808902421342613
199607,0.06555819033053174,0.06504183679673725,0.9486441237502359,2,0,1,0,0,0.07197718814943695,0.0729394422695858,0.05854236141317481,0.0720129524914214,0.07194674012855831
199608,0.05854236141317481,0.058129621574597654,0.9512992831541217,2,0,1,0,0,0.06555819033053174,0.06876768923998434,0.041883910879126185,0.06504183679673725,0.06852739464407932
199609,0.041883910879126185,0.043983374413996426,0.9273879142300195,2,0,1,0,0,0.05854236141317481,0.06205027587185327,0.02853801169590643,0.058129621574597654,0.06158572918566745
199610,0.02853801169590643,0.0298989898989899,0.8524019053008867,3,0,0,1,0,0.041883910879126185,0.0502131361461505,0.025983346796743925,0.043983374413996426,0.05105649799429704
199611,0.025983346796743925,0.0264659582841401,0.8073586744639376,3,0,0,1,0,0.02853801169590643,0.03521096128751631,0.08908408050250927,0.0298989898989899,0.03694118215649316
199612,0.08908408050250927,0.08857240408405712,0.8205206564799095,3,0,0,1,0,0.025983346796743925,0.02726067924632518,0.1532466196148863,0.0264659582841401,0.028182474091565
199701,0.1532466196148863,0.15440186710444467,0.814783531409168,4,0,0,0,1,0.08908408050250927,0.057533713649626596,0.19151390873878915,0.08857240408405712,0.05751918118409861
199702,0.19151390873878915,0.1910509745437975,0.8071339807852965,4,0,0,0,1,0.1532466196148863,0.12116535005869779,0.08634422633496565,0.15440186710444467,0.1214871355942509
199703,0.08634422633496565,0.08543593053548294,0.8207519493177388,4,0,0,0,1,0.19151390873878915,0.17238026417683772,0.07277850273065585,0.1910509745437975,0.1727264208241211
199704,0.07277850273065585,0.07057464598134455,0.8617285575048733,1,1,0,0,0,0.08634422633496565,0.1389290675368774,0.0843751607758399,0.08543593053548294,0.1382434525396402
199705,0.0843751607758399,0.08226765260258083,0.9158951141294095,1,1,0,0,0,0.07277850273065585,0.07956136453281075,0.06954231308298293,0.07057464598134455,0.07800528825841374
199706,0.06954231308298293,0.06870910057512929,0.9490063352826511,1,1,0,0,0,0.0843751607758399,0.07857683175324787,0.0562872122989425,0.08226765260258083,0.0764211492919627
199707,0.0562872122989425,0.0563433376830506,0.9517614601018676,2,0,1,0,0,0.06954231308298293,0.07695873692941141,0.05303661713601519,0.06870910057512929,0.07548837658885506
199708,0.05303661713601519,0.05243794637219548,0.950533389926429,2,0,1,0,0,0.0562872122989425,0.06291476269096272,0.030854961094195544,0.0563433376830506,0.06252621912908994
199709,0.030854961094195544,0.033273403895413466,0.9363284600389864,2,0,1,0,0,0.05303661713601519,0.054661914717478846,0.02465401039255029,0.05243794637219548,0.054390642027623046
199710,0.02465401039255029,0.02692054048744896,0.8289459535936615,3,0,0,1,0,0.030854961094195544,0.04194578911510537,0.013384130031547951,0.033273403895413466,0.04285567513380448
199711,0.013384130031547951,0.013360131591446557,0.8030399610136453,3,0,0,1,0,0.02465401039255029,0.027754485743372918,0.010049780097626988,0.02692054048744896,0.03009697219143121
199712,0.010049780097626988,0.009879657822241554,0.7956465761177136,3,0,0,1,0,0.013384130031547951,0.01901907021204912,0.03819351742136761,0.013360131591446557,0.02014033603944776
199801,0.03819351742136761,0.03744256623319484,0.8029895302773062,4,0,0,0,1,0.010049780097626988,0.011716955064587468,0.11296215745976511,0.009879657822241554,0.011619894706844056
199802,0.11296215745976511,0.11271981606909837,0.8195567042606517,4,0,0,0,1,0.03819351742136761,0.0241216487594973,0.06662644347472253,0.03744256623319484,0.023661112027718197
199803,0.06662644347472253,0.06556567371507949,0.8230102810790417,4,0,0,0,1,0.11296215745976511,0.07557783744056636,0.06446280991735537,0.11271981606909837,0.0750811911511466
199804,0.06446280991735537,0.06360086594371366,0.868582358674464,1,1,0,0,0,0.06662644347472253,0.08979430046724382,0.0822274294106367,0.06556567371507949,0.08914274489208893
199805,0.0822274294106367,0.07919104613038862,0.9180079230333898,1,1,0,0,0,0.06446280991735537,0.06554462669603894,0.1200106326422116,0.06360086594371366,0.06458326982939658
199806,0.1200106326422116,0.09230969986950849,0.9505740740740741,1,1,0,0,0,0.0822274294106367,0.07334511966399604,0.10443381180223285,0.07919104613038862,0.07139595603705114
199807,0.10443381180223285,0.10406263592866463,0.9551933597434445,2,0,1,0,0,0.1200106326422116,0.10111903102642414,0.10168516465784562,0.09230969986950849,0.08575037299994856
199808,0.10168516465784562,0.10068706824378995,0.9554791548764384,2,0,1,0,0,0.10443381180223285,0.11222222222222222,0.08210043013870764,0.10406263592866463,0.09818616789908656
199809,0.08210043013870764,0.08470929389589675,0.937634015594542,2,0,1,0,0,0.10168516465784562,0.10305948823003924,0.07381423433283288,0.10068706824378995,0.10237485208622729
199810,0.07381423433283288,0.07531278208851908,0.8593958687040182,3,0,0,1,0,0.08210043013870764,0.09189279739827663,0.02653827501212421,0.08470929389589675,0.09269818106984334
199811,0.02653827501212421,0.028026178298410604,0.8123464912280701,3,0,0,1,0,0.07381423433283288,0.07795733223577025,0.037071751626466865,0.07531278208851908,0.0800110379922079
199812,0.037071751626466865,0.03619993732665441,0.8101461988304094,3,0,0,1,0,0.02653827501212421,0.05017625467247855,0.04747891387059841,0.028026178298410604,0.05166948019346484
199901,0.04747891387059841,0.04958577692449991,0.7686290322580644,4,0,0,0,1,0.037071751626466865,0.03180501331929554,0.0989933511464612,0.03619993732665441,0.03211305781253251
199902,0.0989933511464612,0.09960852544584602,0.7446976817042605,4,0,0,0,1,0.04747891387059841,0.04227533274853264,0.05796046590304964,0.04958577692449991,0.042892857125577166
199903,0.05796046590304964,0.05591416557923735,0.7773099415204678,4,0,0,0,1,0.0989933511464612,0.07323613250852981,0.06936349137306075,0.09960852544584602,0.07459715118517296
199904,0.06936349137306075,0.06654390797931468,0.85996783625731,1,1,0,0,0,0.05796046590304964,0.07847690852475542,0.08497757323193347,0.05591416557923735,0.07776134551254169
199905,0.08497757323193347,0.08278868325171768,0.9196340313148463,1,1,0,0,0,0.06936349137306075,0.0636619786380552,0.08048910154173312,0.06654390797931468,0.06122903677927602
199906,0.08048910154173312,0.07966072205306655,0.9463192007797271,1,1,0,0,0,0.08497757323193347,0.07717053230249711,0.06526412449857426,0.08278868325171768,0.07466629561551619
199907,0.06526412449857426,0.06502054033154511,0.9536842105263158,2,0,1,0,0,0.08048910154173312,0.0827333373868333,0.059721118127321726,0.07966072205306655,0.08122470265239212
