Title: "WHI.csv"

5841,PST,'RESERVOIR STORAGE (af)'
19631001,0000,230470
19631101,0000,219080
19631201,0000,228430
19640101,0000,215834
19640201,0000,206830
19640301,0000,194950
19640401,0000,231100
19640501,0000,232980
19640601,0000,231600
19640701,0000,230750
19640801,0000,228780
19640901,0000,233740
19641001,0000,226100
19641101,0000,211770
19641201,0000,225170
19650101,0000,202500
19650201,0000,197590
19650301,0000,203000
19650401,0000,238300
19650501,0000,239080
19650601,0000,237420
19650701,0000,237300
19650801,0000,237390
19650901,0000,233200
19651001,0000,222860
19651101,0000,224770
19651201,0000,207500
19660101,0000,211530
19660201,0000,195000
19660301,0000,197870
19660401,0000,239100
19660501,0000,239080
19660601,0000,239400
19660701,0000,239180
19660801,0000,239050
19660901,0000,237850
19661001,0000,237500
19661101,0000,200820
19661201,0000,189700
19670101,0000,219480
19670201,0000,196900
19670301,0000,202220
19670401,0000,204270
19670501,0000,231850
19670601,0000,237360
19670701,0000,238280
19670801,0000,237000
19670901,0000,238180
19671001,0000,236940
19671101,0000,225290
19671201,0000,210280
19680101,0000,203190
19680201,0000,224980
19680301,0000,201990
19680401,0000,202900
19680501,0000,230680
19680601,0000,237070
19680701,0000,236620
19680801,0000,236500
19680901,0000,211140
19681001,0000,208940
19681101,0000,180860
19681201,0000,180370
19690101,0000,179220
19690201,0000,184800
19690301,0000,202340
19690401,0000,225600
19690501,0000,237580
19690601,0000,237420
19690701,0000,236310
19690801,0000,238820
19690901,0000,222360
19691001,0000,210280
19691101,0000,201580
19691201,0000,202400
19700101,0000,245810
19700201,0000,243000
19700301,0000,211890
19700401,0000,238310
19700501,0000,237580
19700601,0000,237480
19700701,0000,238500
19700801,0000,238760
19700901,0000,213810
19701001,0000,160300
19701101,0000,178500
19701201,0000,205600
19710101,0000,208900
19710201,0000,202300
19710301,0000,237300
19710401,0000,233100
19710501,0000,227600
19710601,0000,238700
19710701,0000,238300
19710801,0000,239000
19710901,0000,216000
19711001,0000,213500
19711101,0000,205000
19711201,0000,204300
19720101,0000,210700
19720201,0000,207300
19720301,0000,229400
19720401,0000,233700
19720501,0000,233900
19720601,0000,238300
19720701,0000,238100
19720801,0000,239200
19720901,0000,217100
19721001,0000,213600
19721101,0000,203100
19721201,0000,202000
19730101,0000,203200
19730201,0000,244100
19730301,0000,211800
19730401,0000,237800
19730501,0000,237100
19730601,0000,238200
19730701,0000,238100
19730801,0000,238700
19730901,0000,217500
19731001,0000,216100
19731101,0000,211100
19731201,0000,212900
19740101,0000,222300
19740201,0000,206700
19740301,0000,250700
19740401,0000,235800
19740501,0000,234700
19740601,0000,237600
19740701,0000,237100
19740801,0000,238500
19740901,0000,217700
19741001,0000,218100
19741101,0000,202500
19741201,0000,202400
19750101,0000,202700
19750201,0000,201600
19750301,0000,218700
19750401,0000,228600
19750501,0000,237300
19750601,0000,238100
19750701,0000,236500
19750801,0000,237800
19750901,0000,235600
19751001,0000,230700
19751101,0000,201800
19751201,0000,203500
19760101,0000,203800
19760201,0000,203800
19760301,0000,220800
19760401,0000,238500
19760501,0000,236900
19760601,0000,238000
19760701,0000,238500
19760801,0000,238800
19760901,0000,238600
19761001,0000,202700
19761101,0000,201800
19761201,0000,201800
19770101,0000,202000
19770201,0000,202400
19770301,0000,227200
19770401,0000,235900
19770501,0000,237400
19770601,0000,238800
19770701,0000,238200
19770801,0000,217300
19770901,0000,216500
19771001,0000,217500
19771101,0000,212900
19771201,0000,210800
19780101,0000,192900
19780201,0000,193300
19780301,0000,204100
19780401,0000,223700
19780501,0000,238700
19780601,0000,238000
19780701,0000,239000
19780801,0000,238500
19780901,0000,230100
19781001,0000,202700
19781101,0000,201800
19781201,0000,201500
19790101,0000,202400
19790201,0000,203200
19790301,0000,224400
19790401,0000,235600
19790501,0000,239000
19790601,0000,237000
19790701,0000,237400
19790801,0000,239000
19790901,0000,234100
19791001,0000,221200
19791101,0000,202700
19791201,0000,202800
19800101,0000,201400
19800201,0000,207900
19800301,0000,218900
19800401,0000,235300
19800501,0000,239600
19800601,0000,237900
19800701,0000,238000
19800801,0000,239200
19800901,0000,234500
19801001,0000,219100
19801101,0000,204900
19801201,0000,190700
19810101,0000,197300
19810201,0000,192300
19810301,0000,189100
19810401,0000,231400
19810501,0000,236900
19810601,0000,239300
19810701,0000,237500
19810801,0000,238000
19810901,0000,234100
19811001,0000,204200
19811101,0000,205400
19811201,0000,200200
19820101,0000,204700
19820201,0000,199900
19820301,0000,206100
19820401,0000,235300
19820501,0000,237600
19820601,0000,239600
19820701,0000,239500
19820801,0000,238800
19820901,0000,231400
19821001,0000,217500
19821101,0000,207400
19821201,0000,204600
19830101,0000,240400
19830201,0000,253200
19830301,0000,245500
19830401,0000,239900
19830501,0000,238300
19830601,0000,239000
19830701,0000,238600
19830801,0000,238500
19830901,0000,236100
19831001,0000,218800
19831101,0000,203100
19831201,0000,206700
19840101,0000,200800
19840201,0000,205900
19840301,0000,208600
19840401,0000,210100
19840501,0000,238700
19840601,0000,237500
19840701,0000,237500
19840801,0000,239000
19840901,0000,233900
19841001,0000,224800
19841101,0000,206300
19841201,0000,205400
19850101,0000,204800
19850201,0000,206000
19850301,0000,205200
19850401,0000,233700
19850501,0000,238300
19850601,0000,237700
19850701,0000,238200
19850801,0000,238100
19850901,0000,224800
19851001,0000,221000
19851101,0000,206100
19851201,0000,205600
19860101,0000,213500
19860201,0000,204700
19860301,0000,205600
19860401,0000,238400
19860501,0000,238400
19860601,0000,237700
19860701,0000,237900
19860801,0000,237900
19860901,0000,234300
19861001,0000,218628
19861101,0000,203975
19861201,0000,230975
19870101,0000,207067
19870201,0000,205446
19870301,0000,205004
19870401,0000,238600
19870501,0000,237481
19870601,0000,237736
19870701,0000,237100
19870801,0000,237799
19870901,0000,230000
19871001,0000,210006
19871101,0000,205534
19871201,0000,205464
19880101,0000,205446
19880201,0000,205446
19880301,0000,205741
19880401,0000,235961
19880501,0000,238535
19880601,0000,237450
19880701,0000,238119
19880801,0000,238311
19880901,0000,238279
19881001,0000,206477
19881101,0000,204474
19881201,0000,205299
19890101,0000,205004
19890201,0000,205299
19890301,0000,209056
19890401,0000,230216
19890501,0000,238183
19890601,0000,238055
19890701,0000,238343
19890801,0000,238343
19890901,0000,236465
19891001,0000,212520
19891101,0000,204209
19891201,0000,205211
19900101,0000,206360
19900201,0000,206094
19900301,0000,205741
19900401,0000,216683
19900501,0000,232698
19900601,0000,237863
19900701,0000,238087
19900801,0000,238375
19900901,0000,237228
19901001,0000,221318
19901101,0000,185878
19901201,0000,184822
19910101,0000,184434
19910201,0000,187072
19910301,0000,206006
19910401,0000,222207
19910501,0000,223379
19910601,0000,237545
19910701,0000,237100
19910801,0000,238279
19910901,0000,209293
19911001,0000,148719
19911101,0000,146991
19911201,0000,147499
19920101,0000,156082
19920201,0000,208640
19920301,0000,214506
19920401,0000,229119
19920501,0000,238631
19920601,0000,239143
19920701,0000,237545
19920801,0000,237545
19920901,0000,238407
19921001,0000,237355
19921101,0000,192640
19921201,0000,178621
19930101,0000,181843
19930201,0000,197759
19930301,0000,226193
19930401,0000,233991
19930501,0000,239943
19930601,0000,238439
19930701,0000,239271
19930801,0000,239111
19930901,0000,238695
19931001,0000,236815
19931101,0000,206359
19931201,0000,205446
19940101,0000,205829
19940201,0000,206123
19940301,0000,205240
19940401,0000,238663
19940501,0000,237513
19940601,0000,237545
19940701,0000,237831
19940801,0000,237323
19940901,0000,238023
19941001,0000,224520
19941101,0000,205799
19941201,0000,206978
19950101,0000,207422
19950201,0000,206300
19950301,0000,215200
19950401,0000,230404
19950501,0000,237577
19950601,0000,239303
19950701,0000,238503
19950801,0000,239111
19950901,0000,238215
19951001,0000,219756
19951101,0000,205357
19951201,0000,204828
19960101,0000,197012
19960201,0000,219971
19960301,0000,209145
19960401,0000,238247
19960501,0000,238855
19960601,0000,237609
19960701,0000,237481
19960801,0000,238023
19960901,0000,238855
19961001,0000,218598
19961101,0000,240328
19961201,0000,206242
19970101,0000,196236
19970201,0000,204445
19970301,0000,239407
19970401,0000,238503
19970501,0000,237641
19970601,0000,236783
19970701,0000,237482
19970801,0000,238279
19970901,0000,238279
19971001,0000,223194
19971101,0000,206006
19971201,0000,204857
19980101,0000,205888
19980201,0000,219787
19980301,0000,206654
19980401,0000,233801
19980501,0000,237227
19980601,0000,239367
19980701,0000,238311
19980801,0000,237672
19980901,0000,238311
19981001,0000,219879
19981101,0000,207214
19981201,0000,206654
19990101,0000,204739
19990201,0000,205299
19990301,0000,210275
19990401,0000,235034
19990501,0000,237799
19990601,0000,237959
19990701,0000,237418
19990801,0000,236878
19990901,0000,236433
19991001,0000,223255
19991101,0000,206506
19991201,0000,206100
20000101,0000,206654
20000201,0000,207868
20000301,0000,213572
20000401,0000,237300
20000501,0000,237300
20000601,0000,237736
20000701,0000,238727
20000801,0000,238055
20000901,0000,213200
20001001,0000,181816
20001101,0000,191341
20001201,0000,205918
20010101,0000,211173
20010201,0000,210724
20010301,0000,205034
20010401,0000,235861
20010501,0000,239111
20010601,0000,238119
20010701,0000,238151
20010801,0000,237768
20010901,0000,223657
20011001,0000,205623
20011101,0000,212011
20011201,0000,207155
20020101,0000,205063
20020201,0000,204916
20020301,0000,203946
20020401,0000,239816
20020501,0000,238503
20020601,0000,237323
20020701,0000,238279
20020801,0000,239047
20020901,0000,237259
20021001,0000,216106
20021101,0000,206036
20021201,0000,214507
20030101,0000,205476
20030201,0000,202106
20030301,0000,206890
20030401,0000,247764
20030501,0000,238503
20030601,0000,237831
20030701,0000,238055
20030801,0000,237545
20030901,0000,237600
20031001,0000,235639
20031101,0000,206536
20031201,0000,206500
20040101,0000,205400
20040201,0000,205600
20040301,0000,206094
20040401,0000,231814
20040501,0000,236687
20040601,0000,238343
20040701,0000,237800
20040801,0000,238343
20040901,0000,238183
20041001,0000,237228
20041101,0000,215261
20041201,0000,211083
20050101,0000,211562
20050201,0000,209650
20050301,0000,205034
20050401,0000,237927
20050501,0000,237259
20050601,0000,238279
20050701,0000,237228
20050801,0000,237514
20050901,0000,237641
20051001,0000,205947
20051101,0000,204680
20051201,0000,209531
20060101,0000,206654
20060201,0000,208284
20060301,0000,214800
20060401,0000,238407
20060501,0000,238055
20060601,0000,239303
20060701,0000,237482
20060801,0000,237450
20060901,0000,237831
20061001,0000,206242
20061101,0000,205446
20061201,0000,204592
20070101,0000,m

