yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199009,0.02389461524486599,0.0251204020141843,0.9861927475262191,2,0,1,0,0,0.004731880957582031,0.005940333636606197,0.002433793128689808,0.0025809579871369673,0.0037335603961111043
199401,0.002433793128689808,0.0023714290042494957,0.8602456483054816,4,0,0,0,1,0.02389461524486599,0.01431324810122401,0.0007434245932040132,0.0251204020141843,0.013850680000660634
199411,0.0007434245932040132,0.003502678837696371,0.8733203373427347,3,0,0,1,0,0.002433793128689808,0.0131642041867779,0.002454227331165996,0.0023714290042494957,0.013745915509216897
199412,0.002454227331165996,0.002084819411076996,0.8533624115278093,3,0,0,1,0,0.0007434245932040132,0.0015886088609469106,0.03160783261081138,0.003502678837696371,0.0029370539209729336
199501,0.03160783261081138,0.031034807355458917,0.9169667868423571,4,0,0,0,1,0.002454227331165996,0.0015988259621850045,0.010481636102499156,0.002084819411076996,0.0027937491243866836
199502,0.010481636102499156,0.009940165924960137,0.8560009049432525,4,0,0,0,1,0.03160783261081138,0.01703102997098869,0.021153734090652004,0.031034807355458917,0.016559813383267955
199503,0.021153734090652004,0.01995098224048867,0.9244726945942209,4,0,0,0,1,0.010481636102499156,0.02104473435665527,0.013205590081273502,0.009940165924960137,0.020487486640209527
199504,0.013205590081273502,0.011044146833898351,0.9494198811005116,1,1,0,0,0,0.021153734090652004,0.01581768509657558,0.017004990071746537,0.01995098224048867,0.014945574082724403
199505,0.017004990071746537,0.015831968018719184,0.9708358243109885,1,1,0,0,0,0.013205590081273502,0.017179662085962753,0.02961462254020266,0.011044146833898351,0.01549756453719351
199506,0.02961462254020266,0.029293779023401224,0.9884165963472018,1,1,0,0,0,0.017004990071746537,0.01510529007651002,0.027433386341421482,0.015831968018719184,0.013438057426308768
199507,0.027433386341421482,0.027586846997879767,0.9861230577800465,2,0,1,0,0,0.02961462254020266,0.0233098063059746,0.025691476051568053,0.029293779023401224,0.022562873521060206
199508,0.025691476051568053,0.025614350206183092,0.9882120143785428,2,0,1,0,0,0.027433386341421482,0.028524004440812073,0.022064161847729587,0.027586846997879767,0.028440313010640497
199509,0.022064161847729587,0.021799589347721016,0.9883694732476153,2,0,1,0,0,0.025691476051568053,0.02656243119649477,0.008612826787103775,0.025614350206183092,0.026600598602031428
199510,0.008612826787103775,0.0110309056728875,0.9692694772614764,3,0,0,1,0,0.022064161847729587,0.02387781894964882,0.0030305670114851905,0.021799589347721016,0.023706969776952053
199511,0.0030305670114851905,0.004913926965547736,0.8663549249846251,3,0,0,1,0,0.008612826787103775,0.015338494317416681,0.005367958838793272,0.0110309056728875,0.016415247510304258
199512,0.005367958838793272,0.005481762308427969,0.8539307341352136,3,0,0,1,0,0.0030305670114851905,0.005821696899294483,0.006451422714761202,0.004913926965547736,0.007972416319217617
199601,0.006451422714761202,0.00771560101600447,0.836712152633762,4,0,0,0,1,0.005367958838793272,0.004199262925139231,0.026420655116977745,0.005481762308427969,0.005197844636987853
199602,0.026420655116977745,0.023076903982991417,0.8728984968320485,4,0,0,0,1,0.006451422714761202,0.005909690776777237,0.019339970608256377,0.00771560101600447,0.00659868166221622
199603,0.019339970608256377,0.020591288691909022,0.8531631411585787,4,0,0,0,1,0.026420655116977745,0.016436038915869474,0.014839423989908512,0.023076903982991417,0.015396252499497944
199604,0.014839423989908512,0.010745515560567784,0.9322180284805751,1,1,0,0,0,0.019339970608256377,0.02288031286261706,0.009040931543099637,0.020591288691909022,0.021834096337450218
199605,0.009040931543099637,0.008855006838491622,0.9896757915111295,1,1,0,0,0,0.014839423989908512,0.017089697299082444,0.02001487671862092,0.010745515560567784,0.015668402126238403
199606,0.02001487671862092,0.01998800264627345,0.9876706760680216,1,1,0,0,0,0.009040931543099637,0.011940177766504075,0.026229023843330708,0.008855006838491622,0.009800261199529703
