Title: "WRS.csv"

5874,PST,'RESERVOIR STORAGE (af)'
19761001,0000,0
19761101,0000,0
19761201,0000,0
19770101,0000,0
19770201,0000,0
19770301,0000,0
19770401,0000,0
19770501,0000,0
19770601,0000,0
19770701,0000,0
19770801,0000,0
19770901,0000,0
19771001,0000,0
19771101,0000,0
19771201,0000,0
19780101,0000,0
19780201,0000,0
19780301,0000,0
19780401,0000,0
19780501,0000,0
19780601,0000,0
19780701,0000,0
19780801,0000,0
19780901,0000,0
19781001,0000,0
19781101,0000,0
19781201,0000,0
19790101,0000,0
19790201,0000,0
19790301,0000,0
19790401,0000,0
19790501,0000,0
19790601,0000,0
19790701,0000,0
19790801,0000,0
19790901,0000,0
19791001,0000,0
19791101,0000,0
19791201,0000,0
19800101,0000,0
19800201,0000,0
19800301,0000,0
19800401,0000,0
19800501,0000,0
19800601,0000,0
19800701,0000,0
19800801,0000,0
19800901,0000,0
19801001,0000,0
19801101,0000,0
19801201,0000,0
19810101,0000,0
19810201,0000,0
19810301,0000,0
19810401,0000,0
19810501,0000,0
19810601,0000,0
19810701,0000,0
19810801,0000,0
19810901,0000,0
19811001,0000,0
19811101,0000,0
19811201,0000,0
19820101,0000,0
19820201,0000,0
19820301,0000,0
19820401,0000,0
19820501,0000,0
19820601,0000,0
19820701,0000,0
19820801,0000,0
19820901,0000,0
19821001,0000,0
19821101,0000,0
19821201,0000,0
19830101,0000,0
19830201,0000,0
19830301,0000,0
19830401,0000,0
19830501,0000,0
19830601,0000,0
19830701,0000,0
19830801,0000,0
19830901,0000,0
19831001,0000,633
19831101,0000,22447
19831201,0000,36392
19840101,0000,19172
19840201,0000,29563
19840301,0000,32448
19840401,0000,22871
19840501,0000,14448
19840601,0000,12427
19840701,0000,10808
19840801,0000,7863
19840901,0000,4566
19841001,0000,3663
19841101,0000,34869
19841201,0000,44261
19850101,0000,43731
19850201,0000,54051
19850301,0000,69512
19850401,0000,73862
19850501,0000,73311
19850601,0000,71722
19850701,0000,69658
19850801,0000,66809
19850901,0000,64532
19851001,0000,61911
19851101,0000,62161
19851201,0000,70953
19860101,0000,102369
19860201,0000,258011
19860301,0000,245569
19860401,0000,245595
19860501,0000,241052
19860601,0000,234793
19860701,0000,226862
19860801,0000,218989
19860901,0000,213124
19861001,0000,206990
19861101,0000,178270
19861201,0000,171020
19870101,0000,174950
19870201,0000,193880
19870301,0000,192170
19870401,0000,188080
19870501,0000,181050
19870601,0000,168876
19870701,0000,150944
19870801,0000,139025
19870901,0000,132830
19871001,0000,126688
19871101,0000,121480
19871201,0000,160435
19880101,0000,191541
19880201,0000,193313
19880301,0000,190805
19880401,0000,188075
19880501,0000,183628
19880601,0000,176572
19880701,0000,165125
19880801,0000,156342
19880901,0000,148067
19881001,0000,148067
19881101,0000,138792
19881201,0000,138864
19890101,0000,139730
19890201,0000,136803
19890301,0000,192191
19890401,0000,193246
19890501,0000,188739
19890601,0000,182501
19890701,0000,174968
19890801,0000,167667
19890901,0000,161390
19891001,0000,157849
19891101,0000,152090
19891201,0000,145487
19900101,0000,157771
19900201,0000,165915
19900301,0000,165936
19900401,0000,164983
19900501,0000,167872
19900601,0000,163612
19900701,0000,156518
19900801,0000,149501
19900901,0000,145655
19901001,0000,142498
19901101,0000,137053
19901201,0000,132028
19910101,0000,127129
19910201,0000,125356
19910301,0000,197916
19910401,0000,201804
19910501,0000,200902
19910601,0000,194373
19910701,0000,187700
19910801,0000,180603
19910901,0000,177186
19911001,0000,173646
19911101,0000,168753
19911201,0000,167422
19920101,0000,168077
19920201,0000,216407
19920301,0000,240505
19920401,0000,241523
19920501,0000,239829
19920601,0000,232927
19920701,0000,225537
19920801,0000,218379
19920901,0000,211638
19921001,0000,206352
19921101,0000,199865
19921201,0000,228418
19930101,0000,249582
19930201,0000,251483
19930301,0000,246284
19930401,0000,245728
19930501,0000,246019
19930601,0000,242151
19930701,0000,233770
19930801,0000,225088
19930901,0000,218208
19931001,0000,211113
19931101,0000,203568
19931201,0000,206094
19940101,0000,214207
19940201,0000,244225
19940301,0000,243147
19940401,0000,242648
19940501,0000,240453
19940601,0000,231249
19940701,0000,220830
19940801,0000,210994
19940901,0000,205180
19941001,0000,198099
19941101,0000,196230
19941201,0000,199727
19950101,0000,319610
19950201,0000,245808
19950301,0000,288206
19950401,0000,246761
19950501,0000,244857
19950601,0000,240375
19950701,0000,234589
19950801,0000,226511
19950901,0000,219088
19951001,0000,211662
19951101,0000,204782
19951201,0000,222803
19960101,0000,264708
19960201,0000,258722
19960301,0000,245385
19960401,0000,246098
19960501,0000,243488
19960601,0000,238427
19960701,0000,232189
19960801,0000,224640
19960901,0000,216869
19961001,0000,209447
19961101,0000,205859
19961201,0000,295124
19970101,0000,264569
19970201,0000,243304
19970301,0000,243567
19970401,0000,239673
19970501,0000,235024
19970601,0000,227740
19970701,0000,217306
19970801,0000,207884
19970901,0000,201364
19971001,0000,196321
19971101,0000,202801
19971201,0000,211304
19980101,0000,257138
19980201,0000,271352
19980301,0000,246284
19980401,0000,244514
19980501,0000,253989
19980601,0000,244857
19980701,0000,239335
19980801,0000,232545
19980901,0000,226036
19981001,0000,219798
19981101,0000,223125
19981201,0000,226311
19990101,0000,234896
19990201,0000,244672
19990301,0000,245147
19990401,0000,244804
19990501,0000,242072
19990601,0000,236928
19990701,0000,230817
19990801,0000,223968
19990901,0000,216844
